Rank,Team,Record,SoS,SoS Rank,ELO
1,Central Florida,13-0,62.5,80,1691.5
2,Alabama,13-1,50.933,20,1691.4
3,Wisconsin,13-1,53.267,33,1691.05
4,Georgia,13-2,45.625,6,1679.56
5,Ohio State,12-2,49.467,15,1674.37
6,Penn State,11-2,53.143,32,1673.64
7,Oklahoma,12-2,51.133,22,1670.59
8,Clemson,12-2,48.8,14,1663.69
9,Florida Atlantic,11-3,66.133,88,1640.57
10,Auburn,10-4,46.867,7,1624.79
11,Notre Dame,10-3,36.786,1,1622.21
12,Washington,10-3,61.0,71,1617.66
13,Boise St,11-3,58.933,56,1617.11
14,Oklahoma St,10-3,59.714,62,1608.23
15,South Florida,10-2,82.923,124,1606.68
16,Northwestern,10-3,58.357,52,1603.69
17,Stanford,9-5,47.867,10,1602.65
18,TCU,11-3,57.067,45,1602.63
19,Southern Cal,11-3,49.533,16,1602.33
20,Memphis,10-3,66.929,90,1601.62
21,Troy,11-2,81.786,122,1588.28
22,Michigan St,10-3,50.143,17,1585.14
23,Miami FL,10-3,52.286,25,1584.36
24,Ohio U.,9-4,77.214,116,1583.36
25,Fresno St,10-4,62.333,77,1583.09
26,Appalachian St,9-4,83.214,126,1582.79
27,Mississippi St,9-4,52.857,30,1580.62
28,Iowa,8-5,40.643,3,1574.83
29,LSU,9-4,58.357,51,1574.71
30,Toledo,11-3,72.467,105,1573.83
31,North Carolina St,9-4,52.357,27,1570.34
32,Virginia Tech,9-4,62.5,79,1562.32
33,Iowa St,8-5,55.214,41,1560.29
34,San Diego St,10-3,69.5,97,1559.52
35,Texas,7-6,57.786,50,1558.29
36,Michigan,8-5,54.143,35,1557.82
37,Army,10-3,67.143,91,1557.46
38,Purdue,7-6,52.714,28,1555.44
39,Marshall,8-5,71.571,101,1554.97
40,Louisville,8-5,61.357,72,1553.29
41,South Carolina,9-4,58.5,55,1548.94
42,Wyoming,8-5,72.357,104,1540.7
43,Louisiana Tech,7-6,72.714,106,1539.47
44,Utah,7-6,62.929,83,1538.6
45,Kansas St,8-5,65.857,87,1537.83
46,Boston College,7-6,47.5,8,1534.99
47,Houston,7-5,62.077,76,1534.4
48,Florida St,7-6,53.071,31,1533.32
49,Duke,7-6,59.5,59,1532.96
50,Wake Forest,8-5,48.429,13,1531.23
51,Arkansas St,7-5,87.308,129,1529.19
52,Navy,7-6,52.286,26,1525.59
53,Temple,7-6,62.786,81,1524.09
54,Washington St,9-4,53.357,34,1523.81
55,Oregon,7-6,57.643,48,1521.61
56,Middle Tennessee St,7-6,75.286,115,1519.49
57,Buffalo,6-6,72.923,108,1518.05
58,Missouri,7-6,67.857,92,1511.36
59,Texas A&M;,7-6,59.786,63,1509.18
60,Central Michigan,8-5,73.429,110,1509.14
61,Arizona St,7-6,52.071,24,1508.28
62,Northern Illinois,8-5,72.071,103,1504.72
63,Texas-San Antonio,6-5,81.5,121,1501.85
64,Mississippi,6-6,61.769,74,1501.73
65,Florida Int'l,8-5,68.286,93,1501.65
66,Georgia Tech,5-6,55.167,40,1500.83
67,Arizona,7-6,66.643,89,1500.81
68,Colorado St,7-6,74.714,113,1500.3
69,Alabama-Birmingham,8-5,83.071,125,1497.65
70,Kentucky,7-6,57.786,49,1497.03
71,Pittsburgh,5-7,58.385,53,1495.99
72,West Virginia,7-6,55.857,42,1492.51
73,Eastern Michigan,5-7,69.231,95,1491.13
74,California,5-7,61.769,73,1489.98
75,North Texas,9-5,60.467,68,1489.03
76,Western Michigan,6-6,70.385,99,1486.41
77,Utah St,6-7,73.143,109,1484.71
78,Indiana,5-7,59.077,57,1484.3
79,Minnesota,5-7,52.769,29,1482.77
80,SMU,7-6,59.857,64,1482.19
81,Miami OH,5-7,73.769,111,1479.3
82,Southern Miss,8-5,79.786,118,1477.66
83,New Mexico St,7-6,82.357,123,1477.08
84,Texas Tech,6-7,50.286,19,1474.07
85,Tulane,5-7,59.308,58,1473.31
86,UCLA,6-7,47.714,9,1463.79
87,Florida,4-7,50.25,18,1462.11
88,Colorado,5-7,65.077,86,1456.69
89,Air Force,5-7,60.0,65,1454.7
90,Georgia St,7-5,84.0,128,1454.54
91,Vanderbilt,5-7,57.538,47,1446.46
