Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Wisconsin,1542.96,1564.76,1552.69,1571.24,1571.24,1583.6,1559.6,1577.61,1553.01,1563.32,1545.37,1555.29,1527.21,1527.21,1555.2,1575.52,1575.52
Notre Dame,1527.48,1541.83,1555.39,1577.8,1600.48,1619.84,1627.66,1627.66,1638.11,1651.78,1664.33,1685.32,1693.82,1693.82,1671.14,1680.88,1680.88
Penn State,1532.52,1559.18,1580.92,1602.53,1597.37,1597.37,1583.36,1593.97,1608.66,1583.64,1601.59,1610.53,1627.84,1627.84,1627.84,1641.07,1641.07
Georgia,1521.95,1546.57,1568.8,1587.72,1603.44,1621.13,1593.7,1593.7,1615.44,1635.35,1651.43,1660.35,1676.18,1662.46,1662.46,1649.14,1649.14
Miami FL,1508.44,1492.52,1518.11,1538.55,1559.38,1563.53,1551.34,1551.34,1531.01,1514.01,1499.9,1521.32,1547.27,1547.27,1519.28,1526.77,1526.77
Alabama,1545.18,1570.98,1597.88,1615.94,1631.4,1645.06,1660.42,1675.41,1675.25,1696.49,1711.64,1711.9,1724.99,1738.71,1753.87,1772.61,1747.17
Ohio State,1543.26,1569.94,1587.66,1605.88,1611.04,1629.39,1642.66,1608.99,1608.87,1615.86,1636.05,1639.5,1666.07,1681.97,1681.97,1722.6,1722.6
Clemson,1520.3,1528.24,1552.98,1573.22,1584.6,1609.4,1609.4,1634.1,1654.85,1665.06,1683.03,1697.77,1709.23,1722.02,1744.69,1769.55,1795.0
Auburn,1525.96,1529.95,1524.78,1545.03,1561.87,1538.69,1521.25,1542.41,1542.34,1553.7,1537.62,1540.32,1527.23,1527.23,1557.49,1581.02,1581.02
Central Florida,1544.78,1548.06,1548.06,1567.62,1586.36,1600.87,1605.29,1620.37,1620.34,1635.74,1642.76,1679.14,1679.14,1693.46,1693.46,1669.64,1669.64
Oklahoma,1546.11,1565.92,1580.52,1592.39,1612.65,1600.5,1600.5,1618.9,1635.44,1645.38,1648.48,1664.89,1664.89,1680.76,1665.6,1681.17,1681.17
TCU,1514.5,1537.72,1520.0,1500.02,1510.32,1510.32,1500.1,1481.69,1475.73,1480.87,1462.25,1478.22,1496.24,1496.24,1506.47,1523.59,1523.59
