Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,2-0,59.0,71,1570.68,1
2,Ohio State,2-0,62.0,77,1569.65,3
3,Oklahoma,2-0,59.333,72,1565.63,4
4,Wisconsin,2-0,74.667,107,1564.36,-1
5,Boise St,2-0,67.667,98,1561.35,8
6,Penn State,2-0,46.667,41,1557.45,0
7,Stanford,2-0,44.333,35,1552.54,10
8,Iowa,2-0,62.333,78,1547.19,21
9,Central Florida,2-0,84.667,129,1547.19,-8
10,Washington St,2-0,74.333,106,1546.98,45
11,Georgia,2-0,62.333,79,1546.4,-7
12,Houston,2-0,77.0,112,1545.6,36
13,Duke,2-0,47.333,43,1545.39,36
14,Vanderbilt,2-0,64.667,85,1544.25,78
15,Hawai`i,3-0,78.5,116,1540.97,106
16,Notre Dame,2-0,49.0,48,1540.12,-5
17,Oklahoma St,2-0,81.667,120,1539.75,-3
18,Minnesota,2-0,55.333,63,1538.86,62
19,Kentucky,2-0,67.0,94,1536.94,51
20,Arizona St,2-0,56.0,65,1536.87,41
21,TCU,2-0,83.0,124,1536.68,-3
22,North Carolina St,2-0,77.667,113,1535.19,9
23,Mississippi St,2-0,72.667,103,1534.79,4
24,Boston College,2-0,84.0,127,1533.34,22
25,Virginia Tech,2-0,72.0,102,1532.59,7
26,LSU,2-0,67.333,96,1531.72,4
27,Colorado,2-0,63.0,82,1531.51,62
28,South Florida,2-0,70.333,101,1531.35,-13
29,Missouri,2-0,75.667,109,1531.16,23
30,Oregon,2-0,85.0,130,1531.13,26
31,Auburn,2-0,63.0,81,1528.6,-21
32,West Virginia,2-0,78.333,115,1526.6,41
33,North Texas,2-0,83.0,123,1526.2,43
34,Mississippi,2-0,74.0,105,1526.11,29
35,Maryland,2-0,60.333,74,1526.1,72
36,Cincinnati,2-0,75.0,108,1526.04,81
37,Indiana,2-0,48.0,46,1525.57,42
38,Clemson,2-0,64.333,84,1525.22,-30
39,Utah,2-0,81.0,118,1523.89,5
40,Fresno St,1-1,41.333,27,1522.88,-15
41,Marshall,2-0,80.333,117,1522.59,-2
42,California,2-0,61.667,75,1521.23,33
43,Appalachian St,1-1,39.0,23,1520.78,-21
44,Wake Forest,2-0,69.0,100,1519.92,7
45,Buffalo,2-0,76.333,110,1519.85,13
46,Michigan,1-1,45.333,39,1519.11,-10
47,Louisiana Tech,2-0,81.667,119,1517.8,-4
