Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Clemson,15-0,51.0,18,1770.51,1
2,Alabama,14-1,51.062,19,1728.05,-1
3,Ohio State,13-1,57.133,46,1693.57,0
4,Central Florida,12-1,66.643,85,1671.29,0
5,Notre Dame,12-1,53.786,28,1671.14,0
6,Oklahoma,12-2,49.733,11,1665.6,0
7,Fresno St,12-2,69.333,95,1654.51,0
8,Appalachian St,11-2,71.571,103,1650.4,0
9,Georgia,11-3,48.867,9,1643.28,0
10,Utah St,11-2,78.286,124,1639.69,0
11,Boise St,10-3,56.286,42,1629.09,0
12,Washington St,11-2,65.643,82,1624.81,0
13,Michigan,10-3,50.714,16,1615.75,0
14,Penn State,9-4,51.5,20,1615.32,0
15,Washington,10-4,54.133,29,1614.91,0
16,LSU,10-3,50.0,12,1614.37,0
17,Texas,10-4,53.467,26,1614.03,0
18,Army,11-2,74.286,115,1613.82,0
19,Ohio U.,9-4,77.0,122,1606.66,0
20,Cincinnati,11-2,71.214,102,1604.57,0
21,Syracuse,10-3,65.143,76,1604.41,0
22,Iowa,9-4,58.214,51,1601.63,0
23,Florida,10-3,57.929,48,1600.98,0
24,Texas A&M,9-4,46.643,4,1598.65,0
25,Troy,10-3,74.143,113,1580.85,0
26,Kentucky,10-3,56.143,41,1580.16,0
27,Mississippi St,8-5,50.214,14,1578.64,0
28,Alabama-Birmingham,11-3,75.6,119,1576.58,0
29,Missouri,8-5,54.429,31,1576.16,0
30,Northwestern,9-5,49.467,10,1569.29,0
31,Stanford,9-4,56.929,45,1565.82,0
32,Iowa St,8-5,56.0,40,1565.29,0
33,Utah,9-5,52.8,24,1563.06,0
34,Georgia Southern,10-3,73.0,108,1560.54,0
35,North Carolina St,9-4,65.5,81,1558.43,0
36,Auburn,8-5,55.286,35,1557.49,0
37,Buffalo,10-4,70.933,100,1556.91,0
38,West Virginia,8-4,57.462,47,1556.21,0
39,Wisconsin,8-5,58.0,49,1555.2,0
40,Temple,8-5,67.929,89,1555.07,0
41,Memphis,8-6,74.533,116,1552.61,0
42,Marshall,9-4,74.071,112,1550.51,0
43,Oregon,9-4,66.286,84,1544.44,0
44,Arkansas St,8-5,74.643,117,1544.23,0
45,Florida Int'l,9-4,82.0,128,1543.67,0
46,Virginia,8-5,72.0,106,1542.04,0
47,North Texas,9-4,84.071,129,1537.87,0
48,Michigan St,7-6,51.857,22,1535.65,0
49,Boston College,7-5,62.385,66,1530.76,0
50,Brigham Young,7-6,62.429,68,1528.77,0
51,Duke,8-5,54.714,32,1528.18,0
52,Miami OH,6-6,61.692,64,1526.38,0
53,Minnesota,7-6,54.286,30,1525.23,0
54,Arizona St,7-6,58.857,54,1522.45,0
55,Oklahoma St,7-6,55.143,33,1522.18,0
56,Miami FL,7-6,59.286,58,1519.28,0
57,Middle Tennessee St,8-6,59.133,56,1519.18,0
58,Houston,8-5,75.786,120,1518.19,0
59,Toledo,7-6,73.143,109,1517.41,0
60,Pittsburgh,7-7,44.733,2,1513.46,0
61,Eastern Michigan,7-6,74.214,114,1511.55,0
62,Tulane,7-6,65.357,80,1509.97,0
63,Nevada,8-5,72.929,107,1509.25,0
64,Southern Miss,6-5,73.917,111,1506.97,0
65,TCU,7-6,55.714,37,1506.47,0
66,Purdue,6-7,45.357,3,1506.29,0
67,Georgia Tech,7-6,65.0,74,1505.92,0
68,Louisiana Tech,8-5,74.929,118,1505.58,0
69,Wake Forest,7-6,55.714,38,1502.89,0
70,South Carolina,7-6,53.571,27,1500.52,0
71,Wyoming,6-6,64.462,71,1498.93,0
72,Baylor,7-6,59.5,62,1494.09,0
73,Vanderbilt,6-7,55.357,36,1493.27,0
74,San Diego St,7-6,62.286,65,1492.52,0
75,Arizona,5-7,65.231,78,1492.03,0
76,Kansas St,5-7,56.385,43,1490.67,0
77,Northern Illinois,8-6,58.4,52,1488.76,0
78,Florida Atlantic,5-7,59.462,60,1484.99,0
79,Southern Cal,5-7,55.154,34,1484.59,0
80,Air Force,5-7,67.538,88,1479.7,0
81,California,7-6,65.214,77,1479.41,0
82,Maryland,5-7,48.385,8,1477.25,0
83,Louisiana-Lafayette,7-7,63.4,70,1473.49,0
84,Virginia Tech,6-7,58.643,53,1471.52,0
85,Louisiana-Monroe,6-6,71.846,105,1468.3,0
86,Nebraska,4-8,47.308,6,1467.83,0
87,South Florida,7-6,68.643,92,1464.5,0
88,Texas Tech,5-7,56.538,44,1462.77,0
89,Western Michigan,7-6,67.286,87,1457.78,0
90,Indiana,5-7,47.077,5,1457.09,0
91,Florida St,5-7,50.846,17,1449.44,0
92,SMU,5-7,58.923,55,1448.87,0
93,Hawai`i,8-6,69.533,96,1448.77,0
94,Tennessee,5-7,50.0,13,1448.7,0
95,Mississippi,5-7,59.462,61,1440.25,0
96,Colorado,5-7,68.692,93,1435.78,0
97,Western Kentucky,3-9,78.231,123,1416.67,0
98,UNC-Charlotte,5-7,65.308,79,1416.19,0
99,UCLA,3-9,40.615,1,1414.46,0
100,Coastal Carolina,5-7,64.615,73,1405.71,0
101,UNLV,4-8,71.615,104,1405.65,0
102,Illinois,4-8,64.462,72,1400.67,0
103,Kansas,3-9,62.692,69,1400.11,0
104,Navy,3-10,52.5,23,1399.72,0
105,Tulsa,3-9,69.769,97,1390.66,0
106,North Carolina,2-9,60.667,63,1390.41,0
107,Massachusetts,4-8,66.769,86,1388.3,0
108,East Carolina,3-9,62.385,67,1387.05,0
109,Texas St-San Marcos,3-9,76.615,121,1386.23,0
110,Ball St,4-8,70.154,98,1379.78,0
111,Old Dominion,4-8,79.077,125,1379.66,0
112,Texas-San Antonio,3-9,65.0,75,1377.26,0
113,Akron,4-8,66.0,83,1376.37,0
114,New Mexico,3-9,68.0,90,1375.99,0
