Game ID,Home,Home Elo,Home Score,Away,Away Elo,Away Score,Obs. Spread,Pred. Spread,Elo Diff.,Home Win,Away Win
1,Villanova,1512.39,34,Colgate,1271.22,14,20,24.12,241.17,1,0
2,Miami FL,1553.87,20,Florida,1675.82,24,4,12.19,121.95,0,1
3,Arizona,1422.92,38,Hawai`i,1531.49,45,7,10.86,108.57,0,1
4,Youngstown St,1407.51,45,Samford,1367.68,22,23,3.98,39.83,1,0
5,Alabama St,1331.46,19,Alabama-Birmingham,1471.39,24,5,13.99,139.93,0,1
6,Kent St,1449.07,7,Arizona St,1519.73,30,23,7.07,70.65,0,1
7,North Carolina Central,1272.68,10,Austin Peay,1523.1,41,31,25.04,250.43,0,1
8,Morgan St,1260.87,3,Bowling Green,1340.8,46,43,7.99,79.93,0,1
9,Utah,1703.18,30,Brigham Young,1541.81,12,18,16.14,161.37,1,0
10,Robert Morris PA,1385.08,10,Buffalo,1541.82,38,28,15.67,156.74,0,1
11,Florida A&M,1455.32,0,Central Florida,1641.4,62,62,18.61,186.07,0,1
12,Albany NY,1471.51,21,Central Michigan,1512.82,38,17,4.13,41.31,0,1
13,Eastern Illinois,1218.84,10,Chattanooga,1373.88,24,14,15.5,155.04,0,1
14,UCLA,1456.93,14,Cincinnati,1625.38,24,10,16.85,168.46,0,1
15,Georgia Tech,1387.92,14,Clemson,1767.37,52,38,37.94,379.45,0,1
16,Wagner,1197.3,21,Connecticut,1343.13,24,3,14.58,145.83,0,1
17,Delaware St,1187.72,13,Delaware,1341.12,31,18,15.34,153.4,0,1
18,Valparaiso,1173.23,7,Eastern Kentucky,1425.8,53,46,25.26,252.57,0,1
20,South Dakota St,1522.58,21,Minnesota,1670.26,28,7,14.77,147.68,0,1
23,Western Illinois,1229.84,17,North Alabama,1306.46,26,9,7.66,76.62,0,1
24,Missouri St,1234.4,23,Northern Arizona,1301.02,37,14,6.66,66.61,0,1
25,Jacksonville FL,1244.32,19,Richmond,1375.92,38,19,13.16,131.61,0,1
27,Jacksonville St,1360.37,14,SE Louisiana,1491.06,35,21,13.07,130.68,0,1
28,Southern Illinois,1464.33,26,SE Missouri St,1465.63,44,18,0.13,1.3,0,1
29,Bryant,1267.87,10,Stony Brook,1344.29,35,25,7.64,76.42,0,1
30,Northwestern St,1259.83,20,Tennessee-Martin,1406.89,42,22,14.71,147.06,0,1
31,Texas St-San Marcos,1352.08,7,Texas A&M,1613.82,41,34,26.17,261.74,0,1
32,Florida Int'l,1423.54,14,Tulane,1523.84,42,28,10.03,100.3,0,1
33,Gardner-Webb,1255.48,28,UNC-Charlotte,1414.8,49,21,15.93,159.32,0,1
34,Central Arkansas,1434.53,35,Western Kentucky,1493.81,28,7,5.93,59.27,1,0
35,Rice,1298.96,7,Army,1499.6,14,7,20.06,200.64,0,1
36,Colorado St,1451.19,31,Colorado,1455.02,52,21,0.38,3.83,0,1
37,Sacred Heart,1392.15,14,Maine,1401.49,42,28,0.93,9.34,0,1
38,Tulsa,1388.96,7,Michigan St,1522.86,28,21,13.39,133.9,0,1
39,Purdue,1468.85,31,Nevada,1475.66,34,3,0.68,6.81,0,1
40,Oklahoma St,1613.62,52,Oregon St,1507.36,36,16,10.63,106.26,1,0
41,Massachusetts,1235.37,21,Rutgers,1370.35,48,27,13.5,134.98,0,1
42,Wisconsin,1683.44,49,South Florida,1456.26,0,49,22.72,227.18,1,0
43,Utah St,1497.19,35,Wake Forest,1582.47,38,3,8.53,85.28,0,1
44,Colgate,1271.22,7,Air Force,1623.68,48,41,35.25,352.46,0,1
45,Duke,1435.8,3,Alabama,1730.52,42,39,29.47,294.72,0,1
46,East Tennessee St,1283.31,7,Appalachian St,1675.51,42,35,39.22,392.2,0,1
47,Portland St,1346.32,13,Arkansas,1390.88,20,7,4.46,44.55,0,1
48,SMU,1601.76,37,Arkansas St,1516.71,30,7,8.5,85.05,1,0
49,Oregon,1675.71,21,Auburn,1654.33,27,6,2.14,21.38,0,1
50,Stephen F. Austin,1263.01,17,Baylor,1665.52,56,39,40.25,402.51,0,1
51,Virginia Tech,1611.9,28,Boston College,1523.54,35,7,8.84,88.36,0,1
52,San Diego,1539.52,34,Cal Poly SLO,1283.16,52,18,25.64,256.36,0,1
53,UC-Davis,1371.51,13,California,1503.04,27,14,13.15,131.53,0,1
54,Eastern Michigan,1468.97,30,Coastal Carolina,1455.26,23,7,1.37,13.71,1,0
55,Georgetown DC,1340.76,20,Davidson,1443.82,27,7,10.31,103.06,0,1
56,Boise St,1655.03,36,Florida St,1557.52,31,5,9.75,97.51,1,0
57,Central Conn St,1543.52,26,Fordham,1279.64,23,3,26.39,263.88,1,0
58,Charleston Southern,1362.14,13,Furman,1483.81,46,33,12.17,121.67,0,1
