Game ID,Game Time,Home,Home Spread,Home Odds,Away,Away Spread,Away Odds,URL
6018838,2019-11-19 19:31:00,Northern Illinois,-4.5,-105,Eastern Michigan,4.5,-115,https://www.bovada.lv/sports/football/college-football/eastern-michigan-northern-illinois-201911191931
6018837,2019-11-19 19:31:00,Bowling Green,21.0,-110,Ohio,-21.0,-110,https://www.bovada.lv/sports/football/college-football/ohio-bowling-green-201911191931
6018843,2019-11-20 19:31:00,Miami Ohio,-31.5,-110,Akron,31.5,-110,https://www.bovada.lv/sports/football/college-football/akron-miami-ohio-201911201931
6018887,2019-11-20 19:31:00,Buffalo U,-8.0,-110,Toledo,8.0,-110,https://www.bovada.lv/sports/football/college-football/toledo-buffalo-u-201911201931
6018839,2019-11-21 20:01:00,Georgia Tech,-2.0,-105,NC State,2.0,-115,https://www.bovada.lv/sports/football/college-football/nc-state-georgia-tech-201911212001
6018842,2019-11-22 21:31:00,Wyoming,-7.0,-105,Colorado State,7.0,-115,https://www.bovada.lv/sports/football/college-football/colorado-state-wyoming-201911222131
6018849,2019-11-23 12:01:00,Massachusetts,40.0,-110,BYU,-40.0,-110,https://www.bovada.lv/sports/football/college-football/byu-massachusetts-201911231201
6018841,2019-11-23 12:01:00,Kent State,3.5,-115,Ball State,-3.5,-105,https://www.bovada.lv/sports/football/college-football/ball-state-kent-state-201911231201
6018880,2019-11-23 12:01:00,Tulane,6.0,-110,Central Florida,-3.5,-105,https://www.bovada.lv/sports/football/college-football/central-florida-tulane-201911231201
6018850,2019-11-23 12:01:00,Connecticut,14.5,-110,East Carolina,-14.5,-110,https://www.bovada.lv/sports/football/college-football/east-carolina-connecticut-201911231201
6018860,2019-11-23 12:01:00,Iowa,14.5,-110,Illinois,15.0,-105,https://www.bovada.lv/sports/football/college-football/illinois-iowa-19-201911231201
6018864,2019-11-23 12:01:00,Iowa State,14.5,-110,Kansas,24.5,-105,https://www.bovada.lv/sports/football/college-football/kansas-iowa-state-201911231201
6018859,2019-11-23 12:01:00,Virginia,14.5,-110,Liberty,16.5,-105,https://www.bovada.lv/sports/football/college-football/liberty-virginia-201911231201
6018884,2019-11-23 12:01:00,Rutgers,20.5,-105,Michigan State,16.5,-105,https://www.bovada.lv/sports/football/college-football/michigan-state-rutgers-201911231201
