Rank,Team,Record,SoS,SoS Rank,ELO
1,Wisconsin,13-1,52.867,29,1691.05
2,Central Florida,13-0,62.214,74,1690.92
3,Alabama,13-1,57.8,48,1681.62
4,Georgia,13-2,46.25,7,1676.39
5,Ohio State,12-2,49.067,12,1674.37
6,Penn State,11-2,52.857,26,1673.64
7,Oklahoma,12-2,50.733,17,1670.45
8,Clemson,12-2,49.267,13,1662.01
9,Florida Atlantic,11-3,65.533,86,1640.57
10,Notre Dame,10-3,37.357,2,1621.52
11,Washington,10-3,60.786,69,1617.66
12,Boise St,11-3,59.267,57,1617.11
13,Auburn,10-4,53.667,31,1612.87
14,Oklahoma St,10-3,59.0,55,1608.23
15,South Florida,10-2,82.692,123,1606.68
16,Northwestern,10-3,57.714,47,1603.69
17,Stanford,9-5,47.533,10,1602.65
18,TCU,11-3,56.8,43,1602.63
19,Southern Cal,11-3,48.867,11,1602.33
20,Memphis,10-3,66.571,88,1601.62
21,Troy,11-2,81.929,122,1588.05
22,Michigan St,10-3,49.714,14,1585.14
23,Miami FL,10-3,51.643,20,1584.28
24,Ohio U.,9-4,76.714,116,1583.32
25,Fresno St,10-4,62.8,79,1583.09
26,Appalachian St,9-4,83.071,126,1581.33
27,Iowa,8-5,40.0,4,1574.83
28,Toledo,11-3,72.133,104,1573.68
29,North Carolina St,9-4,52.571,25,1570.34
30,Mississippi St,9-4,60.143,66,1562.99
31,Virginia Tech,9-4,62.0,73,1562.32
32,Iowa St,8-5,54.786,36,1560.29
33,Texas,7-6,57.5,46,1558.23
34,San Diego St,10-3,69.857,97,1557.71
35,Army,10-3,66.857,89,1557.36
36,Michigan,8-5,54.071,33,1557.08
37,Purdue,7-6,52.071,22,1555.44
38,Marshall,8-5,71.0,100,1554.97
39,LSU,9-4,65.071,84,1554.33
40,Louisville,8-5,61.357,70,1552.63
41,Wyoming,8-5,72.5,106,1540.7
42,Louisiana Tech,7-6,72.857,107,1539.47
43,Utah,7-6,62.5,76,1538.6
44,Kansas St,8-5,65.5,85,1537.83
45,Boston College,7-6,47.071,8,1534.99
46,South Carolina,9-4,63.357,80,1534.86
47,Houston,7-5,61.615,71,1534.4
48,Duke,7-6,59.143,56,1532.96
49,Florida St,7-6,52.857,28,1532.84
50,Arkansas St,7-5,86.923,128,1527.23
51,Navy,7-6,51.929,21,1525.59
52,Wake Forest,8-5,53.071,30,1524.27
53,Temple,7-6,62.214,75,1524.09
54,Washington St,9-4,52.857,27,1523.81
55,Oregon,7-6,57.0,44,1521.61
56,Middle Tennessee St,7-6,74.786,113,1519.4
57,Buffalo,6-6,72.462,105,1518.05
58,Missouri,7-6,68.143,91,1510.47
59,Central Michigan,8-5,72.929,108,1509.14
60,Arizona St,7-6,51.571,19,1508.28
61,Northern Illinois,8-5,71.5,103,1504.72
62,Texas-San Antonio,6-5,80.833,121,1501.85
63,Florida Int'l,8-5,68.214,92,1501.58
64,Arizona,7-6,66.357,87,1500.81
65,Georgia Tech,5-6,54.833,37,1500.65
66,Colorado St,7-6,75.143,115,1500.3
67,Texas A&M,0-0,0.0,1,1500
68,Alabama-Birmingham,8-5,82.786,124,1497.17
69,Kentucky,7-6,59.286,58,1496.77
70,Pittsburgh,5-7,57.923,49,1495.99
71,West Virginia,7-6,55.286,38,1492.51
72,Eastern Michigan,5-7,68.538,93,1491.13
73,California,5-7,62.692,78,1489.98
74,North Texas,9-5,60.0,64,1489.02
75,Western Michigan,6-6,70.0,98,1486.41
76,Utah St,6-7,73.571,110,1484.59
77,Indiana,5-7,58.615,52,1484.3
78,Minnesota,5-7,52.385,24,1482.77
79,SMU,7-6,59.5,61,1482.19
80,Mississippi,6-6,68.692,94,1481.04
81,Miami OH,5-7,73.308,109,1479.3
82,Southern Miss,8-5,79.143,118,1477.54
83,New Mexico St,7-6,83.0,125,1474.64
84,Texas Tech,6-7,49.786,15,1474.07
85,Tulane,5-7,58.692,53,1473.31
86,UCLA,6-7,52.143,23,1463.79
87,Florida,4-7,57.167,45,1456.7
88,Colorado,5-7,64.308,83,1456.69
89,Air Force,5-7,60.231,67,1454.7
90,Georgia St,7-5,83.462,127,1454.44
91,Vanderbilt,5-7,58.923,54,1445.73
92,Massachusetts,4-8,74.923,114,1442.38
93,Akron,7-7,56.333,40,1440.48
94,Western Kentucky,6-7,78.571,117,1439.78
95,Virginia,6-7,56.5,42,1436.02
96,UNLV,5-7,80.538,120,1435.91
97,Nevada,3-9,60.462,68,1432.53
98,Nebraska,4-8,42.077,5,1424.18
99,Old Dominion,5-7,71.077,101,1420.82
100,Syracuse,4-8,45.231,6,1419.54
101,North Carolina,3-9,53.923,32,1419.5
102,Tulsa,2-10,55.538,39,1412.28
103,Maryland,4-8,38.385,3,1411.72
104,Brigham Young,4-9,63.643,81,1411.29
105,Rutgers,4-8,54.077,34,1408.48
106,Louisiana-Monroe,4-8,69.308,95,1405.42
107,Tennessee,4-8,58.0,50,1404.58
108,South Alabama,4-8,73.846,111,1394.87
109,Arkansas,4-8,56.385,41,1393.42
110,Louisiana-Lafayette,5-7,89.923,129,1390.63
111,Connecticut,3-9,62.538,77,1387.73
112,East Carolina,3-9,59.308,59,1383.01
113,Baylor,1-11,50.538,16,1379.5
114,Cincinnati,4-8,60.077,65,1378.39
115,Coastal Carolina,3-9,80.462,119,1373.1
116,Georgia Southern,2-10,69.462,96,1371.81
