Team,Week,ELO,Rank
Oklahoma,1,1546.11,1
Alabama,1,1545.18,2
Central Florida,1,1544.78,3
Ohio State,1,1543.26,4
Wisconsin,1,1542.96,5
Boise St,1,1538.66,6
Fresno St,1,1538.3,7
Stanford,1,1533.12,8
Southern Cal,1,1532.56,9
Penn State,1,1532.52,10
Iowa,1,1531.64,11
South Carolina,1,1530.13,12
Boston College,1,1529.77,13
Arizona St,1,1528.98,14
Oregon,1,1527.51,15
Notre Dame,1,1527.48,16
Washington St,1,1527.3,17
Duke,1,1526.32,18
Hawai`i,1,1525.98,19
Auburn,1,1525.96,20
Houston,1,1524.55,21
Minnesota,1,1523.69,22
Michigan St,1,1523.61,23
West Virginia,1,1523.46,24
Mississippi,1,1522.92,25
North Texas,1,1522.72,26
Northwestern,1,1522.3,27
Georgia,1,1521.95,28
Marshall,1,1520.81,29
Colorado,1,1520.72,30
Vanderbilt,1,1520.65,31
Kentucky,1,1520.59,32
Clemson,1,1520.3,33
Wake Forest,1,1517.51,34
Indiana,1,1516.49,35
Rutgers,1,1515.7,36
Louisiana Tech,1,1515.69,37
Oklahoma St,1,1514.88,38
TCU,1,1514.5,39
Memphis,1,1514.49,40
California,1,1514.23,41
South Florida,1,1513.99,42
Mississippi St,1,1512.54,43
Syracuse,1,1512.11,44
Toledo,1,1512.1,45
Ohio U.,1,1510.48,46
North Carolina St,1,1509.79,47
Miami FL,1,1508.44,48
Utah,1,1507.77,49
LSU,1,1507.48,50
Arkansas St,1,1506.91,51
Missouri,1,1506.89,52
Virginia Tech,1,1506.23,53
Iowa St,1,1506.03,54
Buffalo,1,1506.02,55
Texas A&M,1,1505.48,56
Cincinnati,1,1505.46,57
Kansas St,1,1505.35,58
Maryland,1,1505.29,59
Brigham Young,1,1504.95,60
Georgia Tech,1,1504.39,61
Alabama-Birmingham,1,1504.37,62
Florida St,1,1503.44,63
Pittsburgh,1,1503.41,64
Eastern Michigan,1,1503.27,65
Wyoming,1,1502.38,66
Southern Miss,1,1502.33,67
Illinois,1,1502.21,68
Florida,1,1500.93,69
Air Force,1,1499.85,70
Georgia St,1,1499.13,71
Washington,1,1498.36,72
Nevada,1,1498.12,73
Virginia,1,1497.67,74
Louisiana-Lafayette,1,1495.75,75
Arkansas,1,1495.23,76
Tulsa,1,1494.24,77
Akron,1,1494.06,78
Louisiana-Monroe,1,1493.64,79
Appalachian St,1,1493.62,80
Purdue,1,1493.62,81
New Mexico,1,1493.17,82
Nebraska,1,1492.43,83
Baylor,1,1492.11,84
Texas,1,1491.85,85
Georgia Southern,1,1491.85,86
Michigan,1,1490.53,87
Temple,1,1489.73,88
East Carolina,1,1488.3,89
Ball St,1,1487.72,90
UNC-Charlotte,1,1486.98,91
Arizona,1,1486.36,92
Florida Atlantic,1,1485.02,93
Utah St,1,1483.54,94
San Diego St,1,1483.2,95
Tulane,1,1482.94,96
Army,1,1482.73,97
Miami OH,1,1482.63,98
Troy,1,1482.36,99
Florida Int'l,1,1482.11,100
Navy,1,1480.58,101
Central Michigan,1,1480.09,102
Western Michigan,1,1479.42,103
Louisville,1,1479.29,104
South Alabama,1,1478.93,105
UCLA,1,1478.75,106
North Carolina,1,1476.72,107
Northern Illinois,1,1476.37,108
Middle Tennessee St,1,1476.1,109
Texas Tech,1,1474.73,110
SMU,1,1474.45,111
Massachusetts,1,1472.71,112
UNLV,1,1472.58,113
Texas-San Antonio,1,1472.04,114
Western Kentucky,1,1470.24,115
Kent St,1,1467.19,116
Kansas,1,1466.6,117
Tennessee,1,1466.54,118
Rice,1,1464.22,119
Coastal Carolina,1,1463.36,120
Connecticut,1,1463.35,121
Bowling Green,1,1461.84,123
Texas St-San Marcos,1,1461.08,124
Oregon St,1,1458.46,125
San José St,1,1457.98,126
Colorado St,1,1457.14,127
New Mexico St,1,1450.1,128
UTEP,1,1445.66,129
Old Dominion,1,1429.93,130
Alabama,2,1570.98,1
Ohio State,2,1569.94,2
Oklahoma,2,1565.92,3
Wisconsin,2,1564.76,4
Boise St,2,1561.62,5
Penn State,2,1559.18,6
Stanford,2,1553.4,7
Iowa,2,1548.11,8
Central Florida,2,1548.06,9
Washington St,2,1547.54,10
Georgia,2,1546.57,11
Duke,2,1546.43,12
Houston,2,1546.43,13
Vanderbilt,2,1544.72,14
Hawai`i,2,1542.26,15
Notre Dame,2,1541.83,16
Minnesota,2,1540.05,17
Oklahoma St,2,1539.77,18
Arizona St,2,1539.19,19
Kentucky,2,1538.33,20
TCU,2,1537.72,21
North Carolina St,2,1535.51,22
Mississippi St,2,1535.32,23
Boston College,2,1533.57,24
Colorado,2,1533.23,25
Virginia Tech,2,1533.0,26
LSU,2,1532.2,27
South Florida,2,1532.03,28
Missouri,2,1531.5,29
Oregon,2,1531.35,30
Auburn,2,1529.95,31
Maryland,2,1528.51,32
Clemson,2,1528.24,33
Indiana,2,1527.81,34
West Virginia,2,1527.08,35
Cincinnati,2,1526.9,36
Mississippi,2,1526.55,37
North Texas,2,1526.53,38
Utah,2,1524.97,39
California,2,1524.39,40
Marshall,2,1523.71,41
Fresno St,2,1521.94,42
Wake Forest,2,1521.14,43
Buffalo,2,1521.0,44
Appalachian St,2,1520.26,45
Louisiana Tech,2,1519.53,46
Michigan,2,1518.34,47
Syracuse,2,1516.39,48
Georgia Southern,2,1513.57,49
Michigan St,2,1513.4,50
Baylor,2,1512.72,51
Southern Cal,2,1512.29,52
Toledo,2,1512.1,53
Ohio U.,2,1510.48,54
Utah St,2,1509.4,55
Memphis,2,1508.69,56
Eastern Michigan,2,1508.35,57
Texas,2,1507.57,58
Illinois,2,1505.68,59
South Carolina,2,1505.51,60
Washington,2,1502.74,61
Northwestern,2,1502.19,62
Florida Atlantic,2,1500.34,63
Louisiana-Monroe,2,1498.95,64
Akron,2,1498.31,65
Texas A&M,2,1497.54,66
Southern Miss,2,1497.02,67
Florida Int'l,2,1496.47,68
Louisiana-Lafayette,2,1495.75,69
UNLV,2,1495.6,70
Brigham Young,2,1494.79,71
Miami FL,2,1492.52,72
East Carolina,2,1491.89,73
Kansas,2,1491.52,74
Coastal Carolina,2,1490.5,75
Iowa St,2,1489.56,76
Rutgers,2,1489.02,77
Purdue,2,1488.54,78
Troy,2,1487.41,79
Tulane,2,1487.08,80
Army,2,1486.82,81
San Diego St,2,1486.63,82
Navy,2,1486.38,83
Georgia Tech,2,1486.35,84
Virginia,2,1486.35,85
Air Force,2,1484.53,86
Florida St,2,1483.51,87
Louisville,2,1483.46,88
Florida,2,1483.19,89
Kansas St,2,1482.57,90
Arkansas St,2,1481.1,91
Texas Tech,2,1480.52,92
Middle Tennessee St,2,1480.34,93
Nebraska,2,1479.92,94
Tulsa,2,1478.52,95
Wyoming,2,1477.76,96
Arkansas,2,1477.63,97
Alabama-Birmingham,2,1477.23,98
Pittsburgh,2,1476.74,99
Temple,2,1474.75,100
Colorado St,2,1474.74,101
Nevada,2,1474.05,102
Georgia St,2,1473.41,103
Ball St,2,1473.38,104
Kent St,2,1472.33,105
Tennessee,2,1472.16,106
New Mexico,2,1471.37,107
Texas St-San Marcos,2,1465.14,109
Arizona,2,1464.48,110
Oregon St,2,1463.08,111
Miami OH,2,1461.19,112
UNC-Charlotte,2,1460.33,113
Northern Illinois,2,1459.17,114
UCLA,2,1458.94,115
Central Michigan,2,1455.17,116
Western Kentucky,2,1454.33,117
South Alabama,2,1454.04,118
North Carolina,2,1452.49,119
Western Michigan,2,1451.61,120
Texas-San Antonio,2,1451.43,121
SMU,2,1451.23,122
Massachusetts,2,1451.0,123
Rice,2,1447.94,124
Connecticut,2,1440.39,125
Bowling Green,2,1438.62,126
San José St,2,1437.74,127
New Mexico St,2,1424.24,128
UTEP,2,1422.64,129
Old Dominion,2,1415.57,130
Alabama,3,1597.88,1
Ohio State,3,1587.66,2
Penn State,3,1580.92,3
Oklahoma,3,1580.52,4
Georgia,3,1568.8,5
Oklahoma St,3,1565.36,6
Duke,3,1564.59,7
Mississippi St,3,1560.47,8
Minnesota,3,1557.93,9
Stanford,3,1555.99,10
Notre Dame,3,1555.39,11
Clemson,3,1552.98,12
Wisconsin,3,1552.69,13
Iowa,3,1550.94,14
Washington St,3,1550.69,15
Boston College,3,1548.69,16
Indiana,3,1548.63,17
North Texas,3,1548.52,18
Central Florida,3,1548.06,19
South Florida,3,1545.68,20
Oregon,3,1545.34,21
