Date,Team,Opponent,Location,Neutral Site Location
8/25/2018,Colorado St.,Hawaii,H,
8/25/2018,Hawaii,Colorado St.,A,
8/25/2018,Massachusetts,Duquesne,H,
8/25/2018,Rice,Prairie View,H,
8/25/2018,New Mexico St.,Wyoming,H,
8/25/2018,Wyoming,New Mexico St.,A,
8/30/2018,Oklahoma St.,Missouri St.,H,
8/30/2018,San Jose St.,UC Davis,H,
8/30/2018,UAB,Savannah St.,H,
8/30/2018,Georgia St.,Kennesaw St.,H,
8/30/2018,Tulane,Wake Forest,H,
8/30/2018,Wake Forest,Tulane,A,
8/30/2018,La.-Monroe,Southeastern La.,H,
8/30/2018,Minnesota,New Mexico St.,H,
8/30/2018,New Mexico St.,Minnesota,A,
8/30/2018,Utah,Weber St.,H,
8/30/2018,UCF,UConn,A,
8/30/2018,UConn,UCF,H,
8/30/2018,Ball St.,Central Conn. St.,H,
8/30/2018,Northwestern,Purdue,A,
8/30/2018,Purdue,Northwestern,H,
8/30/2018,Texas A&M,Northwestern St.,H,
8/31/2018,Western Ky.,Wisconsin,A,
8/31/2018,Wisconsin,Western Ky.,H,
8/31/2018,Duke,Army West Point,H,
8/31/2018,Army West Point,Duke,A,
8/31/2018,San Diego St.,Stanford,A,
8/31/2018,Stanford,San Diego St.,H,
8/31/2018,Nevada,Portland St.,H,
8/31/2018,Syracuse,Western Mich.,A,
8/31/2018,Western Mich.,Syracuse,H,
8/31/2018,Michigan St.,Utah St.,H,
8/31/2018,Utah St.,Michigan St.,A,
8/31/2018,Colorado St.,Colorado,N,"Denver, Colo."
8/31/2018,Colorado,Colorado St.,N,"Denver, Colo."
8/31/2018,Eastern Mich.,Monmouth,H,
9/1/2018,Air Force,Stony Brook,H,
9/1/2018,UCLA,Cincinnati,H,
9/1/2018,Cincinnati,UCLA,A,
9/1/2018,Missouri,UT Martin,H,
9/1/2018,Louisiana,Grambling,H,
9/1/2018,Marshall,Miami (OH),A,
9/1/2018,Miami (OH),Marshall,H,
9/1/2018,North Texas,SMU,H,
9/1/2018,SMU,North Texas,A,
9/1/2018,South Carolina,Coastal Caro.,H,
9/1/2018,Baylor,Abilene Christian,H,
9/1/2018,TCU,Southern U.,H,
9/1/2018,Houston,Rice,A,
9/1/2018,Rice,Houston,H,
9/1/2018,UNLV,Southern California,A,
9/1/2018,Southern California,UNLV,H,
9/1/2018,Temple,Villanova,H,
9/1/2018,Rutgers,Texas St.,H,
9/1/2018,Texas St.,Rutgers,A,
9/1/2018,Memphis,Mercer,H,
9/1/2018,Kansas St.,South Dakota,H,
9/1/2018,Fresno St.,Idaho,H,
9/1/2018,Idaho,Fresno St.,A,
9/1/2018,Pittsburgh,Albany (NY),H,
9/1/2018,Charlotte,Fordham,H,
9/1/2018,NC State,James Madison,H,
9/1/2018,Arizona,BYU,H,
9/1/2018,BYU,Arizona,A,
9/1/2018,Iowa St.,South Dakota St.,H,
9/1/2018,UTEP,Northern Ariz.,H,
9/1/2018,Southern Miss.,Jackson St.,H,
9/1/2018,East Carolina,N.C. A&T,H,
9/1/2018,New Mexico,Incarnate Word,H,
9/1/2018,Arizona St.,UTSA,H,
9/1/2018,UTSA,Arizona St.,A,
9/1/2018,Appalachian St.,Penn St.,A,
9/1/2018,Penn St.,Appalachian St.,H,
9/1/2018,Florida,Charleston So.,H,
9/1/2018,Washington St.,Wyoming,A,
9/1/2018,Wyoming,Washington St.,H,
9/1/2018,Old Dominion,Liberty,A,
9/1/2018,Arkansas,Eastern Ill.,H,
9/1/2018,Arkansas St.,Southeast Mo. St.,H,
9/1/2018,FIU,Indiana,H,
9/1/2018,Indiana,FIU,A,
9/1/2018,California,North Carolina,H,
9/1/2018,North Carolina,California,A,
9/1/2018,Georgia Tech,Alcorn,H,
9/1/2018,Middle Tenn.,Vanderbilt,H,
9/1/2018,Vanderbilt,Middle Tenn.,A,
9/1/2018,Kansas,Nicholls St.,H,
9/1/2018,Louisiana Tech,South Alabama,A,
9/1/2018,South Alabama,Louisiana Tech,H,
9/1/2018,Boise St.,Troy,A,
9/1/2018,Troy,Boise St.,H,
9/1/2018,Ohio St.,Oregon St.,H,
9/1/2018,Oregon St.,Ohio St.,A,
9/1/2018,Akron,Nebraska,A,
9/1/2018,Nebraska,Akron,H,
9/1/2018,Iowa,Northern Ill.,H,
9/1/2018,Northern Ill.,Iowa,A,
9/1/2018,Central Mich.,Kentucky,A,
9/1/2018,Kentucky,Central Mich.,H,
9/1/2018,Fla. Atlantic,Oklahoma,A,
9/1/2018,Oklahoma,Fla. Atlantic,H,
9/1/2018,Michigan,Notre Dame,A,
9/1/2018,Notre Dame,Michigan,H,
9/1/2018,Clemson,Furman,H,
