Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,13-0,57.286,37,1738.71,0
2,Clemson,13-0,58.214,42,1722.02,0
3,Notre Dame,12-0,58.385,45,1693.82,0
4,Central Florida,12-0,67.0,83,1693.46,0
5,Ohio State,12-1,61.857,62,1681.97,1
6,Oklahoma,12-1,55.214,29,1680.76,1
7,Georgia,11-2,49.214,8,1662.46,-2
8,Michigan,10-2,54.615,24,1646.97,0
9,Fresno St,11-2,70.0,97,1640.65,1
10,Appalachian St,10-2,71.615,105,1630.02,2
11,Boise St,10-3,59.0,48,1629.09,-2
12,Penn State,9-3,54.692,26,1627.84,-1
13,Washington,10-3,59.286,49,1626.51,2
14,Washington St,10-2,67.538,87,1617.47,-1
15,Utah St,10-2,81.308,127,1615.68,-1
16,Cincinnati,10-2,70.0,98,1595.93,2
17,Texas,9-4,58.357,44,1594.85,-1
18,Missouri,8-4,51.231,12,1592.23,1
19,Mississippi St,8-4,55.692,32,1592.22,1
20,LSU,9-3,55.154,28,1592.2,1
21,Temple,8-4,66.923,82,1588.78,1
22,Iowa,8-4,61.692,61,1588.06,1
23,Ohio U.,8-4,76.231,118,1587.72,1
24,North Carolina St,9-3,71.615,104,1587.25,6
25,Syracuse,9-3,66.462,78,1583.49,0
26,Utah,9-4,54.643,25,1583.21,-9
27,Army,9-2,74.417,114,1577.26,1
28,West Virginia,8-3,63.0,67,1577.13,1
29,Buffalo,10-3,72.571,109,1575.72,-3
30,Iowa St,8-4,61.077,59,1572.62,1
31,Texas A&M,8-4,49.231,9,1569.82,1
32,Florida,9-3,58.846,47,1569.76,1
33,Kentucky,9-3,56.231,33,1567.64,1
34,Memphis,8-5,74.0,113,1564.78,-7
35,Troy,9-3,77.308,120,1562.05,2
36,North Texas,9-3,91.615,129,1561.88,2
37,Stanford,8-4,54.538,23,1561.36,8
38,Arkansas St,8-4,75.615,117,1556.74,1
39,Alabama-Birmingham,10-3,75.5,116,1556.12,2
40,Georgia Southern,9-3,74.846,115,1553.23,0
41,Northwestern,8-5,52.714,19,1549.14,-6
42,Miami FL,7-5,62.615,64,1547.27,1
43,Houston,8-4,78.769,123,1545.45,1
44,Michigan St,7-5,52.077,16,1540.88,2
45,Middle Tennessee St,8-5,64.929,74,1539.57,-3
46,Oregon,8-4,66.692,80,1539.22,1
47,Purdue,6-6,48.769,6,1536.54,1
48,Arizona St,7-5,61.538,60,1536.31,1
49,Florida Int'l,8-4,82.615,128,1533.48,1
50,Georgia Tech,7-5,66.923,81,1532.88,1
51,Marshall,8-4,72.0,106,1530.97,-15
52,Boston College,7-5,58.308,43,1530.76,0
53,Toledo,7-5,72.462,108,1527.6,1
54,Auburn,7-5,54.385,22,1527.23,1
55,Wisconsin,7-5,59.769,53,1527.21,1
56,South Carolina,7-5,54.308,21,1526.4,5
57,Miami OH,6-6,62.0,63,1526.38,0
58,Eastern Michigan,7-5,72.923,110,1518.86,0
59,Pittsburgh,7-6,46.429,2,1517.93,-6
60,Virginia,7-5,70.846,99,1516.16,-1
61,San Diego St,7-5,66.0,75,1511.46,-1
62,Vanderbilt,6-6,52.692,18,1510.66,0
63,Northern Illinois,8-5,60.286,56,1509.22,5
64,Southern Miss,6-5,77.333,121,1506.97,0
65,Oklahoma St,6-6,57.923,41,1506.11,0
66,Brigham Young,6-6,59.308,51,1504.74,1
67,Wyoming,6-6,64.154,70,1498.93,2
68,Minnesota,6-6,55.308,30,1498.27,2
69,Nevada,7-5,73.0,111,1496.73,2
70,TCU,6-6,55.154,27,1496.24,2
71,Louisiana-Lafayette,7-6,63.786,68,1495.75,-8
72,Duke,7-5,57.538,39,1494.46,1
73,Arizona,5-7,64.385,71,1492.03,1
74,Wake Forest,6-6,59.308,50,1490.72,1
75,Kansas St,5-7,57.308,38,1490.67,1
76,California,7-5,67.154,84,1489.64,-10
77,Tulane,6-6,62.769,66,1487.71,0
78,Florida Atlantic,5-7,59.846,55,1484.99,0
79,Louisiana Tech,7-5,73.308,112,1484.7,0
80,Southern Cal,5-7,54.154,20,1484.59,0
81,South Florida,7-5,67.769,90,1484.04,0
82,Western Michigan,7-5,67.538,88,1481.8,0
83,Virginia Tech,6-6,62.769,65,1480.16,11
84,Air Force,5-7,67.538,89,1479.7,-1
85,Maryland,5-7,47.538,3,1477.25,-1
86,Baylor,6-6,60.538,57,1476.71,-1
87,Hawai`i,8-5,71.0,100,1469.65,-1
88,Louisiana-Monroe,6-6,72.308,107,1468.3,-1
89,Nebraska,4-8,49.385,11,1467.83,-1
90,Texas Tech,5-7,56.692,35,1462.77,-1
91,Indiana,5-7,47.692,4,1457.09,-1
92,Florida St,5-7,49.308,10,1449.44,-1
93,SMU,5-7,56.923,36,1448.87,-1
94,Tennessee,5-7,48.846,7,1448.7,-1
95,Mississippi,5-7,59.462,52,1440.25,0
96,Colorado,5-7,67.462,86,1435.78,0
97,Western Kentucky,3-9,80.385,125,1416.67,0
98,UNC-Charlotte,5-7,66.385,77,1416.19,0
99,UCLA,3-9,39.538,1,1414.46,0
100,Navy,3-9,52.692,17,1409.01,0
101,Coastal Carolina,5-7,64.615,73,1405.71,0
102,UNLV,4-8,71.077,102,1405.65,0
103,Illinois,4-8,66.077,76,1400.67,1
104,Kansas,3-9,64.077,69,1400.11,1
105,Tulsa,3-9,66.615,79,1390.66,2
106,North Carolina,2-9,59.833,54,1390.41,2
107,Massachusetts,4-8,68.769,94,1388.3,2
108,East Carolina,3-9,58.769,46,1387.05,-5
109,Texas St-San Marcos,3-9,76.846,119,1386.23,1
110,Ball St,4-8,68.462,92,1379.78,1
111,Old Dominion,4-8,78.231,122,1379.66,1
112,Texas-San Antonio,3-9,67.385,85,1377.26,1
113,Akron,4-8,64.385,72,1376.37,-7
114,New Mexico,3-9,68.846,95,1375.99,0
115,Arkansas,2-10,51.923,14,1370.48,0
116,Colorado St,3-9,71.462,103,1368.58,0
117,Bowling Green,3-9,69.308,96,1367.22,0
118,South Alabama,3-9,60.615,58,1365.01,0
119,Kent St,2-10,68.308,91,1354.37,0
120,Georgia St,2-10,57.692,40,1354.04,0
121,San José St,1-11,56.231,34,1348.44,0
122,Rutgers,1-11,51.846,13,1347.81,0
123,Louisville,2-10,48.308,5,1341.57,0
124,Rice,2-11,68.5,93,1338.83,0
125,Oregon St,2-10,51.923,15,1338.08,0
126,Central Michigan,1-11,71.077,101,1333.1,0
127,New Mexico St,3-9,81.231,126,1331.51,0
128,UTEP,1-11,79.769,124,1311.22,0
129,Connecticut,1-11,55.615,31,1296.46,0
