Rank,Team,Record,ELO,SoS,SoS Rank,Change
1,Ohio State,(8-0),1692.38,1520,16,N/A
2,Alabama,(8-0),1679.75,1477,34,N/A
3,Clemson,(8-0),1669.87,1486,31,N/A
4,LSU,(8-0),1656.43,1479,33,N/A
5,Penn State,(8-0),1646.17,1470,46,N/A
6,Oklahoma,(7-1),1618.04,1446,77,N/A
7,Minnesota,(8-0),1617.48,1429,101,N/A
8,Georgia,(6-1),1617.17,1435,94,N/A
9,Wisconsin,(6-2),1613.46,1516,19,N/A
10,Utah,(7-1),1610.25,1443,81,N/A
11,Auburn,(6-2),1610.15,1539,5,N/A
12,Appalachian St,(7-0),1606.43,1404,121,N/A
13,Oregon,(7-1),1605.05,1462,55,N/A
14,Baylor,(7-0),1602.54,1435,94,N/A
15,Central Florida,(6-2),1598.73,1436,92,N/A
16,SMU,(8-0),1597.69,1461,56,N/A
17,Florida,(7-1),1597.21,1428,102,N/A
18,Michigan,(6-2),1596.7,1523,12,N/A
19,Iowa,(6-2),1579.62,1508,23,N/A
20,Iowa St,(5-3),1579.05,1468,50,N/A
21,Memphis,(7-1),1578.58,1425,107,N/A
22,Boise St,(6-1),1575.45,1427,104,N/A
23,Washington,(5-3),1575.2,1454,65,N/A
24,Cincinnati,(6-1),1573.88,1498,27,N/A
25,Air Force,(6-2),1568.23,1451,69,N/A
26,Indiana,(6-2),1564.09,1443,81,N/A
27,Notre Dame,(5-2),1562.92,1513,21,N/A
28,Wake Forest,(6-1),1562.02,1436,92,N/A
29,Wyoming,(6-2),1560.76,1408,120,N/A
30,Navy,(6-1),1559.12,1441,86,N/A
31,San Diego St,(7-1),1554.38,1413,117,N/A
32,Missouri,(5-3),1553.86,1446,77,N/A
33,Louisiana Tech,(7-1),1553.43,1386,124,N/A
34,Texas A&M,(5-3),1553.31,1487,30,N/A
35,Kansas St,(5-2),1550.65,1469,48,N/A
36,Texas,(5-3),1548.49,1526,10,N/A
37,Alabama-Birmingham,(6-1),1547.85,1359,129,N/A
38,Georgia St,(6-2),1544.78,1418,114,N/A
39,Southern Cal,(5-3),1543.19,1515,20,N/A
40,Oklahoma St,(5-3),1541.31,1473,39,N/A
41,TCU,(4-3),1537.23,1473,39,N/A
42,Washington St,(4-4),1533.46,1442,85,N/A
43,Florida St,(4-4),1526.44,1532,6,N/A
44,Virginia,(5-3),1526.37,1452,68,N/A
45,Michigan St,(4-4),1525.6,1549,1,N/A
46,Kentucky,(4-4),1524.81,1518,17,N/A
47,Boston College,(4-4),1520.63,1464,51,N/A
48,Louisiana-Lafayette,(5-2),1514.69,1379,127,N/A
49,Tulane,(5-3),1514.29,1458,60,N/A
50,Western Kentucky,(5-3),1513.49,1428,102,N/A
51,North Carolina,(4-4),1512.54,1531,7,N/A
52,Florida Atlantic,(5-3),1511.81,1444,80,N/A
53,Louisville,(5-3),1509.57,1501,25,N/A
54,Utah St,(4-3),1508.92,1473,39,N/A
55,North Carolina St,(4-3),1507.43,1437,90,N/A
56,Illinois,(4-4),1505.63,1497,28,N/A
57,Arizona St,(5-3),1504.95,1450,71,N/A
58,Virginia Tech,(5-2),1503.98,1376,128,N/A
59,Duke,(4-4),1502.34,1464,51,N/A
60,Nebraska,(4-4),1498.85,1504,24,N/A
61,Western Michigan,(5-4),1498.32,1427,104,N/A
62,Pittsburgh,(5-3),1497.74,1473,39,N/A
63,Mississippi,(3-5),1496.02,1485,32,N/A
64,Miami FL,(4-4),1495.92,1455,64,N/A
65,Tennessee,(3-5),1494.93,1499,26,N/A
66,Georgia Southern,(4-3),1494.08,1438,88,N/A
67,Stanford,(4-4),1493.54,1517,18,N/A
68,Southern Miss,(5-3),1491.6,1437,90,N/A
69,Hawai`i,(5-3),1490.65,1453,67,N/A
70,Mississippi St,(3-5),1490.59,1549,1,N/A
71,Temple,(5-3),1490.26,1461,56,N/A
72,Texas Tech,(3-5),1486.42,1474,38,N/A
73,Oregon St,(3-4),1483.98,1449,73,N/A
74,Marshall,(5-3),1483.45,1443,81,N/A
75,California,(4-4),1482.95,1477,34,N/A
76,Buffalo,(4-4),1481.82,1384,125,N/A
77,Troy,(3-4),1481.48,1412,118,N/A
78,South Florida,(4-4),1480.71,1448,74,N/A
79,Coastal Carolina,(3-4),1479.38,1426,106,N/A
80,Maryland,(3-5),1478.89,1472,44,N/A
81,South Carolina,(3-5),1477.73,1510,22,N/A
82,Army,(3-5),1477.02,1438,88,N/A
83,Fresno St,(3-4),1476.7,1435,94,N/A
84,Kansas,(3-5),1476.28,1472,44,N/A
85,West Virginia,(3-4),1475.81,1493,29,N/A
86,Ohio U.,(4-4),1475.05,1422,111,N/A
87,Florida Int'l,(4-4),1473.24,1409,119,N/A
88,Central Michigan,(5-4),1471.85,1417,115,N/A
89,UCLA,(3-5),1469.08,1527,9,N/A
90,San José St,(4-4),1468.75,1430,99,N/A
91,Arkansas St,(4-4),1467.02,1458,60,N/A
92,Brigham Young,(3-4),1466.85,1521,15,N/A
93,Purdue,(2-6),1465.2,1530,8,N/A
94,Ball St,(4-4),1464.82,1432,98,N/A
95,Arizona,(4-4),1464.12,1448,74,N/A
96,Toledo,(5-3),1463.57,1417,115,N/A
97,Houston,(3-5),1462.69,1473,39,N/A
98,Syracuse,(3-5),1462.27,1423,110,N/A
99,Arkansas,(2-6),1457.76,1477,34,N/A
100,Colorado St,(3-5),1455.11,1425,107,N/A
101,Middle Tennessee St,(3-5),1454.45,1457,63,N/A
102,Eastern Michigan,(4-4),1451.65,1435,94,N/A
103,Miami OH,(4-4),1450.63,1464,51,N/A
