Rank,Team,Record,ELO,SoS,SoS Rank,Change,Conference,Is P5
1,Ohio State,(12-0),1803.56,1542,25,N/A,Big 10 East,True
2,Clemson,(12-0),1777.82,1498,73,N/A,ACC Atlantic,True
3,LSU,(12-0),1768.79,1529,36,N/A,SEC West,True
4,Georgia,(11-1),1738.19,1533,35,N/A,SEC East,True
5,Utah,(11-1),1718.11,1477,89,N/A,PAC 12 South,True
6,Alabama,(10-2),1718.06,1499,72,N/A,SEC West,True
7,Wisconsin,(10-2),1707.94,1554,7,N/A,Big 10 West,True
8,Florida,(10-2),1697.71,1554,7,N/A,SEC East,True
9,Oklahoma,(11-1),1694.86,1519,56,N/A,Big 12,True
10,Appalachian St,(11-1),1692.6,1455,108,N/A,Sun Belt East,False
11,Oregon,(10-2),1691.38,1518,57,N/A,PAC 12 North,True
12,Penn State,(10-2),1687.37,1544,22,N/A,Big 10 East,True
13,Memphis,(11-1),1687.36,1487,81,N/A,AAC West,False
14,Baylor,(11-1),1680.41,1484,84,N/A,Big 12,True
15,Notre Dame,(10-2),1675.81,1535,32,N/A,Independent,False
16,Michigan,(9-3),1667.2,1559,6,N/A,Big 10 East,True
17,Auburn,(9-3),1666.53,1577,2,N/A,SEC West,True
18,Boise St,(11-1),1663.08,1448,116,N/A,MW Mountain,False
19,Central Florida,(9-3),1659.7,1473,95,N/A,AAC East,False
20,North Dakota St,(12-0),1649.98,1355,204,N/A,MVFC,False
21,Air Force,(10-2),1646.31,1450,113,N/A,MW Mountain,False
22,Minnesota,(10-2),1645.68,1521,52,N/A,Big 10 West,True
23,Louisiana-Lafayette,(10-2),1640.85,1458,105,N/A,Sun Belt West,False
24,Iowa,(9-3),1633.81,1541,26,N/A,Big 10 West,True
25,James Madison,(11-1),1627.3,1385,170,N/A,CAA,False
26,SMU,(10-2),1624.29,1478,88,N/A,AAC West,False
27,Virginia,(9-3),1622.61,1489,79,N/A,ACC Coastal,True
28,Navy,(9-2),1614.56,1506,63,N/A,AAC West,False
29,Washington,(7-5),1613.72,1527,41,N/A,PAC 12 North,True
30,Kansas St,(8-4),1610.74,1524,49,N/A,Big 12,True
