Rank,Conference,Elo
1,SEC West,1593.18
2,Big 10 East,1578.64
3,SEC East,1577.23
4,Big 12,1562.58
5,Big 10 West,1558.26
6,ACC Atlantic,1549.24
7,AAC West,1548.16
8,PAC 12 North,1546.16
9,Sun Belt East,1536.66
10,PAC 12 South,1523.32
11,MW Mountain,1522.03
12,ACC Coastal,1516.38
13,AAC East,1497.01
14,MW West,1493.31
15,MAC West,1469.41
16,Independent,1458.11
17,Sun Belt West,1455.45
18,Ivy League,1429.69
19,MVFC,1428.37
20,MAC East,1426.74
21,CUSA East,1425.01
22,CAA,1419.37
23,FCS,1387.89
24,CUSA West,1368.51
25,Big Sky,1368.18
26,Big South,1367.8
27,OVC,1364.56
28,Southland,1361.6
29,Southern,1359.6
30,NEC,1356.09
31,MEAC,1345.34
32,SWAC West,1338.61
33,Pioneer,1338.44
34,SWAC East,1301.91
35,Patriot,1294.68
36,CFB,1100.0
