,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,0,Mid-American,2459,"[0, 0, 3, 7]",10,0.06022094309488446,Northern Illinois,False,,Big 12,66,"[7, 10, 0, 10]",27,0.9397790569051155,Iowa State,302450066,False,2010,regular,2010-09-02T20:00:00.000Z,,Jack Trice Stadium,3772.0,1
1,0,Big Ten,356,"[3, 10, 0, 0]",13,0.01671621365701703,Illinois,False,,Big 12,142,"[0, 3, 7, 13]",23,0.983283786342983,Missouri,302470142,True,2010,regular,2010-09-04T12:30:00.000Z,,,,1
2,0,Big 12,38,"[7, 10, 7, 0]",24,0.6353201087841098,Colorado,False,,Mountain West,36,"[0, 0, 0, 3]",3,0.36467989121589023,Colorado State,302470036,True,2010,regular,2010-09-04T14:00:00.000Z,,,,1
3,0,Big 12,251,"[0, 24, 7, 3]",34,0.30673803371970465,Texas,False,,Conference USA,242,"[3, 7, 0, 7]",17,0.6932619662802953,Rice,302470242,True,2010,regular,2010-09-04T15:30:00.000Z,,,,1
4,0,Pac-10,26,"[0, 10, 3, 9]",22,0.5196944779065782,UCLA,False,,Big 12,2306,"[7, 0, 10, 14]",31,0.4803055220934218,Kansas State,302472306,False,2010,regular,2010-09-04T15:30:00.000Z,,Bill Snyder Family Football Stadium,3636.0,1
5,0,Western Athletic,328,"[0, 10, 14, 0]",24,0.471362302410241,Utah State,False,,Big 12,201,"[14, 7, 10, 0]",31,0.528637697589759,Oklahoma,302470201,False,2010,regular,2010-09-04T19:00:00.000Z,,Gaylord Family Oklahoma Memorial Stadium,3835.0,1
6,0,,2449,"[0, 3, 3, 0]",6,0.04713247006082821,North Dakota State,False,,Big 12,2305,"[3, 0, 0, 0]",3,0.9528675299391718,Kansas,302472305,False,2010,regular,2010-09-04T19:00:00.000Z,,Memorial Stadium,3833.0,1
7,0,,2617,"[0, 7, 0, 0]",7,0.0003939228592735322,Stephen F. Austin,False,,Big 12,245,"[7, 13, 21, 7]",48,0.9996060771407265,Texas A&M,302470245,False,2010,regular,2010-09-04T19:00:00.000Z,,Kyle Field,3795.0,1
8,0,,2534,"[0, 0, 0, 3]",3,0.03100525381699437,Sam Houston State,False,,Big 12,239,"[14, 7, 7, 6]",34,0.9689947461830056,Baylor,302470239,False,2010,regular,2010-09-04T19:00:00.000Z,,Floyd Casey Stadium,3724.0,1
9,0,Pac-10,265,"[0, 10, 0, 7]",17,0.020289751146833068,Washington State,False,,Big 12,197,"[17, 21, 13, 14]",65,0.9797102488531669,Oklahoma State,302470197,False,2010,regular,2010-09-04T19:00:00.000Z,,Boone Pickens Stadium,3646.0,1
10,0,Sun Belt,98,"[0, 0, 3, 7]",10,0.0033412525420207784,Western Kentucky,False,,Big 12,158,"[14, 7, 14, 14]",49,0.9966587474579792,Nebraska,302470158,False,2010,regular,2010-09-04T19:00:00.000Z,,Memorial Stadium,3834.0,1
11,0,Conference USA,2567,"[0, 7, 10, 10]",27,0.1808313699807067,SMU,False,,Big 12,2641,"[7, 14, 14, 0]",35,0.8191686300192933,Texas Tech,302482641,False,2010,regular,2010-09-05T15:30:00.000Z,,Jones AT&T Stadium,3784.0,1
12,0,Big 12,142,"[3, 7, 14, 0]",24,0.3347607700486732,Missouri,False,,Big Ten,2294,"[7, 10, 3, 7]",27,0.6652392299513268,Iowa,303622294,True,2010,postseason,2010-12-28T22:00:00.000Z,,Sun Devil Stadium,3947.0,1
13,0,Big Ten,356,"[6, 10, 8, 14]",38,0.5764866889336778,Illinois,False,,Big 12,239,"[0, 0, 7, 7]",14,0.4235133110663222,Baylor,303630239,True,2010,postseason,2010-12-29T18:00:00.000Z,,,,1
14,0,Big 12,197,"[17, 6, 10, 3]",36,0.12258519301673299,Oklahoma State,False,,Pac-10,12,"[7, 0, 3, 0]",10,0.877414806983267,Arizona,303630012,True,2010,postseason,2010-12-29T21:15:00.000Z,,Alamodome,3604.0,1
15,0,Big 12,2306,"[7, 7, 7, 13]",34,0.06934437371354896,Kansas State,False,,Big East,183,"[7, 7, 13, 9]",36,0.930655626286451,Syracuse,303640183,True,2010,postseason,2010-12-30T15:20:00.000Z,,,,1
16,0,Big 12,158,"[0, 7, 0, 0]",7,0.07159947230889141,Nebraska,False,,Pac-10,264,"[10, 0, 7, 2]",19,0.9284005276911086,Washington,303640264,True,2010,postseason,2010-12-30T22:00:00.000Z,,Qualcomm Stadium,3932.0,1
17,0,Big Ten,77,"[0, 6, 18, 14]",38,0.15982900441325887,Northwestern,False,,Big 12,2641,"[10, 14, 14, 7]",45,0.8401709955867411,Texas Tech,310012641,True,2010,postseason,2011-01-01T12:00:00.000Z,,,,1
18,0,Big East,41,"[0, 10, 10, 0]",20,0.08965480404200199,Connecticut,False,,Big 12,201,"[14, 6, 14, 14]",48,0.910345195957998,Oklahoma,310010201,True,2010,postseason,2011-01-01T20:30:00.000Z,,,,1
19,0,SEC,99,"[7, 21, 7, 6]",41,0.12584788447697937,LSU,False,,Big 12,245,"[10, 7, 0, 7]",24,0.8741521155230206,Texas A&M,310070245,True,2010,postseason,2011-01-07T20:30:00.000Z,,,,1
20,0,ACC,59,"[7, 10, 0, 8]",25,0.6208847676400755,Georgia Tech,False,,Big 12,2305,"[7, 7, 7, 7]",28,0.3791152323599245,Kansas,302542305,False,2010,regular,2010-09-11T12:00:00.000Z,,Memorial Stadium,3833.0,2
21,0,Western Athletic,70,"[0, 3, 7, 7]",17,0.028110640768754136,Idaho,False,,Big 12,158,"[3, 28, 7, 0]",38,0.9718893592312459,Nebraska,302540158,False,2010,regular,2010-09-11T12:30:00.000Z,,Memorial Stadium,3834.0,2
22,0,ACC,52,"[7, 0, 0, 10]",17,0.016539991398489495,Florida State,False,,Big 12,201,"[14, 20, 10, 3]",47,0.9834600086015105,Oklahoma,302540201,False,2010,regular,2010-09-11T15:30:00.000Z,,Gaylord Family Oklahoma Memorial Stadium,3835.0,2
23,0,Big 12,66,"[0, 0, 0, 7]",7,0.014269837476796887,Iowa State,False,,Big Ten,2294,"[7, 21, 7, 0]",35,0.9857301625232031,Iowa,302542294,False,2010,regular,2010-09-11T15:30:00.000Z,,Kinnick Stadium,3793.0,2
24,0,Big 12,38,"[0, 0, 7, 0]",7,0.35178421303897534,Colorado,False,,Pac-10,25,"[14, 17, 0, 21]",52,0.6482157869610247,California,302540025,False,2010,regular,2010-09-11T15:30:00.000Z,,California Memorial Stadium,3831.0,2
25,0,Sun Belt,2653,"[3, 24, 3, 8]",38,0.05491642337798608,Troy,False,,Big 12,197,"[3, 17, 14, 7]",41,0.9450835766220139,Oklahoma State,302540197,False,2010,regular,2010-09-11T19:00:00.000Z,,Boone Pickens Stadium,3646.0,2
26,0,Mountain West,2751,"[0, 7, 0, 0]",7,0.034934226946985336,Wyoming,False,,Big 12,251,"[3, 17, 7, 7]",34,0.9650657730530147,Texas,302540251,False,2010,regular,2010-09-11T19:00:00.000Z,,Darrell K Royal-Texas Memorial Stadium,3910.0,2
27,0,,2377,"[0, 0, 0, 6]",6,,McNeese,False,,Big 12,142,"[14, 19, 17, 0]",50,,Missouri,302540142,False,2010,regular,2010-09-11T19:00:00.000Z,,Faurot Field,3838.0,2
28,0,Mid-American,2084,"[0, 3, 3, 0]",6,0.1944064892580798,Buffalo,False,,Big 12,239,"[10, 17, 7, 0]",34,0.8055935107419202,Baylor,302540239,False,2010,regular,2010-09-11T19:00:00.000Z,,Floyd Casey Stadium,3724.0,2
29,0,Western Athletic,2348,"[3, 7, 6, 0]",16,0.003137482565233385,Louisiana Tech,False,,Big 12,245,"[7, 14, 17, 10]",48,0.9968625174347666,Texas A&M,302540245,False,2010,regular,2010-09-11T19:00:00.000Z,,Kyle Field,3795.0,2
