,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,0,Big Ten,2509,"[0, 3, 0, 9]",12,0.10409457456127735,Purdue,False,,FBS Independents,87,"[7, 6, 7, 3]",23,0.8959054254387226,Notre Dame,302470087,False,2010,regular,2010-09-04T15:30:00.000Z,,Notre Dame Stadium,3855.0,1
1,0,FBS Independents,349,"[7, 7, 10, 7]",31,,Army,False,,Mid-American,2199,"[7, 7, 6, 7]",27,,Eastern Michigan,302472199,False,2010,regular,2010-09-04T19:00:00.000Z,,Rynearson Stadium,3912.0,1
2,0,FBS Independents,2426,"[0, 7, 7, 0]",14,0.4426408632371197,Navy,False,,ACC,120,"[14, 0, 0, 3]",17,0.5573591367628803,Maryland,302490120,True,2010,regular,2010-09-06T16:00:00.000Z,,,,1
3,0,FBS Independents,2426,"[0, 14, 0, 0]",14,0.03766821776399565,Navy,False,,Mountain West,21,"[14, 7, 0, 14]",35,0.9623317822360044,San Diego State,303570021,False,2010,postseason,2010-12-23T20:00:00.000Z,,Qualcomm Stadium,3932.0,1
4,0,FBS Independents,349,"[13, 3, 0, 0]",16,0.24044490984240352,Army,False,,Conference USA,2567,"[0, 0, 7, 7]",14,0.7595550901575965,SMU,303642567,False,2010,postseason,2010-12-30T12:00:00.000Z,,Gerald J. Ford Stadium,3735.0,1
5,0,FBS Independents,87,"[14, 13, 3, 3]",33,0.40646112274185464,Notre Dame,False,,ACC,2390,"[0, 3, 0, 14]",17,0.5935388772581454,Miami,303652390,True,2010,postseason,2010-12-31T14:00:00.000Z,,Sun Bowl Stadium,3946.0,1
6,0,Western Athletic,62,"[14, 7, 7, 3]",31,0.5745398306358758,Hawai'i,False,,FBS Independents,349,"[0, 7, 21, 0]",28,0.4254601693641243,Army,302540349,False,2010,regular,2010-09-11T12:00:00.000Z,,Blaik Field at Michie Stadium,3841.0,2
7,0,,290,"[0, 0, 7, 0]",7,0.01946498495808424,Georgia Southern,False,,FBS Independents,2426,"[6, 7, 0, 0]",13,0.9805350150419158,Navy,302542426,False,2010,regular,2010-09-11T15:30:00.000Z,,Navy-Marine Corps Memorial Stadium,3852.0,2
8,0,Big Ten,130,"[14, 7, 0, 7]",28,0.5640382056482707,Michigan,False,,FBS Independents,87,"[7, 0, 10, 7]",24,0.43596179435172927,Notre Dame,302540087,False,2010,regular,2010-09-11T15:30:00.000Z,,Notre Dame Stadium,3855.0,2
9,0,Sun Belt,249,"[0, 0, 0, 0]",0,0.04532912121383703,North Texas,False,,FBS Independents,349,"[7, 7, 7, 3]",24,0.954670878786163,Army,302610349,False,2010,regular,2010-09-18T12:00:00.000Z,,Blaik Field at Michie Stadium,3841.0,3
10,0,FBS Independents,2426,"[7, 9, 14, 7]",37,0.34621938734537616,Navy,False,,Western Athletic,2348,"[3, 20, 0, 0]",23,0.6537806126546238,Louisiana Tech,302612348,False,2010,regular,2010-09-18T19:00:00.000Z,,Joe Aillet Stadium,3776.0,3
11,0,FBS Independents,87,"[7, 0, 14, 7, 3]",31,0.2919563541792125,Notre Dame,False,,Big Ten,127,"[0, 7, 14, 7, 6]",34,0.7080436458207875,Michigan State,302610127,False,2010,regular,2010-09-18T20:00:00.000Z,,Spartan Stadium,3936.0,3
12,0,FBS Independents,349,"[14, 7, 14, 0]",35,0.20782335556255505,Army,False,,ACC,150,"[7, 0, 0, 14]",21,0.792176644437445,Duke,302680150,False,2010,regular,2010-09-25T15:00:00.000Z,,Wallace Wade Stadium,3982.0,4
13,0,Pac-10,24,"[10, 6, 3, 18]",37,0.5296623589255456,Stanford,False,,FBS Independents,87,"[3, 3, 0, 8]",14,0.47033764107445447,Notre Dame,302680087,False,2010,regular,2010-09-25T15:30:00.000Z,,Notre Dame Stadium,3855.0,4
14,0,Mid-American,218,"[13, 0, 8, 21]",42,0.3370620916944508,Temple,False,,FBS Independents,349,"[7, 14, 7, 7]",35,0.6629379083055492,Army,302750349,False,2010,regular,2010-10-02T12:00:00.000Z,,Blaik Field at Michie Stadium,3841.0,5
15,0,FBS Independents,2426,"[0, 3, 3, 0]",6,0.4583443618892359,Navy,False,,Mountain West,2005,"[7, 0, 0, 7]",14,0.5416556381107641,Air Force,302752005,False,2010,regular,2010-10-02T14:30:00.000Z,,Falcon Stadium,3713.0,5
16,0,FBS Independents,87,"[21, 3, 7, 0]",31,0.3226577047689282,Notre Dame,False,,ACC,103,"[7, 6, 0, 0]",13,0.6773422952310718,Boston College,302750103,False,2010,regular,2010-10-02T20:00:00.000Z,,Alumni Stadium,3615.0,5
17,0,FBS Independents,349,"[7, 17, 7, 10]",41,0.23566000677488397,Army,False,,Conference USA,2655,"[7, 0, 0, 16]",23,0.764339993225116,Tulane,302822655,False,2010,regular,2010-10-09T15:30:00.000Z,,Mercedes-Benz Superdome,3493.0,6
18,0,Big East,221,"[3, 0, 7, 7]",17,0.356297965786049,Pittsburgh,False,,FBS Independents,87,"[7, 10, 3, 3]",23,0.643702034213951,Notre Dame,302820087,False,2010,regular,2010-10-09T15:30:00.000Z,,Notre Dame Stadium,3855.0,6
19,0,FBS Independents,2426,"[7, 7, 7, 7]",28,0.18849779017532275,Navy,False,,ACC,154,"[7, 10, 7, 3]",27,0.8115022098246772,Wake Forest,302820154,False,2010,regular,2010-10-09T18:30:00.000Z,,BB&T Field,3630.0,6
