,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,0,SEC,344,"[17, 14, 14, 14]",59,0.684377713624675,Mississippi State,False,1.82052415005543,Conference USA,235,"[0, 7, 0, 7]",14,0.31562228637532497,Memphis,312440235,False,2011,regular,2011-09-01T20:00:00.000Z,,Liberty Bowl Memorial Stadium,3805.0,1
1,0,SEC,96,"[0, 7, 0, 7]",14,0.19879327407816294,Kentucky,False,5.69120252998087,Sun Belt,98,"[3, 0, 0, 0]",3,0.8012067259218371,Western Kentucky,312440098,True,2011,regular,2011-09-01T21:15:00.000Z,,Nissan Stadium,3810.0,1
2,0,Western Athletic,328,"[14, 7, 3, 14]",38,0.3191898319544272,Utah State,False,7.06323786750134,SEC,2,"[7, 7, 14, 14]",42,0.6808101680455728,Auburn,312460002,False,2011,regular,2011-09-03T12:00:00.000Z,,Jordan-Hare Stadium,3785.0,1
3,0,Mid-American,2309,"[0, 0, 7, 0]",7,0.0003835826983550339,Kent State,False,1.91610238054849,SEC,333,"[21, 3, 14, 10]",48,0.999616417301645,Alabama,312460333,False,2011,regular,2011-09-03T12:20:00.000Z,,Bryant Denny Stadium,3657.0,1
4,0,FBS Independents,252,"[0, 0, 0, 14]",14,0.49286817675134775,BYU,False,6.3545312295358,SEC,145,"[0, 3, 7, 3]",13,0.5071318232486522,Ole Miss,312460145,False,2011,regular,2011-09-03T16:45:00.000Z,,Vaught-Hemingway Stadium,3974.0,1
5,0,,149,"[0, 7, 2, 7]",16,,Montana,False,,SEC,2633,"[14, 14, 7, 7]",42,,Tennessee,312462633,False,2011,regular,2011-09-03T18:00:00.000Z,,Neyland Stadium,3853.0,1
6,0,Sun Belt,2226,"[0, 3, 0, 0]",3,0.001229765886123113,Florida Atlantic,False,2.11164849462945,SEC,57,"[10, 14, 7, 10]",41,0.9987702341138769,Florida,312460057,False,2011,regular,2011-09-03T19:00:00.000Z,,Ben Hill Griffin Stadium,3634.0,1
7,0,Conference USA,151,"[7, 17, 7, 6]",37,0.031140295752733915,East Carolina,False,6.51115113958539,SEC,2579,"[0, 14, 28, 14]",56,0.9688597042472661,South Carolina,312462579,True,2011,regular,2011-09-03T19:00:00.000Z,,,,1
8,0,,2623,"[0, 0, 7, 0]",7,4.614281649317764e-05,Missouri State,False,1.26683465131478,SEC,8,"[20, 10, 14, 7]",51,0.9999538571835068,Arkansas,312460008,False,2011,regular,2011-09-03T19:00:00.000Z,,Donald W. Reynolds Razorback Stadium Frank Broyles Field,3887.0,1
9,0,,2210,"[0, 7, 7, 0]",14,0.510824134462103,Elon,False,3.20341870562838,SEC,238,"[7, 14, 3, 21]",45,0.48917586553789705,Vanderbilt,312460238,False,2011,regular,2011-09-03T19:30:00.000Z,,Vanderbilt Stadium,3973.0,1
