,_school,elo,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division
1,Alabama,1755.32,,LSU,(0 - 21) W,32.89,(12 - 1),(8 - 1),SEC,West
2,LSU,1731.81,,Alabama,(0 - 21) L,-32.89,(13 - 1),(9 - 1),SEC,West
3,Oklahoma State,1723.61,,Stanford,(41 - 38) W,10.99,(12 - 1),(8 - 1),Big 12,
4,Boise State,1719.96,,Arizona State,(56 - 24) W,14.36,(12 - 1),(6 - 1),Mountain West,
5,Oregon,1715.55,,Wisconsin,(45 - 38) W,17.07,(12 - 2),(9 - 2),Pac-12,North
6,Houston,1694.98,,Penn State,(14 - 30) W,21.89,(13 - 1),(8 - 1),Conference USA,West
7,Stanford,1688.24,,Oklahoma State,(41 - 38) L,-10.99,(11 - 2),(8 - 2),Pac-12,North
8,Southern Mississippi,1686.15,,Nevada,(24 - 17) W,11.66,(12 - 2),(7 - 2),Conference USA,East
9,Wisconsin,1680.61,,Oregon,(45 - 38) L,-17.07,(11 - 3),(7 - 3),Big Ten,Leaders
10,Michigan,1676.18,,Virginia Tech,(20 - 23) W,12.7,(11 - 2),(6 - 2),Big Ten,Legends
11,Oklahoma,1668.07,,Iowa,(31 - 14) W,16.75,(10 - 3),(6 - 3),Big 12,
12,TCU,1659.11,,Louisiana Tech,(24 - 31) W,18.06,(11 - 2),(7 - 2),Mountain West,
13,Arkansas,1656.11,,Kansas State,(29 - 16) W,19.58,(11 - 2),(6 - 2),SEC,West
14,USC,1650.79,,UCLA,(50 - 0) W,20.23,(10 - 2),(7 - 2),Pac-12,South
15,South Carolina,1650.24,,Nebraska,(30 - 13) W,22.32,(11 - 2),(6 - 2),SEC,East
16,Michigan State,1640.49,,Georgia,(30 - 33) W,13.78,(11 - 3),(7 - 3),Big Ten,Legends
17,Florida State,1633.28,,Notre Dame,(14 - 18) W,14.65,(9 - 4),(5 - 4),ACC,Atlantic
18,Northern Illinois,1629.87,,Arkansas State,(38 - 20) W,25.68,(11 - 3),(8 - 3),Mid-American,West
19,Virginia Tech,1622.5,,Michigan,(20 - 23) L,-12.7,(11 - 3),(7 - 3),ACC,Coastal
20,West Virginia,1622.15,,Clemson,(33 - 70) W,36.96,(10 - 3),(5 - 3),Big East,
21,Georgia,1620.64,,Michigan State,(30 - 33) L,-13.78,(10 - 4),(7 - 4),SEC,East
22,Temple,1615.6,,Wyoming,(15 - 37) W,24.92,(9 - 4),(5 - 4),Mid-American,East
23,Cincinnati,1614.89,,Vanderbilt,(24 - 31) W,17.1,(10 - 3),(5 - 3),Big East,
24,Baylor,1612.24,,Washington,(67 - 56) W,15.44,(10 - 3),(6 - 3),Big 12,
25,BYU,1604.76,,Tulsa,(21 - 24) W,13.52,(10 - 3),(0 - 3),FBS Independents,
26,Toledo,1603.17,,Air Force,(41 - 42) W,5.42,(9 - 4),(7 - 4),Mid-American,West
27,Arkansas State,1601.21,,Northern Illinois,(38 - 20) L,-25.68,(10 - 3),(8 - 3),Sun Belt,
28,Ohio,1588.91,,Utah State,(23 - 24) W,5.96,(10 - 4),(6 - 4),Mid-American,East
29,Nebraska,1582.77,,South Carolina,(30 - 13) L,-22.32,(9 - 4),(5 - 4),Big Ten,Legends
30,Missouri,1580.77,,North Carolina,(24 - 41) W,26.81,(8 - 5),(5 - 5),Big 12,
31,Kansas State,1580.41,,Arkansas,(29 - 16) L,-19.58,(10 - 3),(7 - 3),Big 12,
32,Rutgers,1579.9,,Iowa State,(13 - 27) W,21.55,(9 - 4),(4 - 4),Big East,
33,Tulsa,1576.75,,BYU,(21 - 24) L,-13.52,(8 - 5),(7 - 5),Conference USA,West
34,Texas A&M,1574.89,,Northwestern,(22 - 33) W,21.44,(7 - 6),(4 - 6),Big 12,
35,Louisiana Tech,1573.14,,TCU,(24 - 31) L,-18.06,(8 - 5),(6 - 5),Western Athletic,
36,Notre Dame,1573.08,,Florida State,(14 - 18) L,-14.65,(8 - 5),(0 - 5),FBS Independents,
37,Clemson,1566.61,,West Virginia,(33 - 70) L,-36.96,(10 - 4),(7 - 4),ACC,Atlantic
38,Penn State,1558.86,,Houston,(14 - 30) L,-21.89,(9 - 4),(6 - 4),Big Ten,Leaders
39,NC State,1553.87,,Louisville,(31 - 24) W,17.51,(8 - 5),(4 - 5),ACC,Atlantic
40,Georgia Tech,1550.41,,Utah,(30 - 27) L,-12.28,(8 - 5),(5 - 5),ACC,Coastal
41,Texas,1546.9,,California,(21 - 10) W,20.77,(8 - 5),(4 - 5),Big 12,
42,Utah,1546.06,,Georgia Tech,(30 - 27) W,12.28,(8 - 5),(4 - 5),Pac-12,South
43,Florida International,1543.78,,Marshall,(20 - 10) L,-24.89,(8 - 5),(5 - 5),Sun Belt,
44,Nevada,1540.88,,Southern Mississippi,(24 - 17) L,-11.66,(7 - 6),(5 - 6),Western Athletic,
45,SMU,1536.47,,Pittsburgh,(6 - 28) W,32.16,(8 - 5),(5 - 5),Conference USA,West
46,San Diego State,1532.17,,Louisiana,(32 - 30) L,-9.52,(8 - 5),(4 - 5),Mountain West,
47,Mississippi State,1531.34,,Wake Forest,(17 - 23) W,16.42,(7 - 6),(2 - 6),SEC,West
48,Louisiana,1531.1,,San Diego State,(32 - 30) W,9.52,(9 - 4),(6 - 4),Sun Belt,
49,Louisville,1527.79,,NC State,(31 - 24) L,-17.51,(7 - 6),(5 - 6),Big East,
50,Auburn,1526.69,,Virginia,(43 - 24) W,25.61,(8 - 5),(4 - 5),SEC,West
51,Utah State,1523.08,,Ohio,(23 - 24) L,-5.96,(7 - 6),(5 - 6),Western Athletic,
52,Miami,1523.06,,Boston College,(17 - 24) L,-25.09,(6 - 6),(3 - 6),ACC,Coastal
53,Iowa,1521.87,,Oklahoma,(31 - 14) L,-16.75,(7 - 6),(4 - 6),Big Ten,Legends
54,Western Michigan,1519.93,,Purdue,(37 - 32) L,-16.97,(7 - 6),(5 - 6),Mid-American,West
55,Florida,1518.45,,Ohio State,(24 - 17) W,18.12,(7 - 6),(3 - 6),SEC,East
56,California,1511.4,,Texas,(21 - 10) L,-20.77,(7 - 6),(5 - 6),Pac-12,North
57,Western Kentucky,1511.34,,Troy,(41 - 18) W,19.29,(7 - 5),(7 - 5),Sun Belt,
58,Vanderbilt,1510.42,,Cincinnati,(24 - 31) L,-17.1,(6 - 7),(2 - 7),SEC,East
59,Ohio State,1504.62,,Florida,(24 - 17) L,-18.12,(6 - 7),(3 - 7),Big Ten,Leaders
60,Air Force,1504.23,,Toledo,(41 - 42) L,-5.42,(7 - 6),(3 - 6),Mountain West,
61,North Carolina,1503.97,,Missouri,(24 - 41) L,-26.81,(7 - 6),(3 - 6),ACC,Coastal
62,Purdue,1496.13,,Western Michigan,(37 - 32) W,16.97,(7 - 6),(4 - 6),Big Ten,Leaders
63,Pittsburgh,1495.16,,SMU,(6 - 28) L,-32.16,(6 - 7),(4 - 7),Big East,
64,Navy,1492.34,,Army,(27 - 21) W,12.57,(5 - 7),(0 - 7),FBS Independents,
65,Marshall,1490.39,,Florida International,(20 - 10) W,24.89,(7 - 6),(5 - 6),Conference USA,East
66,Virginia,1490.32,,Auburn,(43 - 24) L,-25.61,(8 - 5),(5 - 5),ACC,Coastal
67,UCF,1489.05,,UTEP,(31 - 14) W,23.74,(5 - 7),(3 - 7),Conference USA,East
68,Washington,1488.79,,Baylor,(67 - 56) L,-15.44,(7 - 6),(5 - 6),Pac-12,North
69,Arizona State,1487.96,,Boise State,(56 - 24) L,-14.36,(6 - 7),(4 - 7),Pac-12,South
70,Wyoming,1483.2,,Temple,(15 - 37) L,-24.92,(8 - 5),(5 - 5),Mountain West,
71,South Florida,1482.41,,West Virginia,(27 - 30) L,-11.08,(5 - 7),(1 - 7),Big East,
72,Northwestern,1479.68,,Texas A&M,(22 - 33) L,-21.44,(6 - 7),(3 - 7),Big Ten,Legends
73,Illinois,1475.65,,UCLA,(14 - 20) W,18.89,(7 - 6),(2 - 6),Big Ten,Leaders
74,Connecticut,1474.53,,Cincinnati,(35 - 27) L,-13.48,(5 - 7),(3 - 7),Big East,
75,Tennessee,1469.57,,Kentucky,(10 - 7) L,-13.23,(5 - 7),(1 - 7),SEC,East
76,Hawai'i,1467.01,,BYU,(20 - 41) L,-25.17,(6 - 7),(3 - 7),Western Athletic,
77,Eastern Michigan,1459.97,,Northern Illinois,(18 - 12) L,-11.38,(6 - 6),(4 - 6),Mid-American,West
78,Iowa State,1454.75,,Rutgers,(13 - 27) L,-21.55,(6 - 7),(3 - 7),Big 12,
79,Bowling Green,1453.21,,Buffalo,(28 - 42) W,24.27,(5 - 7),(3 - 7),Mid-American,East
80,San José State,1452.95,,Fresno State,(24 - 27) W,13.2,(5 - 7),(3 - 7),Western Athletic,
81,Ball State,1450.31,,Toledo,(28 - 45) L,-21.55,(6 - 6),(4 - 6),Mid-American,West
82,East Carolina,1449.97,,Marshall,(34 - 27) L,-18.04,(5 - 7),(4 - 7),Conference USA,East
83,Boston College,1449.21,,Miami,(17 - 24) W,25.09,(4 - 8),(3 - 8),ACC,Atlantic
84,Miami (OH),1447.4,,Ohio,(21 - 14) L,-11.58,(4 - 8),(3 - 8),Mid-American,East
85,North Texas,1446.36,,Middle Tennessee,(59 - 7) W,27.32,(5 - 7),(4 - 7),Sun Belt,
86,Louisiana Monroe,1445.35,,Florida Atlantic,(0 - 26) W,23.22,(4 - 8),(3 - 8),Sun Belt,
87,Kent State,1444.58,,Temple,(34 - 16) L,-17.11,(5 - 7),(4 - 7),Mid-American,East
88,UTEP,1441.1,,UCF,(31 - 14) L,-23.74,(5 - 7),(2 - 7),Conference USA,West
89,Wake Forest,1437.71,,Mississippi State,(17 - 23) L,-16.42,(6 - 7),(5 - 7),ACC,Atlantic
90,UCLA,1434.75,,Illinois,(14 - 20) L,-18.89,(6 - 8),(5 - 8),Pac-12,South
91,Kentucky,1434.56,,Tennessee,(10 - 7) W,13.23,(5 - 7),(2 - 7),SEC,East
92,Texas Tech,1428.14,,Baylor,(66 - 42) L,-19.14,(5 - 7),(2 - 7),Big 12,
93,Syracuse,1423.18,,Pittsburgh,(33 - 20) L,-17.74,(5 - 7),(1 - 7),Big East,
94,Oregon State,1422.41,,Oregon,(49 - 21) L,-11.81,(3 - 9),(3 - 9),Pac-12,North
95,Arizona,1417.13,,Louisiana,(45 - 37) W,24.81,(4 - 8),(2 - 8),Pac-12,South
96,Washington State,1413.83,,Washington,(38 - 21) L,-20.65,(4 - 8),(2 - 8),Pac-12,North
97,Rice,1407.53,,SMU,(27 - 24) L,-9.02,(4 - 8),(3 - 8),Conference USA,West
98,Fresno State,1402.86,,San Diego State,(35 - 28) L,-11.96,(4 - 9),(3 - 9),Western Athletic,
99,Duke,1387.99,,North Carolina,(37 - 21) L,-16.6,(3 - 9),(1 - 9),ACC,Coastal
100,Army,1386.32,,Navy,(27 - 21) L,-12.57,(3 - 9),(0 - 9),FBS Independents,
101,New Mexico State,1386.09,,Utah State,(21 - 24) L,-9.75,(4 - 9),(2 - 9),Western Athletic,
102,Minnesota,1386.09,,Illinois,(27 - 7) W,33.54,(3 - 9),(2 - 9),Big Ten,Legends
103,Colorado,1379.65,,Utah,(14 - 17) W,17.92,(3 - 10),(2 - 10),Pac-12,South
104,Buffalo,1367.41,,Bowling Green,(28 - 42) L,-24.27,(3 - 9),(2 - 9),Mid-American,East
105,UAB,1366.95,,Florida Atlantic,(38 - 35) L,-14.2,(3 - 9),(3 - 9),Conference USA,East
106,Colorado State,1364.09,,Wyoming,(19 - 22) L,-9.71,(3 - 9),(1 - 9),Mountain West,
107,Troy,1361.27,,Arkansas State,(45 - 14) L,-12.15,(3 - 9),(2 - 9),Sun Belt,
108,Central Michigan,1357.83,,Toledo,(17 - 44) L,-19.41,(3 - 9),(2 - 9),Mid-American,West
