,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,40278,,282,"[7, 14, 7, 7]",35,0.0001894534789158575,Indiana State,False,2.04674235606456,Big Ten,84,"[21, 24, 21, 7]",73,0.9998105465210841,Indiana,332410084,False,2013,regular,2013-08-29T19:00:00.000Z,,Memorial Stadium,3830.0,1
1,44217,Mountain West,2439,"[6, 7, 3, 7]",23,0.5516784145469324,UNLV,False,5.59899597331986,Big Ten,135,"[3, 13, 14, 21]",51,0.44832158545306755,Minnesota,332410135,False,2013,regular,2013-08-29T19:00:00.000Z,,TCF Bank Stadium,3953.0,1
2,71214,Mid-American,2711,"[0, 7, 0, 6]",13,0.037689075691811125,Western Michigan,False,4.86719017919486,Big Ten,127,"[7, 6, 6, 7]",26,0.9623109243081889,Michigan State,332420127,False,2013,regular,2013-08-30T20:00:00.000Z,,Spartan Stadium,3936.0,1
3,36007,Big Ten,2509,"[0, 7, 0, 0]",7,0.004365362843173126,Purdue,False,2.77451712086952,American Athletic,2132,"[0, 14, 14, 14]",42,0.9956346371568269,Cincinnati,332432132,False,2013,regular,2013-08-31T12:00:00.000Z,,Nippert Stadium,3854.0,1
4,103980,Mid-American,2084,"[0, 13, 7, 0]",20,0.17367235478800147,Buffalo,False,2.39615556156929,Big Ten,194,"[23, 7, 7, 3]",40,0.8263276452119985,Ohio State,332430194,False,2013,regular,2013-08-31T12:00:00.000Z,,Ohio Stadium,3861.0,1
5,42175,,79,"[7, 0, 17, 10]",34,0.04001358235387531,Southern Illinois,False,5.17471661277634,Big Ten,356,"[3, 22, 14, 3]",42,0.9599864176461247,Illinois,332430356,False,2013,regular,2013-08-31T12:00:00.000Z,,Memorial Stadium,3832.0,1
6,76306,Mid-American,113,"[0, 0, 0, 0]",0,0.018306350938012472,UMass,False,1.92432147542864,Big Ten,275,"[10, 7, 21, 7]",45,0.9816936490619875,Wisconsin,332430275,False,2013,regular,2013-08-31T12:00:00.000Z,,Camp Randall Stadium,347.0,1
7,0,ACC,183,"[0, 3, 7, 7]",17,0.44926030235826,Syracuse,False,5.25865339236018,Big Ten,213,"[0, 6, 7, 10]",23,0.55073969764174,Penn State,332430213,True,2013,regular,2013-08-31T15:30:00.000Z,,,,1
8,112618,Mid-American,2117,"[3, 3, 0, 3]",9,0.0017580174890300393,Central Michigan,False,2.7794810387715,Big Ten,130,"[14, 21, 21, 3]",59,0.99824198251097,Michigan,332430130,False,2013,regular,2013-08-31T15:30:00.000Z,,Michigan Stadium,3558.0,1
9,67402,Mid-American,2459,"[10, 7, 3, 10]",30,0.2593161918323328,Northern Illinois,False,6.45758721293611,Big Ten,2294,"[7, 17, 0, 3]",27,0.7406838081676672,Iowa,332432294,False,2013,regular,2013-08-31T15:30:00.000Z,,Kinnick Stadium,3793.0,1
10,91185,Mountain West,2751,"[7, 7, 7, 13]",34,0.0613119238819505,Wyoming,False,5.48214469388389,Big Ten,158,"[10, 7, 14, 6]",37,0.9386880761180495,Nebraska,332430158,False,2013,regular,2013-08-31T20:00:00.000Z,,Memorial Stadium,3834.0,1
11,58816,Big Ten,77,"[7, 10, 10, 17]",44,0.603310347148249,Northwestern,False,6.93273119983976,Pac-12,25,"[7, 3, 14, 6]",30,0.3966896528517509,California,332430025,False,2013,regular,2013-08-31T22:30:00.000Z,,California Memorial Stadium,3831.0,1
