,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,18142,Conference USA,202,"[0, 0, 0, 7]",7,0.35146523607074265,Tulsa,False,5.35231614515028,Mid-American,189,"[3, 3, 7, 21]",34,0.6485347639292574,Bowling Green,332410189,False,2013,regular,2013-08-29T19:00:00.000Z,,Doyt Perry Stadium,3700.0,1
1,20011,,2717,"[0, 18, 0, 6]",24,0.13811469286115807,Western Carolina,False,2.08241588345359,Conference USA,2393,"[21, 10, 7, 7]",45,0.8618853071388419,Middle Tennessee,332412393,False,2013,regular,2013-08-29T19:30:00.000Z,,"Johnny Red"""" Floyd Stadium""""",3725.0,1
2,20992,,2296,"[0, 0, 0, 7]",7,0.12864442507286256,Jackson State,False,2.8003531522009,Conference USA,2655,"[13, 7, 7, 7]",34,0.8713555749271374,Tulane,332412655,False,2013,regular,2013-08-29T20:00:00.000Z,,Mercedes-Benz Superdome,3493.0,1
3,50151,Conference USA,2226,"[0, 3, 3, 0]",6,0.0011358389838217464,Florida Atlantic,False,7.1628476044397,ACC,2390,"[3, 17, 14, 0]",34,0.9988641610161783,Miami,332422390,False,2013,regular,2013-08-30T20:00:00.000Z,,Hard Rock Stadium,3948.0,1
4,36321,Conference USA,2229,"[3, 7, 0, 0]",10,5.9431815399912935e-05,Florida International,False,2.73739009096343,ACC,120,"[13, 27, 0, 3]",43,0.9999405681846001,Maryland,332430120,False,2013,regular,2013-08-31T12:30:00.000Z,,Maryland Stadium,3665.0,1
5,54204,Conference USA,2348,"[0, 7, 0, 7]",14,0.0677350239654646,Louisiana Tech,False,3.07949980072341,ACC,152,"[14, 10, 3, 13]",40,0.9322649760345354,NC State,332430152,False,2013,regular,2013-08-31T12:30:00.000Z,,Carter-Finley Stadium,3670.0,1
6,86686,Conference USA,242,"[14, 7, 0, 10]",31,0.13772689167168373,Rice,False,4.71621021309052,SEC,245,"[7, 21, 10, 14]",52,0.8622731083283163,Texas A&M,332430245,False,2013,regular,2013-08-31T13:00:00.000Z,,Kyle Field,3795.0,1
7,27148,Mid-American,193,"[7, 7, 0, 0]",14,0.001045919624041769,Miami (OH),False,5.32309798610302,Conference USA,276,"[0, 14, 21, 17]",52,0.9989540803759582,Marshall,332430276,False,2013,regular,2013-08-31T19:00:00.000Z,,Joan C. Edwards Stadium,3775.0,1
8,21398,Conference USA,5,"[14, 3, 14, 0, 0]",31,0.08915722371882007,UAB,False,9.00934081652367,Sun Belt,2653,"[7, 0, 10, 14, 3]",34,0.9108427762811799,Troy,332432653,False,2013,regular,2013-08-31T19:00:00.000Z,,Veterans Memorial Stadium,3975.0,1
9,25729,Sun Belt,326,"[7, 7, 0, 8]",22,0.0035071491401267307,Texas State,False,5.08051930143181,Conference USA,2572,"[0, 3, 9, 3]",15,0.9964928508598733,Southern Mississippi,332432572,False,2013,regular,2013-08-31T19:00:00.000Z,,M. M. Roberts Stadium,3815.0,1
10,21975,FBS Independents,70,"[6, 0, 0, 0]",6,0.09730245240125446,Idaho,False,3.04311789384732,Conference USA,249,"[14, 12, 7, 7]",40,0.9026975475987455,North Texas,332430249,False,2013,regular,2013-08-31T19:00:00.000Z,,Apogee Stadium,3825.0,1
11,44597,,295,"[3, 14, 14, 7]",38,0.09531873224499576,Old Dominion,False,5.24810164323777,Conference USA,151,"[7, 14, 14, 17]",52,0.9046812677550042,East Carolina,332430151,False,2013,regular,2013-08-31T19:00:00.000Z,,Dowdy-Ficklen Stadium,3699.0,1
12,26311,Conference USA,2636,"[0, 7, 7, 7]",21,0.6854589112966669,UT San Antonio,False,4.51661321424213,Mountain West,167,"[6, 7, 0, 0]",13,0.31454108870333314,New Mexico,332430167,False,2013,regular,2013-08-31T20:00:00.000Z,,University Stadium,3971.0,1
13,54728,Conference USA,2655,"[0, 14, 7, 0]",21,0.27236707131117366,Tulane,False,3.84229351453872,Sun Belt,309,"[14, 7, 0, 3]",24,0.7276329286888263,Louisiana,333550309,True,2013,postseason,2013-12-21T21:00:00.000Z,,Superior Dome,3950.0,1
14,20053,Mid-American,195,"[0, 14, 3, 3]",20,0.08619390509010838,Ohio,False,5.1564031154263,Conference USA,151,"[14, 3, 0, 20]",37,0.9138060949098916,East Carolina,333570151,True,2013,postseason,2013-12-23T14:00:00.000Z,,,,1
15,30163,Conference USA,276,"[14, 3, 0, 14]",31,0.24670217783408177,Marshall,False,8.16620307127107,ACC,120,"[7, 6, 0, 7]",20,0.7532978221659182,Maryland,333610120,True,2013,postseason,2013-12-27T14:30:00.000Z,,Navy-Marine Corps Memorial Stadium,3852.0,1
16,39246,Conference USA,2393,"[3, 3, 0, 0]",6,0.0602563170998236,Middle Tennessee,False,2.76378532903525,FBS Independents,2426,"[7, 3, 0, 14]",24,0.9397436829001764,Navy,333642426,True,2013,postseason,2013-12-30T11:45:00.000Z,,Amon G. Carter Stadium,3616.0,1
17,57846,Conference USA,242,"[7, 0, 0, 0]",7,0.00016893631205239235,Rice,False,3.00279176020537,SEC,344,"[7, 20, 14, 3]",44,0.9998310636879476,Mississippi State,333650344,True,2013,postseason,2013-12-31T16:00:00.000Z,,Liberty Bowl Memorial Stadium,3805.0,1
18,38380,Mountain West,2439,"[7, 0, 0, 7]",14,0.14288213829710017,UNLV,False,4.31292053781188,Conference USA,249,"[7, 0, 7, 22]",36,0.8571178617028998,North Texas,340010249,True,2013,postseason,2014-01-01T12:00:00.000Z,,,,1
19,37533,Conference USA,2226,"[3, 3, 0, 7]",13,0.03580745567930843,Florida Atlantic,True,2.79743878370551,Conference USA,151,"[7, 14, 10, 0]",31,0.9641925443206916,East Carolina,332480151,False,2013,regular,2013-09-05T19:30:00.000Z,,Dowdy-Ficklen Stadium,3699.0,2
20,15823,American Athletic,2116,"[7, 17, 14, 0]",38,0.8320477537044444,UCF,False,1.85860620813819,Conference USA,2229,"[0, 0, 0, 0]",0,0.1679522462955556,Florida International,332492229,False,2013,regular,2013-09-06T20:00:00.000Z,,FIU Stadium,218.0,2
21,40977,Big 12,197,"[14, 21, 7, 14]",56,0.6456734964157801,Oklahoma State,False,2.40312786330196,Conference USA,2636,"[7, 0, 0, 28]",35,0.3543265035842199,UT San Antonio,332502636,False,2013,regular,2013-09-07T12:00:00.000Z,,Alamodome,3604.0,2
