,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,45237,Mountain West,328,"[3, 14, 6, 3]",26,0.362946458437573,Utah State,False,7.01335958534234,Pac-12,254,"[14, 0, 10, 6]",30,0.637053541562427,Utah,332410254,False,2013,regular,2013-08-29T20:00:00.000Z,,Rice-Eccles Stadium,587.0,1
1,39058,Pac-12,30,"[3, 17, 0, 10]",30,0.7180643041989367,USC,False,4.81186681781684,Mountain West,62,"[0, 5, 0, 8]",13,0.2819356958010633,Hawai'i,332410062,False,2013,regular,2013-08-29T23:00:00.000Z,,Aloha Stadium,3610.0,1
2,53793,,2464,"[0, 0, 0, 0]",0,0.17445059146403108,Northern Arizona,False,1.84399828830781,Pac-12,12,"[7, 7, 14, 7]",35,0.8255494085359689,Arizona,332420012,False,2013,regular,2013-08-30T22:00:00.000Z,,Arizona Stadium,3619.0,1
3,57769,,2447,"[0, 3, 0, 0]",3,0.0027384221824432453,Nicholls,False,1.17365992347257,Pac-12,2483,"[24, 14, 7, 21]",66,0.9972615778175568,Oregon,332432483,False,2013,regular,2013-08-31T16:00:00.000Z,,Autzen Stadium,3626.0,1
4,41649,,331,"[6, 23, 7, 13]",49,0.06026486211398119,Eastern Washington,False,7.43957252256246,Pac-12,204,"[7, 10, 15, 14]",46,0.9397351378860188,Oregon State,332430204,False,2013,regular,2013-08-31T18:00:00.000Z,,Reser Stadium,3893.0,1
5,85095,Pac-12,265,"[7, 14, 3, 0]",24,0.3026109409456976,Washington State,False,4.94176529307246,SEC,2,"[8, 17, 3, 3]",31,0.6973890590543024,Auburn,332430002,False,2013,regular,2013-08-31T19:00:00.000Z,,Jordan-Hare Stadium,3785.0,1
6,60562,Mountain West,2440,"[3, 10, 0, 7]",20,0.009295681408554413,Nevada,False,3.70529285513133,Pac-12,26,"[7, 10, 20, 21]",58,0.9907043185914456,UCLA,332430026,False,2013,regular,2013-08-31T22:00:00.000Z,,Rose Bowl,1056.0,1
7,71963,Mountain West,68,"[0, 3, 3, 0]",6,0.03170593633572927,Boise State,False,4.01614843576143,Pac-12,264,"[7, 3, 14, 14]",38,0.9682940636642707,Washington,332430264,False,2013,regular,2013-08-31T22:00:00.000Z,,Husky Stadium,3765.0,1
8,58816,Big Ten,77,"[7, 10, 10, 17]",44,0.603310347148249,Northwestern,False,6.93273119983976,Pac-12,25,"[7, 3, 14, 6]",30,0.3966896528517509,California,332430025,False,2013,regular,2013-08-31T22:30:00.000Z,,California Memorial Stadium,3831.0,1
9,59601,Pac-12,38,"[10, 10, 3, 18]",41,0.3575682525435677,Colorado,False,5.59869120841663,Mountain West,36,"[0, 10, 14, 3]",27,0.6424317474564323,Colorado State,332440036,True,2013,regular,2013-09-01T18:00:00.000Z,,,,1
10,27104,Pac-12,265,"[21, 14, 3, 7]",45,0.1177454129954133,Washington State,False,5.53964015218355,Mountain West,36,"[10, 13, 7, 18]",48,0.8822545870045867,Colorado State,333550036,True,2013,postseason,2013-12-21T14:00:00.000Z,,University Stadium,3971.0,1
11,42178,Mountain West,278,"[6, 0, 7, 7]",20,0.0011964569146790671,Fresno State,False,1.78909523128932,Pac-12,30,"[14, 21, 3, 7]",45,0.9988035430853209,USC,333550030,True,2013,postseason,2013-12-21T15:30:00.000Z,,Sam Boyd Stadium,3914.0,1
