,_year,_team,_conference,_division,_total,_conference_games,_home_games,_away_games,discriminator
0,2014,Air Force,Mountain West,Mountain,"[{'games': 13, 'losses': 3, 'ties': 0, 'wins': 10}]","[{'games': 8, 'losses': 3, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 0, 'ties': 0, 'wins': 6}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]",
1,2014,Akron,Mid-American,East,"[{'games': 12, 'losses': 7, 'ties': 0, 'wins': 5}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 2, 'ties': 0, 'wins': 4}]","[{'games': 6, 'losses': 5, 'ties': 0, 'wins': 1}]",
2,2014,Alabama,SEC,West,"[{'games': 14, 'losses': 2, 'ties': 0, 'wins': 12}]","[{'games': 9, 'losses': 1, 'ties': 0, 'wins': 8}]","[{'games': 7, 'losses': 0, 'ties': 0, 'wins': 7}]","[{'games': 4, 'losses': 1, 'ties': 0, 'wins': 3}]",
3,2014,Appalachian State,Sun Belt,,"[{'games': 12, 'losses': 5, 'ties': 0, 'wins': 7}]","[{'games': 8, 'losses': 2, 'ties': 0, 'wins': 6}]","[{'games': 6, 'losses': 2, 'ties': 0, 'wins': 4}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]",
4,2014,Arizona,Pac-12,South,"[{'games': 14, 'losses': 4, 'ties': 0, 'wins': 10}]","[{'games': 10, 'losses': 3, 'ties': 0, 'wins': 7}]","[{'games': 7, 'losses': 1, 'ties': 0, 'wins': 6}]","[{'games': 5, 'losses': 1, 'ties': 0, 'wins': 4}]",
5,2014,Arizona State,Pac-12,South,"[{'games': 13, 'losses': 3, 'ties': 0, 'wins': 10}]","[{'games': 9, 'losses': 3, 'ties': 0, 'wins': 6}]","[{'games': 6, 'losses': 1, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 2, 'ties': 0, 'wins': 4}]",
6,2014,Arkansas,SEC,West,"[{'games': 13, 'losses': 6, 'ties': 0, 'wins': 7}]","[{'games': 8, 'losses': 6, 'ties': 0, 'wins': 2}]","[{'games': 7, 'losses': 2, 'ties': 0, 'wins': 5}]","[{'games': 4, 'losses': 3, 'ties': 0, 'wins': 1}]",
7,2014,Arkansas State,Sun Belt,,"[{'games': 13, 'losses': 6, 'ties': 0, 'wins': 7}]","[{'games': 8, 'losses': 3, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 1, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 4, 'ties': 0, 'wins': 2}]",
8,2014,Army,FBS Independents,,"[{'games': 12, 'losses': 8, 'ties': 0, 'wins': 4}]","[{'games': 0, 'losses': 0, 'ties': 0, 'wins': 0}]","[{'games': 5, 'losses': 2, 'ties': 0, 'wins': 3}]","[{'games': 5, 'losses': 5, 'ties': 0, 'wins': 0}]",
9,2014,Auburn,SEC,West,"[{'games': 13, 'losses': 5, 'ties': 0, 'wins': 8}]","[{'games': 8, 'losses': 4, 'ties': 0, 'wins': 4}]","[{'games': 7, 'losses': 1, 'ties': 0, 'wins': 6}]","[{'games': 5, 'losses': 3, 'ties': 0, 'wins': 2}]",
