,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,21209,,253,"[6, 3, 0, 0]",9,0.7082357197947214,Southern Utah,False,8.8452949667,Mountain West,328,"[5, 0, 0, 7]",12,0.29176428020527856,Utah State,400787110,False,2015,regular,2015-09-03T21:00:00.000Z,,Romney Stadium,3905,1
1,21483,,302,"[0, 3, 0, 14]",17,0.002529824483899379,UC Davis,False,2.4004603686,Mountain West,2440,"[7, 14, 3, 7]",31,0.9974701755161006,Nevada,400787108,False,2015,regular,2015-09-03T22:00:00.000Z,,Mackay Stadium,3816,1
2,15198,,160,"[0, 7, 0, 6]",13,0.0007141143429111318,New Hampshire,False,2.0077161215,Mountain West,23,"[20, 6, 10, 7]",43,0.9992858856570889,San José State,400787109,False,2015,regular,2015-09-03T22:00:00.000Z,,Spartan Stadium,3935,1
3,32547,,2000,"[7, 0, 0, 6]",13,0.012014724734080273,Abilene Christian,False,3.63336776399999,Mountain West,278,"[14, 7, 10, 3]",34,0.9879852752659197,Fresno State,400799923,False,2015,regular,2015-09-03T22:00:00.000Z,,Bulldog Stadium,3660,1
4,24255,Pac-12,38,"[0, 14, 3, 3]",20,0.21706186673774003,Colorado,False,,Mountain West,62,"[8, 10, 7, 3]",28,0.78293813326226,Hawai'i,400787107,False,2015,regular,2015-09-04T01:00:00.000Z,,Aloha Stadium,3610,1
5,36836,Pac-12,264,"[0, 0, 10, 3]",13,0.0400208809775674,Washington,False,5.211559612,Mountain West,68,"[6, 10, 0, 0]",16,0.9599791190224326,Boise State,400756888,False,2015,regular,2015-09-04T22:26:00.000Z,,Albertsons Stadium,3653,1
6,33734,,2415,"[0, 7, 0, 0]",7,3.4499402446042104e-05,Morgan State,False,2.0252589326,Mountain West,2005,"[7, 21, 28, 7]",63,0.999965500597554,Air Force,400787111,False,2015,regular,2015-09-05T15:30:00.000Z,,Falcon Stadium,3713,1
7,24571,,2542,"[0, 7, 0, 6]",13,4.669501113108154e-06,Savannah State,False,1.4340014957,Mountain West,36,"[24, 21, 13, 7]",65,0.9999953304988869,Colorado State,400787112,False,2015,regular,2015-09-05T16:00:00.000Z,,Sonny Lubick Field at Hughes Stadium,3761,1
8,23669,,155,"[7, 7, 0, 10]",24,0.9821627513148115,North Dakota,False,3.6184302914,Mountain West,2751,"[0, 0, 0, 13]",13,0.017837248685188573,Wyoming,400787116,False,2015,regular,2015-09-05T16:00:00.000Z,,War Memorial Stadium,3984,1
9,15455,Mountain West,2439,"[7, 10, 3, 10]",30,0.003207657853410706,UNLV,False,6.47799940699999,Mid-American,2459,"[3, 7, 14, 14]",38,0.9967923421465893,Northern Illinois,400787115,False,2015,regular,2015-09-05T19:30:00.000Z,,Brigham Field at Huskie Stadium,3764,1
10,48785,,301,"[0, 0, 3, 0]",3,0.0001679173017218316,San Diego,False,0.154819072799999,Mountain West,21,"[14, 6, 7, 10]",37,0.9998320826982782,San Diego State,400791346,False,2015,regular,2015-09-05T20:00:00.000Z,,Qualcomm Stadium,3932,1
11,21930,,2400,"[0, 0, 0, 0]",0,1.3994130215522205e-05,Mississippi Valley State,False,0.0593646451000005,Mountain West,167,"[21, 17, 21, 7]",66,0.9999860058697845,New Mexico,400787114,False,2015,regular,2015-09-05T20:05:00.000Z,,University Stadium,3971,1
12,30289,Pac-12,12,"[7, 21, 14, 3]",45,0.9874573685227284,Arizona,False,4.693835281,Mountain West,167,"[3, 14, 14, 6]",37,0.012542631477271613,New Mexico,400852668,True,2015,postseason,2015-12-19T14:00:00.000Z,,University Stadium,3971,1
13,18536,Mountain West,23,"[0, 10, 3, 14]",27,0.8233363131340897,San José State,False,6.2069797146,Sun Belt,2247,"[0, 7, 0, 9]",16,0.17666368686591025,Georgia State,400852683,True,2015,postseason,2015-12-19T19:00:00.000Z,,Camping World Stadium,4013,1
14,18876,Mid-American,2006,"[7, 6, 7, 3]",23,0.09802868213982241,Akron,False,8.188704342,Mountain West,328,"[0, 7, 7, 7]",21,0.9019713178601776,Utah State,400852708,True,2015,postseason,2015-12-22T15:30:00.000Z,,Albertsons Stadium,3653,1
