,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,100074,Sun Belt,2026,"[7, 6, 0, 0, 0]",13,0.8345938504986123,Appalachian State,False,8.28180407609999,SEC,2633,"[3, 0, 3, 7, 7]",20,0.1654061495013877,Tennessee,400868977,False,2016,regular,2016-09-01T19:30:00.000Z,,Neyland Stadium,3853,1
1,0,,147,"[7, 3, 7, 0]",17,0.4604967739253427,Montana State,False,5.5256083905,Sun Belt,70,"[17, 3, 0, 0]",20,0.5395032260746573,Idaho,400869725,False,2016,regular,2016-09-01T21:00:00.000Z,,Kibbie Dome,3791,1
2,12233,Mid-American,2050,"[7, 7, 3, 14]",31,0.9772871894908031,Ball State,False,5.9198317816,Sun Belt,2247,"[7, 7, 0, 7]",21,0.022712810509196917,Georgia State,400869258,False,2016,regular,2016-09-02T19:00:00.000Z,,Georgia Dome,3495,1
3,26182,Mid-American,2649,"[0, 21, 10, 0]",31,0.9962292564958783,Toledo,False,3.1212190244,Sun Belt,2032,"[3, 0, 0, 7]",10,0.0037707435041216173,Arkansas State,400869265,False,2016,regular,2016-09-02T21:00:00.000Z,,Centennial Bank Stadium,3625,1
4,22661,Mountain West,68,"[14, 21, 3, 7]",45,0.9962986316783699,Boise State,False,0.817299558599999,Sun Belt,309,"[0, 3, 0, 7]",10,0.003701368321630174,Louisiana,400869176,False,2016,regular,2016-09-03T12:00:00.000Z,,Cajun Field,3666,1
5,57075,Sun Belt,6,"[0, 0, 7, 14]",21,0.9164739008522091,South Alabama,False,2.61168967579999,SEC,344,"[7, 10, 3, 0]",20,0.08352609914779088,Mississippi State,400868975,False,2016,regular,2016-09-03T12:00:00.000Z,,Davis Wade Stadium,3693,1
6,23093,Sun Belt,326,"[0, 14, 7, 17, 3, 7, 8]",56,0.19861053585078559,Texas State,False,11.7261069495,Mid-American,195,"[6, 0, 10, 22, 3, 7, 6]",54,0.8013894641492144,Ohio,400869264,False,2016,regular,2016-09-03T15:30:00.000Z,,Peden Stadium,3876,1
7,21250,,2542,"[0, 0, 0, 0]",0,5.029332242334483e-06,Savannah State,False,0.0137011896000005,Sun Belt,290,"[21, 7, 19, 7]",54,0.9999949706677577,Georgia Southern,400869808,False,2016,regular,2016-09-03T18:00:00.000Z,,Paulson Stadium,3608,1
8,18835,,2046,"[7, 7, 3, 0]",17,0.0006952021881548864,Austin Peay,False,0.246882395799999,Sun Belt,2653,"[13, 17, 14, 13]",57,0.9993047978118451,Troy,400869810,False,2016,regular,2016-09-03T18:00:00.000Z,,Veterans Memorial Stadium,3975,1
9,24718,,2582,"[9, 3, 3, 6]",21,0.01675589198291605,Southern,False,2.5669894512,Sun Belt,2433,"[14, 0, 10, 14]",38,0.983244108017084,Louisiana Monroe,400869809,False,2016,regular,2016-09-03T19:00:00.000Z,,Malone Stadium,3817,1
10,30119,Sun Belt,166,"[3, 0, 13, 6]",22,0.005333636290417276,New Mexico State,False,3.0009080555,Conference USA,2638,"[7, 17, 7, 7]",38,0.9946663637095827,UTEP,400869348,False,2016,regular,2016-09-03T20:00:00.000Z,,Sun Bowl Stadium,3946,1
11,27213,Sun Belt,2032,"[17, 0, 7, 7]",31,0.9832221454623706,Arkansas State,False,3.9932084535,American Athletic,2116,"[0, 10, 3, 0]",13,0.016777854537629422,UCF,400903611,False,2016,postseason,2016-12-17T17:30:00.000Z,,Camping World Stadium,4013,1
12,0,Sun Belt,2026,"[7, 7, 14, 3]",31,0.03146206976766641,Appalachian State,False,7.60698717789999,Mid-American,2649,"[7, 7, 14, 0]",28,0.9685379302323336,Toledo,400876040,True,2016,postseason,2016-12-17T17:30:00.000Z,,Cramton Bowl,3689,1
13,35061,Conference USA,2572,"[14, 0, 7, 7]",28,0.9915776745247751,Southern Mississippi,False,5.678265796,Sun Belt,309,"[7, 7, 0, 7]",21,0.00842232547522493,Louisiana,400876041,True,2016,postseason,2016-12-17T21:00:00.000Z,,Mercedes-Benz Superdome,3493,1
14,24975,Sun Belt,70,"[0, 20, 21, 20]",61,0.907373833318639,Idaho,False,3.16246719169999,Mountain West,36,"[0, 7, 7, 36]",50,0.09262616668136098,Colorado State,400876045,True,2016,postseason,2016-12-22T19:00:00.000Z,,Albertsons Stadium,3653,1
15,32377,Mid-American,195,"[7, 10, 3, 3]",23,0.27662746915383574,Ohio,False,5.98197062369999,Sun Belt,2653,"[14, 7, 7, 0]",28,0.7233725308461643,Troy,400876048,True,2016,postseason,2016-12-23T20:00:00.000Z,,Ladd Peebles Stadium,3797,1
16,33868,Sun Belt,6,"[14, 7, 0, 0]",21,0.00805889991710329,South Alabama,False,3.0701565589,Mountain West,2005,"[3, 18, 17, 7]",45,0.9919411000828967,Air Force,400928102,True,2016,postseason,2016-12-30T17:30:00.000Z,,Arizona Stadium,3619,1
17,78532,Sun Belt,2653,"[3, 7, 0, 14]",24,0.035876138580921646,Troy,False,1.8561559024,ACC,228,"[3, 10, 0, 17]",30,0.9641238614190784,Clemson,400869430,False,2016,regular,2016-09-10T12:30:00.000Z,,Memorial Stadium,3836,2
18,24173,Sun Belt,2247,"[7, 7, 0, 0]",14,0.0022179985070402974,Georgia State,False,2.5287449936,Mountain West,2005,"[10, 17, 14, 7]",48,0.9977820014929597,Air Force,400869184,False,2016,regular,2016-09-10T14:00:00.000Z,,Falcon Stadium,3713,2
19,23374,Conference USA,295,"[0, 7, 0, 0]",7,0.004208097685953094,Old Dominion,False,2.451315184,Sun Belt,2026,"[14, 10, 0, 7]",31,0.9957919023140469,Appalachian State,400869355,False,2016,regular,2016-09-10T15:30:00.000Z,,Kidd Brewer Stadium,3792,2
20,60678,Sun Belt,70,"[0, 0, 7, 7]",14,3.365503000340997e-05,Idaho,False,0.139743456599999,Pac-12,264,"[7, 28, 14, 10]",59,0.9999663449699966,Washington,400869105,False,2016,regular,2016-09-10T17:00:00.000Z,,Husky Stadium,3765,2
21,17691,Sun Belt,290,"[10, 0, 7, 7]",24,0.9313615297917761,Georgia Southern,True,3.2459776612,Sun Belt,6,"[3, 3, 0, 3]",9,0.06863847020822385,South Alabama,400869811,False,2016,regular,2016-09-10T19:00:00.000Z,,Ladd Peebles Stadium,3797,2
22,26891,,2377,"[3, 9, 3, 7]",22,0.01826526740770784,McNeese,False,4.8859907332,Sun Belt,309,"[7, 7, 13, 3]",30,0.9817347325922922,Louisiana,400869812,False,2016,regular,2016-09-10T19:00:00.000Z,,Cajun Field,3666,2
23,87037,Sun Belt,2433,"[0, 0, 17, 0]",17,1.046701858975485e-05,Louisiana Monroe,False,0.0385930544999995,Big 12,201,"[21, 21, 3, 14]",59,0.9999895329814102,Oklahoma,400869612,False,2016,regular,2016-09-10T19:00:00.000Z,,Gaylord Family Oklahoma Memorial Stadium,3835,2
24,86825,Sun Belt,2032,"[7, 0, 7, 0]",14,3.8833734652743424e-05,Arkansas State,False,1.7890335821,SEC,2,"[14, 24, 10, 3]",51,0.9999611662653473,Auburn,400868982,False,2016,regular,2016-09-10T19:30:00.000Z,,Jordan-Hare Stadium,3785,2
25,0,Mountain West,167,"[14, 3, 7, 7]",31,0.41353640533548686,New Mexico,False,4.8884968455,Sun Belt,166,"[3, 12, 7, 10]",32,0.5864635946645131,New Mexico State,400869186,False,2016,regular,2016-09-10T20:00:00.000Z,,Aggie Memorial Stadium,3601,2
26,21091,Sun Belt,2032,"[0, 0, 14, 6]",20,0.0699425112078188,Arkansas State,False,2.2517336172,Mountain West,328,"[17, 7, 3, 7]",34,0.9300574887921812,Utah State,400869193,False,2016,regular,2016-09-16T21:00:00.000Z,,Romney Stadium,3905,3
27,34658,ACC,2390,"[21, 3, 14, 7]",45,0.9961115368902149,Miami,False,2.1982477487,Sun Belt,2026,"[0, 3, 7, 0]",10,0.0038884631097851285,Appalachian State,400869720,False,2016,regular,2016-09-17T12:00:00.000Z,,Kidd Brewer Stadium,3792,3
28,79883,Sun Belt,2247,"[0, 0, 10, 7]",17,0.37955807905456584,Georgia State,False,2.4906873316,Big Ten,275,"[6, 0, 7, 10]",23,0.6204419209454342,Wisconsin,400869657,False,2016,regular,2016-09-17T12:00:00.000Z,,Camp Randall Stadium,347,3
29,28477,Sun Belt,70,"[3, 0, 3, 0]",6,2.191900777437361e-05,Idaho,False,0.8154498265,Pac-12,265,"[7, 14, 7, 28]",56,0.9999780809922256,Washington State,400869116,False,2016,regular,2016-09-17T14:00:00.000Z,,Martin Stadium,3820,3
30,49669,Sun Belt,166,"[21, 14, 7, 0]",42,0.009876919510199644,New Mexico State,False,3.48691773809999,SEC,96,"[14, 21, 14, 13]",62,0.9901230804898004,Kentucky,400868995,False,2016,regular,2016-09-17T16:00:00.000Z,,Commonwealth Stadium,3683,3
31,25735,Sun Belt,2433,"[14, 0, 0, 7]",21,0.17812738284547158,Louisiana Monroe,True,6.26262194999999,Sun Belt,290,"[7, 3, 6, 7]",23,0.8218726171545284,Georgia Southern,400869813,False,2016,regular,2016-09-17T18:00:00.000Z,,Paulson Stadium,3608,3
