,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,16311,,227,"[0, 0, 7, 14, 3, 0, 3]",27,0.026387934242669497,Rhode Island,False,3.8597809629,Mid-American,2117,"[0, 13, 0, 8, 3, 0, 6]",30,0.9736120657573305,Central Michigan,400944890,False,2017,regular,2017-08-31T19:00:00.000Z,,Kelly/Shorts Stadium,3786,1
1,43224,Mid-American,2084,"[7, 0, 0, 0]",7,0.2398405628951955,Buffalo,False,2.06379151719999,Big Ten,135,"[14, 0, 0, 3]",17,0.7601594371048045,Minnesota,400935230,False,2017,regular,2017-08-31T19:00:00.000Z,,TCF Bank Stadium,3953,1
2,22104,,2210,"[0, 7, 0, 6]",13,0.000521714173770782,Elon,False,0.124191380199999,Mid-American,2649,"[13, 6, 21, 7]",47,0.9994782858262292,Toledo,400944889,False,2017,regular,2017-08-31T19:00:00.000Z,,Glass Bowl,3739,1
3,12823,Conference USA,2429,"[7, 0, 0, 0]",7,0.0011960990505264224,Charlotte,False,2.5541419407,Mid-American,2199,"[14, 3, 7, 0]",24,0.9988039009494736,Eastern Michigan,400944891,False,2017,regular,2017-09-01T18:30:00.000Z,,Rynearson Stadium,3912,1
4,16421,ACC,103,"[3, 10, 7, 3]",23,0.6483920629762454,Boston College,False,9.9766619052,Mid-American,2459,"[3, 7, 7, 3]",20,0.3516079370237546,Northern Illinois,400937446,False,2017,regular,2017-09-01T21:30:00.000Z,,Brigham Field at Huskie Stadium,3764,1
5,101684,Mid-American,2006,"[0, 0, 0, 0]",0,4.4634696475531754e-06,Akron,False,0.2654555818,Big Ten,213,"[14, 21, 10, 7]",52,0.9999955365303524,Penn State,400935237,False,2017,regular,2017-09-02T12:00:00.000Z,,Beaver Stadium,3632,1
6,80121,Mid-American,2309,"[0, 3, 0, 0]",3,9.611331544645552e-06,Kent State,False,0.0566035264999998,ACC,228,"[21, 7, 21, 7]",56,0.9999903886684554,Clemson,400937447,False,2017,regular,2017-09-02T12:00:00.000Z,,Memorial Stadium,3836,1
7,42505,Mid-American,2050,"[7, 0, 14, 0]",21,0.31101026558108325,Ball State,False,7.67452287719999,Big Ten,356,"[6, 10, 0, 8]",24,0.6889897344189168,Illinois,400935232,False,2017,regular,2017-09-02T12:00:00.000Z,,Memorial Stadium,3832,1
8,71202,Mid-American,189,"[3, 0, 0, 7]",10,6.633648700016259e-06,Bowling Green,False,2.13648702639999,Big Ten,127,"[0, 14, 21, 0]",35,0.9999933663513,Michigan State,400935234,False,2017,regular,2017-09-02T12:00:00.000Z,,Spartan Stadium,3936,1
9,61125,Mid-American,2711,"[7, 7, 7, 10]",31,0.0015084726926769543,Western Michigan,False,6.02820977169999,Pac-12,30,"[7, 7, 7, 28]",49,0.998491527307323,USC,400935252,False,2017,regular,2017-09-02T17:15:00.000Z,,Los Angeles Memorial Coliseum,477,1
10,22463,Mid-American,193,"[3, 10, 7, 6]",26,0.9225735610931118,Miami (OH),False,6.1498698527,Conference USA,276,"[7, 14, 7, 3]",31,0.07742643890688812,Marshall,400938594,False,2017,regular,2017-09-02T18:30:00.000Z,,Joan C. Edwards Stadium,3775,1
11,17501,,2261,"[0, 0, 0, 0]",0,2.9732078716038224e-05,Hampton,False,0.252085107,Mid-American,195,"[7, 13, 26, 13]",59,0.999970267921284,Ohio,400944892,False,2017,regular,2017-09-02T19:00:00.000Z,,Peden Stadium,3876,1
12,25912,Mid-American,2006,"[0, 3, 0, 0]",3,1.2529237880087862e-05,Akron,False,0.9357253057,Conference USA,2226,"[7, 14, 15, 14]",50,0.9999874707621199,Florida Atlantic,400953386,False,2017,postseason,2017-12-19T19:00:00.000Z,,FAU Stadium,3715,1
13,13585,Conference USA,5,"[0, 3, 3, 0]",6,4.995156994702654e-05,UAB,False,1.078396185,Mid-American,195,"[13, 14, 14, 0]",41,0.999950048430053,Ohio,400953388,True,2017,postseason,2017-12-22T12:30:00.000Z,,Thomas Robinson Stadium,4779,1
