,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,55427,,2502,"[0, 6, 0, 0]",6,0.002697391560454232,Portland State,False,4.7612825632,FBS Independents,252,"[7, 7, 0, 6]",20,0.9973026084395458,BYU,400945031,False,2017,regular,2017-08-26T15:00:00.000Z,,LaVell Edwards Stadium,3801,1
1,12145,Mountain West,62,"[7, 7, 7, 17]",38,0.6781196885287015,Hawai'i,False,8.2427049283,FBS Independents,113,"[7, 7, 14, 7]",35,0.3218803114712984,UMass,400938887,False,2017,regular,2017-08-26T18:00:00.000Z,,Warren McGuirk Alumni Stadium,3985,1
2,22333,,2230,"[0, 6, 0, 0]",6,5.849507548671973e-06,Fordham,False,0.455621305299999,FBS Independents,349,"[21, 13, 17, 13]",64,0.9999941504924513,Army,400934570,False,2017,regular,2017-09-01T18:00:00.000Z,,Blaik Field at Michie Stadium,3841,1
3,77622,American Athletic,218,"[3, 7, 0, 6]",16,0.0002206530203482382,Temple,False,0.6539521671,FBS Independents,87,"[21, 7, 7, 14]",49,0.9997793469796518,Notre Dame,400934573,False,2017,regular,2017-09-02T15:30:00.000Z,,Notre Dame Stadium,3855,1
4,13274,FBS Independents,113,"[7, 7, 7, 7]",28,0.1600641071118971,UMass,False,5.56138300909999,Sun Belt,324,"[14, 7, 10, 7]",38,0.8399358928881029,Coastal Carolina,400938888,False,2017,regular,2017-09-02T19:00:00.000Z,,Brooks Stadium,3654,1
5,53826,FBS Independents,252,"[0, 0, 0, 0]",0,2.214901962604987e-05,BYU,False,1.24277997819999,SEC,99,"[0, 14, 6, 7]",27,0.999977850980374,LSU,400933833,True,2017,regular,2017-09-02T21:30:00.000Z,,Mercedes-Benz Superdome,3493,1
6,35986,Mountain West,21,"[7, 14, 7, 7]",35,0.011943807838757925,San Diego State,False,6.6430205256,FBS Independents,349,"[7, 14, 0, 21]",42,0.9880561921612421,Army,400953391,True,2017,postseason,2017-12-23T15:30:00.000Z,,Amon G. Carter Stadium,3616,1
7,57726,FBS Independents,87,"[0, 3, 3, 15]",21,0.2466215866446282,Notre Dame,False,8.50528630519999,SEC,99,"[0, 0, 7, 10]",17,0.7533784133553718,LSU,400953414,True,2017,postseason,2018-01-01T13:00:00.000Z,,Camping World Stadium,4013,1
8,24017,Mid-American,2084,"[3, 14, 0, 0]",17,0.4193415278461431,Buffalo,False,5.4096661064,FBS Independents,349,"[7, 0, 0, 14]",21,0.5806584721538569,Army,400934562,False,2017,regular,2017-09-09T12:00:00.000Z,,Blaik Field at Michie Stadium,3841,2
9,9028,Conference USA,295,"[3, 7, 0, 7]",17,0.8330311533245404,Old Dominion,False,6.6288547742,FBS Independents,113,"[0, 0, 7, 0]",7,0.1669688466754596,UMass,400938602,False,2017,regular,2017-09-09T15:30:00.000Z,,Warren McGuirk Alumni Stadium,3985,2
10,77622,SEC,61,"[3, 7, 7, 3]",20,0.8722574105793183,Georgia,False,9.6106353399,FBS Independents,87,"[3, 10, 3, 3]",19,0.1277425894206817,Notre Dame,400933845,False,2017,regular,2017-09-09T19:30:00.000Z,,Notre Dame Stadium,3855,2
11,63470,Pac-12,254,"[3, 6, 10, 0]",19,0.9415018912275861,Utah,False,3.7395730883,FBS Independents,252,"[0, 0, 6, 7]",13,0.05849810877241395,BYU,400935263,False,2017,regular,2017-09-09T22:15:00.000Z,,LaVell Edwards Stadium,3801,2
12,22911,FBS Independents,113,"[0, 7, 7, 7]",21,0.5586449127156183,UMass,False,3.7129526076,American Athletic,218,"[3, 13, 6, 7]",29,0.44135508728438166,Temple,400941800,False,2017,regular,2017-09-15T19:00:00.000Z,,Lincoln Financial Field,3806,3
13,44500,FBS Independents,87,"[7, 7, 14, 21]",49,0.9962568203378583,Notre Dame,False,4.1881834487,ACC,103,"[3, 7, 3, 7]",20,0.003743179662141619,Boston College,400934574,False,2017,regular,2017-09-16T15:30:00.000Z,,Alumni Stadium,3615,3
14,61143,Big Ten,275,"[10, 14, 7, 9]",40,0.9961765551537695,Wisconsin,False,1.35551579699999,FBS Independents,252,"[3, 3, 0, 0]",6,0.003823444846230524,BYU,400935349,False,2017,regular,2017-09-16T15:30:00.000Z,,LaVell Edwards Stadium,3801,3
15,108414,FBS Independents,349,"[0, 7, 0, 0]",7,0.00015169220567179398,Army,False,0.4101094275,Big Ten,194,"[14, 3, 14, 7]",38,0.9998483077943282,Ohio State,400934563,False,2017,regular,2017-09-16T16:30:00.000Z,,Ohio Stadium,3861,3
