,_school,elo,_year,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division,flair,played
1,LSU,2030.88,2019,1721.9,Clemson,(**42** - 25) W,33.45,(15 - 0),(9 - 0),SEC,West,lsu,True
2,Clemson,1984.81,2019,1669.5,LSU,(42 - **25**) L,-33.45,(14 - 1),(9 - 1),ACC,Atlantic,clemson,True
3,Ohio State,1938.82,2019,1640.64,Clemson,(**23** - 29) L,-23.54,(13 - 1),(10 - 1),Big Ten,East,ohiostate,True
4,Alabama,1917.48,2019,1638.21,Michigan,(**35** - 16) W,20.76,(11 - 2),(6 - 2),SEC,West,alabama,True
5,Georgia,1889.83,2019,1686.22,Baylor,(14 - **26**) W,25.64,(12 - 2),(7 - 2),SEC,East,georgia,True
6,Appalachian State,1876.14,2019,1586.6,UAB,(17 - **31**) W,15.62,(13 - 1),(8 - 1),Sun Belt,,appalachianstate,True
7,Florida,1873.34,2019,1706.03,Virginia,(28 - **36**) W,19.82,(11 - 2),(6 - 2),SEC,East,florida,True
8,Oklahoma,1846.61,2019,1671.76,LSU,(63 - **28**) L,-29.82,(12 - 2),(9 - 2),Big 12,,oklahoma,True
9,UCF,1838.81,2019,1580.47,Marshall,(25 - **48**) W,24.64,(10 - 3),(6 - 3),American Athletic,East,ucf,True
10,Oregon,1838.73,2019,1647.39,Wisconsin,(27 - **28**) W,7.73,(12 - 2),(9 - 2),Pac-12,North,oregon,True
11,Penn State,1838.72,2019,1665.03,Memphis,(**53** - 39) W,33.14,(11 - 2),(7 - 2),Big Ten,East,pennstate,True
12,Notre Dame,1836.73,2019,1599.18,Iowa State,(9 - **33**) W,29.36,(11 - 2),(0 - 2),FBS Independents,,notredame,True
13,Memphis,1816.42,2019,1639.57,Penn State,(53 - **39**) L,-33.14,(12 - 2),(8 - 2),American Athletic,West,memphis,True
14,Boise State,1794.61,2019,1586.28,Washington,(38 - **7**) L,-49.43,(12 - 2),(9 - 2),Mountain West,Mountain,,True
15,Florida Atlantic,1793.62,2019,1595.33,SMU,(**52** - 28) W,29.8,(11 - 3),(8 - 3),Conference USA,East,fau,True
16,Air Force,1790.87,2019,1609.56,Washington State,(21 - **31**) W,21.08,(11 - 2),(7 - 2),Mountain West,Mountain,airforce,True
17,Auburn,1774.29,2019,1696.95,Minnesota,(**24** - 31) L,-32.74,(9 - 4),(5 - 4),SEC,West,auburn,True
18,Washington,1773.44,2019,1647.14,Boise State,(**38** - 7) W,49.43,(8 - 5),(4 - 5),Pac-12,North,washington,True
19,Louisiana,1764.24,2019,1602.92,Miami (OH),(17 - **27**) W,19.6,(11 - 3),(7 - 3),Sun Belt,,louisiana,True
20,Wisconsin,1759.22,2019,1623.46,Oregon,(**27** - 28) L,-7.73,(10 - 4),(7 - 4),Big Ten,West,wisconsin,True
21,Utah,1753.81,2019,1624.62,Texas,(38 - **10**) L,-50.39,(11 - 3),(8 - 3),Pac-12,South,utah,True
22,Iowa,1751.94,2019,1596.32,USC,(**49** - 24) W,31.91,(10 - 3),(6 - 3),Big Ten,West,iowa,True
23,Cincinnati,1746.75,2019,1598.25,Boston College,(**38** - 6) W,28.6,(11 - 3),(7 - 3),American Athletic,East,cincinnati,True
24,Navy,1745.13,2019,1623.75,Kansas State,(17 - **20**) W,16.05,(11 - 2),(7 - 2),American Athletic,West,navy,True
25,Baylor,1736.05,2019,1650.99,Georgia,(**14** - 26) L,-25.64,(11 - 3),(8 - 3),Big 12,,baylor,True
26,Michigan,1733.17,2019,1649.28,Alabama,(35 - **16**) L,-20.76,(9 - 4),(6 - 4),Big Ten,East,michigan,True
27,Minnesota,1732.39,2019,1625.51,Auburn,(24 - **31**) W,32.74,(11 - 2),(7 - 2),Big Ten,West,minnesota,True
28,Kentucky,1731.21,2019,1633.7,Virginia Tech,(**37** - 30) W,22.26,(8 - 5),(3 - 5),SEC,East,kentucky,True
29,Texas A&M,1709.75,2019,1673.83,Oklahoma State,(**24** - 21) W,14.33,(8 - 5),(4 - 5),SEC,West,texasam,True
30,Texas,1704.69,2019,1630.58,Utah,(**38** - 10) W,50.39,(8 - 5),(5 - 5),Big 12,,texas,True
31,San Diego State,1699.76,2019,1568.66,Central Michigan,(**48** - 11) W,28.38,(10 - 3),(5 - 3),Mountain West,West,,True
32,Virginia,1698.19,2019,1657.66,Florida,(**28** - 36) L,-19.82,(9 - 5),(6 - 5),ACC,Coastal,virginia,True
33,Buffalo,1682.21,2019,1545.13,Charlotte,(9 - **31**) W,31.71,(8 - 5),(5 - 5),Mid-American,East,buffalo,True
34,Louisiana Tech,1678.06,2019,1533.93,Miami,(0 - **14**) W,32.66,(10 - 3),(6 - 3),Conference USA,West,louisianatech,True
35,Virginia Tech,1677.73,2019,1671.48,Kentucky,(37 - **30**) L,-22.26,(8 - 5),(5 - 5),ACC,Coastal,virginiatech,True
36,SMU,1675.66,2019,1593.18,Florida Atlantic,(52 - **28**) L,-29.8,(10 - 3),(6 - 3),American Athletic,West,smu,True
37,Tennessee,1665.33,2019,1656.77,Indiana,(**23** - 22) W,6.71,(8 - 5),(5 - 5),SEC,East,tennessee,True
38,North Carolina,1664.99,2019,1653.73,Temple,(13 - **55**) W,54.11,(7 - 6),(4 - 6),ACC,Coastal,northcarolina,True
39,Kansas State,1663.15,2019,1656.8,Navy,(**17** - 20) L,-16.05,(8 - 5),(5 - 5),Big 12,,kansasstate,True
40,Oklahoma State,1659.72,2019,1637.09,Texas A&M,(24 - **21**) L,-14.33,(8 - 5),(5 - 5),Big 12,,oklahomastate,True
41,USC,1648.16,2019,1629.4,Iowa,(49 - **24**) L,-31.91,(8 - 5),(7 - 5),Pac-12,South,,True
42,Western Kentucky,1646.87,2019,1588.65,Western Michigan,(20 - **23**) W,16.37,(9 - 4),(6 - 4),Conference USA,East,wku,True
43,Iowa State,1646.0,2019,1664.45,Notre Dame,(**9** - 33) L,-29.36,(7 - 6),(5 - 6),Big 12,,iowastate,True
44,Wyoming,1644.25,2019,1578.2,Georgia State,(17 - **38**) W,31.1,(8 - 5),(4 - 5),Mountain West,Mountain,wyoming,True
45,Hawai'i,1640.86,2019,1613.71,BYU,(34 - **38**) W,21.94,(10 - 5),(5 - 5),Mountain West,West,,True
46,Ohio,1632.16,2019,1537.13,Nevada,(21 - **30**) W,24.71,(7 - 6),(5 - 6),Mid-American,East,,True
47,Arizona State,1624.51,2019,1618.35,Florida State,(**20** - 14) W,23.0,(8 - 5),(4 - 5),Pac-12,South,,True
48,Tulane,1623.11,2019,1638.49,Southern Mississippi,(**30** - 13) W,31.99,(7 - 6),(3 - 6),American Athletic,West,tulane,True
49,Arkansas State,1618.87,2019,1571.44,Florida International,(**34** - 26) W,20.52,(8 - 5),(5 - 5),Sun Belt,,arkansasstate,True
50,BYU,1618.47,2019,1616.85,Hawai'i,(**34** - 38) L,-21.94,(7 - 6),(0 - 6),FBS Independents,,byu,True
51,Missouri,1618.09,2019,1626.46,Arkansas,(14 - **24**) W,14.34,(6 - 6),(3 - 6),SEC,East,missouri,True
52,Wake Forest,1613.96,2019,1620.96,Michigan State,(**21** - 27) L,-29.03,(8 - 5),(4 - 5),ACC,Atlantic,wakeforest,True
53,Liberty,1613.93,2019,1564.66,Georgia Southern,(16 - **23**) W,28.36,(8 - 5),(0 - 5),FBS Independents,,liberty,True
54,Marshall,1609.57,2019,1607.26,UCF,(**25** - 48) L,-24.64,(8 - 5),(6 - 5),Conference USA,East,marshall,True
55,California,1608.89,2019,1624.3,Illinois,(20 - **35**) W,27.5,(8 - 5),(4 - 5),Pac-12,North,california,True
56,Indiana,1607.97,2019,1600.92,Tennessee,(23 - **22**) L,-6.71,(8 - 5),(5 - 5),Big Ten,East,indiana,True
57,Florida State,1607.93,2019,1679.71,Arizona State,(20 - **14**) L,-23.0,(6 - 7),(4 - 7),ACC,Atlantic,floridastate,True
58,Temple,1606.72,2019,1636.49,North Carolina,(**13** - 55) L,-54.11,(8 - 5),(5 - 5),American Athletic,East,temple,True
59,Washington State,1605.42,2019,1616.74,Air Force,(**21** - 31) L,-21.08,(6 - 7),(3 - 7),Pac-12,North,,True
60,Louisville,1605.39,2019,1661.25,Mississippi State,(**38** - 28) W,30.38,(8 - 5),(5 - 5),ACC,Atlantic,louisville,True
61,Pittsburgh,1604.89,2019,1650.5,Eastern Michigan,(30 - **34**) W,16.98,(8 - 5),(4 - 5),ACC,Coastal,pittsburgh,True
62,Mississippi State,1603.97,2019,1645.13,Louisville,(38 - **28**) L,-30.38,(6 - 7),(3 - 7),SEC,West,mississippistate,True
63,Michigan State,1600.69,2019,1598.16,Wake Forest,(21 - **27**) W,29.03,(7 - 6),(4 - 6),Big Ten,East,michiganstate,True
64,Army,1594.1,2019,1600.0,Navy,(31 - **7**) L,-27.87,(5 - 8),(0 - 8),FBS Independents,,army,True
65,Boston College,1593.26,2019,1642.09,Cincinnati,(38 - **6**) L,-28.6,(6 - 7),(4 - 7),ACC,Atlantic,bostoncollege,True
