,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,,American Athletic,2567,"[0, 14, 14, 3]",31.0,0.9536145044232663,SMU,False,3.2882211247,Sun Belt,326,"[0, 14, 7, 3]",24.0,0.046385495576733625,Texas State,401212484,False,2020,regular,2020-09-05T20:30:00.000Z,False,Jim Wacker Field at Bobcat Stadium,3644,1
1,,Sun Belt,2032,"[14, 0, 3, 7]",24.0,0.05409576096819957,Arkansas State,False,3.8455083297,American Athletic,235,"[7, 14, 13, 3]",37.0,0.9459042390318004,Memphis,401212553,False,2020,regular,2020-09-06T00:00:00.000Z,False,Liberty Bowl Memorial Stadium,3805,1
2,,FBS Independents,252,"[14, 17, 17, 7]",55.0,0.9996578283733436,BYU,False,1.7226811047,American Athletic,2426,"[0, 0, 3, 0]",3.0,0.00034217162665634487,Navy,401234576,False,2020,regular,2020-09-08T00:00:00.000Z,False,Navy-Marine Corps Memorial Stadium,3852,1
3,,,2643,"[3, 3, 0, 0]",6.0,0.6628507984585768,The Citadel,False,2.9737388347,American Athletic,58,"[7, 13, 0, 7]",27.0,0.33714920154142325,South Florida,401240039,False,2020,regular,2020-09-12T23:00:00.000Z,False,Raymond James Stadium,3886,2
4,,American Athletic,2655,"[0, 6, 7, 14]",27.0,0.3695601351513079,Tulane,False,8.4177973424,Sun Belt,6,"[0, 14, 10, 0]",24.0,0.6304398648486921,South Alabama,401239973,False,2020,regular,2020-09-12T23:30:00.000Z,False,Hancock Whitney Stadium,6526,2
5,,American Athletic,202,"[0, 7, 0, 0]",7.0,0.4046706782668523,Tulsa,False,6.4507386828,Big 12,197,"[3, 0, 0, 13]",16.0,0.5953293217331477,Oklahoma State,401236041,False,2020,regular,2020-09-19T16:00:00.000Z,False,Boone Pickens Stadium,3646,2
6,,American Athletic,2426,"[0, 0, 16, 8]",27.0,0.9276525528956208,Navy,True,4.6042706648,American Athletic,2655,"[10, 14, 0, 0]",24.0,0.07234744710437926,Tulane,401212522,False,2020,regular,2020-09-19T16:00:00.000Z,False,Benson Field at Yulman Stadium,4729,3
7,,,2046,"[3, 0, 3, 14]",20.0,0.0011746433548470714,Austin Peay,False,1.1096572091,American Athletic,2132,"[14, 14, 14, 13]",55.0,0.9988253566451529,Cincinnati,401212541,False,2020,regular,2020-09-19T16:00:00.000Z,False,Nippert Stadium,3854,3
8,,American Athletic,58,"[0, 0, 0, 0]",0.0,0.0010350097995892593,South Florida,False,1.2391030155,FBS Independents,87,"[14, 21, 10, 7]",52.0,0.9989649902004107,Notre Dame,401241282,False,2020,regular,2020-09-19T18:30:00.000Z,False,Notre Dame Stadium,3855,3
9,,American Athletic,2116,"[7, 21, 0, 21]",49.0,0.8857620039987367,UCF,False,3.0977925754,ACC,59,"[7, 7, 0, 7]",21.0,0.11423799600126323,Georgia Tech,401234568,False,2020,regular,2020-09-19T19:30:00.000Z,False,Bobby Dodd Stadium at Historic Grant Field,721,3
10,,American Athletic,2567,"[21, 13, 21, 10]",65.0,0.9041693129392834,SMU,False,1.2213852656,Conference USA,249,"[0, 7, 14, 14]",35.0,0.09583068706071667,North Texas,401207120,False,2020,regular,2020-09-19T22:00:00.000Z,False,Apogee Stadium,3825,3
11,,American Athletic,2116,"[10, 17, 14, 10]",51.0,0.9446573323478612,UCF,True,1.3759895565,American Athletic,151,"[7, 0, 7, 14]",28.0,0.05534266765213877,East Carolina,401212536,False,2020,regular,2020-09-26T16:00:00.000Z,False,Dowdy-Ficklen Stadium,3699,4
12,,FBS Independents,349,"[7, 0, 0, 3]",10.0,0.1341641187675391,Army,False,5.4817205335,American Athletic,2132,"[3, 7, 7, 7]",24.0,0.8658358812324609,Cincinnati,401240996,False,2020,regular,2020-09-26T19:30:00.000Z,False,Nippert Stadium,3854,4
13,,American Athletic,2655,"[7, 24, 21, 14]",66.0,0.9944759420505801,Tulane,False,3.823246856,Conference USA,2572,"[14, 7, 3, 0]",24.0,0.005524057949419916,Southern Mississippi,401234734,False,2020,regular,2020-09-26T23:00:00.000Z,False,M. M. Roberts Stadium,3815,4
14,,,2617,"[0, 0, 7, 0]",7.0,0.002537357181082278,Stephen F. Austin,False,1.0793084884,American Athletic,2567,"[22, 7, 7, 14]",50.0,0.9974626428189177,SMU,401212485,False,2020,regular,2020-09-26T23:00:00.000Z,False,Gerald J. Ford Stadium,3735,4
15,,American Athletic,151,"[7, 6, 3, 13]",29.0,0.0013361084533748402,East Carolina,False,3.42687323,Sun Belt,2247,"[21, 14, 0, 14]",49.0,0.9986638915466252,Georgia State,401212547,False,2020,regular,2020-10-03T16:00:00.000Z,False,Georgia State Stadium,4246,5
16,,American Athletic,58,"[0, 0, 7, 0]",7.0,0.03600831481461264,South Florida,True,2.1158551635,American Athletic,2132,"[7, 7, 14, 0]",28.0,0.9639916851853874,Cincinnati,401212476,False,2020,regular,2020-10-03T19:30:00.000Z,False,Nippert Stadium,3854,5
17,,American Athletic,235,"[3, 17, 7, 0]",27.0,0.3658024421998761,Memphis,True,10.0393442141,American Athletic,2567,"[17, 7, 3, 3]",30.0,0.6341975578001239,SMU,401212486,False,2020,regular,2020-10-03T19:30:00.000Z,False,Gerald J. Ford Stadium,3735,5
18,,American Athletic,2426,"[0, 7, 0, 0]",7.0,0.0016264329714635872,Navy,False,4.705105358,Mountain West,2005,"[3, 13, 3, 21]",40.0,0.9983735670285364,Air Force,401212557,False,2020,regular,2020-10-03T22:00:00.000Z,False,Falcon Stadium,3713,5
