,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,,Conference USA,5,"[7, 0, 7, 0]",14.0,0.0021581889540801535,UAB,False,3.686792617,ACC,2390,"[7, 7, 17, 0]",31.0,0.9978418110459198,Miami,401234559,False,2020,regular,2020-09-11T00:00:00.000Z,False,Hard Rock Stadium,3948,2
1,,ACC,183,"[0, 3, 3, 0]",6.0,0.001043809020272013,Syracuse,True,3.2978536983,ACC,153,"[7, 0, 3, 21]",31.0,0.998956190979728,North Carolina,401234565,False,2020,regular,2020-09-12T16:00:00.000Z,False,Kenan Memorial Stadium,3787,2
2,,ACC,150,"[3, 3, 7, 0]",13.0,0.049574931650901544,Duke,True,3.637262785,FBS Independents,87,"[0, 10, 7, 10]",27.0,0.9504250683490985,Notre Dame,401234574,False,2020,regular,2020-09-12T18:30:00.000Z,False,Notre Dame Stadium,3855,2
3,,,2046,"[0, 0, 0, 0]",0.0,0.001030680781134441,Austin Peay,False,1.1571226423,ACC,221,"[21, 21, 0, 13]",55.0,0.9989693192188656,Pittsburgh,401240233,False,2020,regular,2020-09-12T20:00:00.000Z,False,Heinz Field,3752,2
4,,ACC,59,"[0, 0, 7, 9]",16.0,0.9551910921373108,Georgia Tech,True,5.8038345134,ACC,52,"[10, 0, 3, 0]",13.0,0.04480890786268917,Florida State,401234563,False,2020,regular,2020-09-12T20:00:00.000Z,False,Bobby Bowden Field at Doak Campbell Stadium,3697,2
5,,ACC,228,"[14, 13, 10, 0]",37.0,0.9993169980368384,Clemson,True,0.2919910883,ACC,154,"[0, 0, 3, 10]",13.0,0.0006830019631616109,Wake Forest,401234562,False,2020,regular,2020-09-12T23:30:00.000Z,False,BB&T Field,3630,2
6,,Conference USA,98,"[7, 0, 7, 7]",21.0,0.0023764438490944118,Western Kentucky,False,2.872543934,ACC,97,"[7, 21, 7, 0]",35.0,0.9976235561509056,Louisville,401234564,False,2020,regular,2020-09-13T00:00:00.000Z,False,Papa John's Cardinal Stadium,3873,2
7,,ACC,103,"[7, 0, 16, 3]",26.0,,Boston College,True,,ACC,150,"[6, 0, 0, 0]",6.0,,Duke,401234567,False,2020,regular,2020-09-19T16:00:00.000Z,False,Wallace Wade Stadium,3982,3
8,,ACC,183,"[3, 7, 0, 0]",10.0,0.014581829353061515,Syracuse,True,3.715638939,ACC,221,"[7, 7, 7, 0]",21.0,0.9854181706469385,Pittsburgh,401234571,False,2020,regular,2020-09-19T16:00:00.000Z,False,Heinz Field,3752,3
9,,American Athletic,2116,"[7, 21, 0, 21]",49.0,0.8857620039987367,UCF,False,3.0977925754,ACC,59,"[7, 7, 0, 7]",21.0,0.11423799600126323,Georgia Tech,401234568,False,2020,regular,2020-09-19T19:30:00.000Z,False,Bobby Dodd Stadium at Historic Grant Field,721,3
10,,,2643,"[0, 0, 0, 0]",0.0,0.0016904282477541166,The Citadel,False,1.0102957486,ACC,228,"[28, 21, 0, 0]",49.0,0.9983095717522459,Clemson,401237492,False,2020,regular,2020-09-19T20:00:00.000Z,False,Memorial Stadium,3836,3
