,year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
0,2020,Air Force,Mountain West,Mountain,2,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0
1,2020,Alabama,SEC,West,5,5,0,0,5,5,0,0,2,2,0,0,3,3,0,0
2,2020,Appalachian State,Sun Belt,,4,3,1,0,1,1,0,0,3,3,0,0,1,0,1,0
3,2020,Arkansas,SEC,West,4,2,2,0,4,2,2,0,2,1,1,0,2,1,1,0
4,2020,Arkansas State,Sun Belt,,6,3,3,0,3,1,2,0,2,2,0,0,4,1,3,0
5,2020,Army,FBS Independents,,7,6,1,0,0,0,0,0,5,5,0,0,2,1,1,0
6,2020,Auburn,SEC,West,5,3,2,0,5,3,2,0,2,2,0,0,3,1,2,0
7,2020,Baylor,Big 12,,3,1,2,0,3,1,2,0,1,1,0,0,2,0,2,0
8,2020,Boise State,Mountain West,Mountain,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
9,2020,Boston College,ACC,Atlantic,6,4,2,0,5,3,2,0,4,3,1,0,2,1,1,0
10,2020,BYU,FBS Independents,,6,6,0,0,0,0,0,0,4,4,0,0,2,2,0,0
11,2020,Charlotte,Conference USA,East,4,2,2,0,3,2,1,0,1,1,0,0,3,1,2,0
12,2020,Cincinnati,American Athletic,East,4,4,0,0,2,2,0,0,3,3,0,0,1,1,0,0
13,2020,Clemson,ACC,Atlantic,6,6,0,0,5,5,0,0,4,4,0,0,2,2,0,0
14,2020,Coastal Carolina,Sun Belt,,5,5,0,0,3,3,0,0,3,3,0,0,2,2,0,0
15,2020,Duke,ACC,Coastal,6,1,5,0,6,1,5,0,2,0,2,0,4,1,3,0
16,2020,East Carolina,American Athletic,East,4,1,3,0,3,1,2,0,2,0,2,0,2,1,1,0
17,2020,Florida,SEC,East,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,0
18,2020,Florida Atlantic,Conference USA,East,2,1,1,0,2,1,1,0,1,1,0,0,1,0,1,0
19,2020,Florida International,Conference USA,East,3,0,3,0,1,0,1,0,2,0,2,0,1,0,1,0
20,2020,Florida State,ACC,Atlantic,6,2,4,0,5,1,4,0,3,2,1,0,3,0,3,0
