school,flair
Wisconsin,wisconsin
Notre Dame,notredame
Penn State,pennstate
Georgia,georgia
Miami,miami
Alabama,alabama
Ohio State,ohiostate
Clemson,clemson
Auburn,auburn
UCF,ucf
Oklahoma,oklahoma
TCU,tcu
Washington,washington
Michigan,michigan
Iowa,iowa
Southern Cal,usc
Mississippi State,mississippistate
Wake Forest,wakeforest
Oklahoma State,oklahomastate
Michigan State,michiganstate
Virginia Tech,virginiatech
NC State,ncstate
Northwestern,northwestern
LSU,lsu
Boise St,boisestate
Iowa State,iowastate
Washington St,washingtonstate
Purdue,purdue
Stanford,stanford
Memphis,memphis
Louisville,louisville
Boston College,bostoncollege
Georgia Tech,georgiatech
Texas,texas
South Carolina,southcarolina
West Virginia,westvirginia
Florida Atlantic,fau
South Florida,usf
Navy,navy
Florida State,floridastate
Missouri,missouri
Toledo,toledo
Oregon,oregon
Texas A&M,texasam
San Diego St,sandiegostate
Arizona,arizona
Duke,duke
Indiana,indiana
Northern Illinois,northernillinois
Arizona St,arizonastate
Minnesota,minnesota
SMU,smu
Kansas State,kansasstate
Syracuse,syracuse
Nebraska,nebraska
Fresno State,fresnostate
Utah,utah
Ohio U.,ohio
Kentucky,kentucky
Houston,houston
Florida,florida
Troy,troy
Virginia,virginia
Texas Tech,texastech
Army,army
UCLA,ucla
Ole Miss,olemiss
Maryland,maryland
Wyoming,wyoming
California,california
Utah St,utahstate
Colorado St,coloradostate
Colorado,colorado
Western Michigan,westernmichigan
Pittsburgh,pittsburgh
Marshall,marshall
North Carolina,northcarolina
Rutgers,rutgers
Tennessee,tennessee
North Texas,northtexas
Arkansas State,arkansasstate
Tulane,tulane
Akron,akron
Arkansas,arkansas
Eastern Michigan,easternmichigan
Buffalo,buffalo
Temple,temple
Central Michigan,centralmichigan
Vanderbilt,vanderbilt
Appalachian State,appalachianstate
UT San Antonio,utsa
Air Force,airforce
Miami OH,miamioh
Southern Mississippi,southernmiss
Tulsa,tulsa
Louisiana Tech,louisianatech
Baylor,baylor
Illinois,illinois
UNLV,unlv
UAB,uab
Massachusetts,umass
BYU,byu
Florida International,fiu
Western Kentucky,wku
New Mexico,newmexico
Middle Tennessee,middletennessee
Georgia State,georgiastate
Louisiana Monroe,ulm
Nevada,nevada
Cincinnati,cincinnati
New Mexico State,newmexicostate
Connecticut,connecticut
South Alabama,southalabama
East Carolina,eastcarolina
Old Dominion,olddominion
Oregon State,oregonstate
Idaho,idaho
Bowling Green,bowlinggreen
Kansas,kansas
Hawai`i,hawaii
Louisiana,louisiana
Kent St,kentstate
Georgia Southern,georgiasouthern
Ball St,ballstate
Coastal Carolina,coastalcarolina
Rice,rice
Texas State,texasstate
San José St,sanjosestate
Charlotte,charlotte
UTEP,utep
Liberty,liberty
CFB,cfb
