,game_id,home_team,away_team
0,0,Louisville,Murray State
1,1,Florida International,North Texas
2,2,Toledo,New Hampshire
3,3,Central Michigan,South Carolina State
4,4,Temple,Villanova
5,5,Rutgers,North Carolina Central
6,6,Georgia Tech,Western Carolina
7,7,Memphis,Mississippi State
8,8,Wisconsin,UNLV
9,9,Syracuse,Wake Forest
10,10,Utah,Montana State
11,11,Idaho,Bowling Green
12,12,Western Kentucky,Kentucky
13,13,Arizona State,UC Davis
14,14,Michigan State,Youngstown State
15,15,Baylor,TCU
16,16,Missouri,Miami (OH)
17,17,Boston College,Northwestern
18,18,Auburn,Utah State
19,19,Ohio State,Akron
20,20,Purdue,Middle Tennessee
21,21,Iowa,Tennessee Tech
22,22,Penn State,Indiana State
23,23,Connecticut,Fordham
24,24,Alabama,Kent State
25,25,Virginia Tech,Appalachian State
26,26,Tulane,Southeastern Louisiana
27,27,Air Force,South Dakota
28,28,Illinois,Arkansas State
29,29,Clemson,Troy
30,30,Houston,UCLA
31,31,North Carolina,James Madison
32,32,USC,Minnesota
33,33,Navy,Delaware
34,34,Nebraska,Chattanooga
35,35,Michigan,Western Michigan
36,36,Florida State,Louisiana Monroe
37,37,Notre Dame,South Florida
38,38,Oregon State,Sacramento State
39,39,Ole Miss,BYU
40,40,Washington State,Idaho State
41,41,Stanford,San José State
42,42,Tennessee,Montana
43,43,Pittsburgh,Buffalo
44,44,NC State,Liberty
45,45,Virginia,William & Mary
46,46,New Mexico,Colorado State
47,47,Northern Illinois,Army
48,48,Florida,Florida Atlantic
49,49,Arkansas,Missouri State
50,50,South Carolina,East Carolina
51,51,Oklahoma State,Louisiana
52,52,Kansas,McNeese
53,53,Kansas State,Eastern Kentucky
54,54,Ball State,Indiana
55,55,UCF,Charleston Southern
56,56,Cincinnati,Austin Peay
57,57,California,Fresno State
58,58,Duke,Richmond
59,59,Texas Tech,Texas State
60,60,Washington,Eastern Washington
61,61,Iowa State,Northern Iowa
62,62,Vanderbilt,Elon
63,63,LSU,Oregon
64,64,Texas,Rice
65,65,Georgia,Boise State
66,66,New Mexico State,Ohio
67,67,Oklahoma,Tulsa
68,68,UTEP,Stony Brook
69,69,Wyoming,Weber State
70,70,Southern Mississippi,Louisiana Tech
71,71,Arizona,Northern Arizona
72,72,San Diego State,Cal Poly
73,73,Hawai'i,Colorado
74,74,Eastern Michigan,Howard
75,75,West Virginia,Marshall
76,76,Texas A&M,SMU
77,77,Maryland,Miami
78,78,Wyoming,Temple
79,79,Utah State,Ohio
80,80,Louisiana,San Diego State
81,81,Marshall,Florida International
82,82,Louisiana Tech,TCU
83,83,Boise State,Arizona State
84,84,Southern Mississippi,Nevada
85,85,North Carolina,Missouri
86,86,Purdue,Western Michigan
87,87,NC State,Louisville
88,88,Air Force,Toledo
89,89,Texas,California
90,90,Notre Dame,Florida State
91,91,Baylor,Washington
92,92,Tulsa,BYU
93,93,Iowa State,Rutgers
94,94,Wake Forest,Mississippi State
95,95,Oklahoma,Iowa
96,96,Northwestern,Texas A&M
97,97,Utah,Georgia Tech
98,98,UCLA,Illinois
99,99,Vanderbilt,Cincinnati
100,100,Auburn,Virginia
101,101,Penn State,Houston
102,102,Florida,Ohio State
103,103,South Carolina,Nebraska
104,104,Georgia,Michigan State
105,105,Oregon,Wisconsin
106,106,Oklahoma State,Stanford
107,107,Virginia Tech,Michigan
108,108,Clemson,West Virginia
109,109,Arkansas,Kansas State
110,110,Pittsburgh,SMU
111,111,Northern Illinois,Arkansas State
112,112,LSU,Alabama
113,113,Oklahoma State,Arizona
114,114,Louisville,Florida International
115,115,Arizona State,Missouri
116,116,Illinois,South Dakota State
117,117,Wisconsin,Oregon State
118,118,Ohio State,Toledo
119,119,Michigan State,Florida Atlantic
120,120,Iowa State,Iowa
121,121,Kentucky,Central Michigan
122,122,Army,San Diego State
123,123,Auburn,Mississippi State
124,124,North Carolina,Rutgers
125,125,West Virginia,Norfolk State
126,126,Pittsburgh,Maine
127,127,Eastern Michigan,Alabama State
128,128,Colorado State,Northern Colorado
129,129,Washington,Hawai'i
130,130,Tulane,Tulsa
131,131,Oregon,Nevada
132,132,Minnesota,New Mexico State
133,133,Marshall,Southern Mississippi
134,134,Rice,Purdue
135,135,Tennessee,Cincinnati
136,136,Air Force,TCU
137,137,Penn State,Alabama
138,138,Duke,Stanford
139,139,East Carolina,Virginia Tech
140,140,Colorado,California
141,141,Northwestern,Eastern Illinois
142,142,Clemson,Wofford
143,143,Wake Forest,NC State
144,144,Georgia,South Carolina
145,145,Syracuse,Rhode Island
146,146,Washington State,UNLV
147,147,Idaho,North Dakota
148,148,Buffalo,Stony Brook
149,149,Florida State,Charleston Southern
150,150,Wyoming,Texas State
151,151,Akron,Temple
152,152,Ole Miss,Southern Illinois
153,153,Texas,BYU
154,154,Western Kentucky,Navy
155,155,Bowling Green,Morgan State
156,156,Ohio,Gardner-Webb
157,157,Indiana,Virginia
158,158,SMU,UTEP
159,159,Western Michigan,Nicholls
160,160,Arkansas State,Memphis
161,161,Kansas,Northern Illinois
162,162,Kent State,Louisiana
163,163,Louisiana Tech,Central Arkansas
164,164,Middle Tennessee,Georgia Tech
165,165,Louisiana Monroe,Grambling
166,166,North Texas,Houston
167,167,South Florida,Ball State
168,168,Florida,UAB
169,169,Arkansas,New Mexico
170,170,Nebraska,Fresno State
171,171,Vanderbilt,Connecticut
172,172,USC,Utah
173,173,LSU,Northwestern State
174,174,Utah State,Weber State
175,175,UCF,Boston College
176,176,Michigan,Notre Dame
177,177,UCLA,San José State
178,178,Mississippi State,LSU
179,179,Toledo,Boise State
180,180,Connecticut,Iowa State
181,181,Michigan,Eastern Michigan
182,182,Maryland,West Virginia
183,183,Clemson,Auburn
184,184,Bowling Green,Wyoming
185,185,Temple,Penn State
186,186,Iowa,Pittsburgh
187,187,Purdue,Southeast Missouri State
188,188,Western Michigan,Central Michigan
189,189,Vanderbilt,Ole Miss
190,190,Boston College,Duke
191,191,Georgia Tech,Kansas
192,192,Georgia,Coastal Carolina
193,193,Colorado,Colorado State
