,did_home_win,conference_game,neutral_site,season,week,conference,l3g_avg_points,l5g_avg_points,l7g_avg_points,l3g_avg_spread,l5g_avg_spread,l7g_avg_spread,l3g_opp_avg_points,l5g_opp_avg_points,l7g_opp_avg_points,l3g_opp_avg_spread,l5g_opp_avg_spread,l7g_opp_avg_spread,season_type_postseason,season_type_regular,conference_ACC,conference_American Athletic,conference_Big 12,conference_Big East,conference_Big Ten,conference_Conference USA,conference_FBS Independents,conference_FCS,conference_Mid-American,conference_Mountain West,conference_Pac-12,conference_SEC,conference_Sun Belt,conference_Western Athletic,team
7713,True,False,False,2019,14,ACC,41.0,37.0,32.0,-3.6666666666666665,-1.4,-14.428571428571427,43.66666666666666,37.4,45.42857142857143,2.6666666666666665,0.4,13.428571428571427,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Louisville
7714,True,True,False,2019,14,Conference USA,18.33333333333333,19.0,26.0,-26.0,-23.2,-10.428571428571429,43.33333333333334,41.2,35.42857142857143,25.0,22.2,9.428571428571429,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Florida International
7695,True,True,False,2019,14,Mid-American,17.0,23.2,26.714285714285715,-24.33333333333333,-16.6,-12.285714285714285,40.333333333333336,38.8,38.0,23.33333333333333,15.6,11.285714285714285,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Toledo
7756,False,True,True,2019,15,Mid-American,46.33333333333334,45.2,39.57142857142857,31.33333333333333,28.2,21.0,15.0,17.0,18.571428571428573,-32.333333333333336,-29.2,-22.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Central Michigan
7731,True,True,False,2019,14,American Athletic,26.66666666666667,24.8,27.57142857142857,-10.666666666666666,-1.4,-0.7142857142857143,37.333333333333336,26.2,28.285714285714285,9.666666666666666,0.4,-0.2857142857142857,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Temple
7732,True,True,False,2019,14,Big Ten,3.333333333333333,4.0,6.2857142857142865,-39.333333333333336,-30.8,-28.142857142857146,41.66666666666666,33.8,33.42857142857143,38.333333333333336,29.8,27.142857142857146,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Rutgers
7708,False,False,False,2019,14,ACC,12.666666666666664,16.8,18.285714285714285,-17.666666666666668,-14.4,-9.285714285714286,30.33333333333333,31.2,27.57142857142857,16.666666666666668,13.4,8.285714285714286,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia Tech
7758,True,True,False,2019,15,American Athletic,45.0,45.0,41.714285714285715,15.333333333333336,17.8,16.428571428571427,29.66666666666667,27.2,25.285714285714285,-16.333333333333332,-18.8,-17.428571428571427,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Memphis
7762,False,True,True,2019,15,Big Ten,35.666666666666664,35.8,39.285714285714285,20.33333333333333,23.6,28.57142857142857,15.333333333333336,12.2,10.714285714285714,-21.33333333333333,-24.6,-29.57142857142857,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Wisconsin
7716,True,True,False,2019,14,ACC,29.33333333333333,29.2,35.857142857142854,0.0,-3.2,3.571428571428572,29.33333333333333,32.4,32.285714285714285,-1.0,2.2,-4.571428571428571,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Syracuse
