game_id,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,0,,2506,"[0, 7, 6, 0]",13,0.14250305893226645,Presbyterian College,False,,ACC,154,"[21, 14, 2, 16]",53,0.8574969410677336,Wake Forest,302450154,False,2010,regular,2010-09-02T18:30:00.000Z,,BB&T Field,3630.0,1
1,0,,93,"[7, 3, 0, 0]",10,,Murray State,False,,Mid-American,2309,"[17, 7, 10, 7]",41,,Kent State,302452309,False,2010,regular,2010-09-02T19:00:00.000Z,,Dix Stadium,3696.0,1
2,0,,2261,"[0, 0, 0, 0]",0,0.001717789746621179,Hampton,False,,Mid-American,2117,"[16, 7, 3, 7]",33,0.9982822102533788,Central Michigan,302452117,False,2010,regular,2010-09-02T19:00:00.000Z,,Kelly/Shorts Stadium,3786.0,1
3,0,,2546,"[7, 0, 0, 3]",10,0.375809189645959,Southeast Missouri State,False,,Mid-American,2050,"[7, 0, 17, 3]",27,0.624190810354041,Ball State,302452050,False,2010,regular,2010-09-02T19:00:00.000Z,,Scheumann Stadium,3919.0,1
4,0,,227,"[0, 0, 0, 0]",0,0.0063519186356323365,Rhode Island,False,,Mid-American,2084,"[3, 21, 7, 0]",31,0.9936480813643677,Buffalo,302452084,False,2010,regular,2010-09-02T19:00:00.000Z,,UB Stadium,3965.0,1
5,0,Conference USA,2572,"[3, 3, 0, 7]",13,0.07213911412536056,Southern Mississippi,False,,SEC,2579,"[7, 17, 10, 7]",41,0.9278608858746394,South Carolina,302452579,False,2010,regular,2010-09-02T19:30:00.000Z,,Williams-Brice Stadium,3994.0,1
6,0,Big Ten,135,"[7, 7, 0, 10]",24,0.08211209717175738,Minnesota,False,,Sun Belt,2393,"[0, 14, 3, 0]",17,0.9178879028282426,Middle Tennessee,302452393,False,2010,regular,2010-09-02T19:30:00.000Z,,"Johnny Red"""" Floyd Stadium""""",3725.0,1
7,0,Conference USA,276,"[7, 0, 0, 0]",7,0.0012065760705681772,Marshall,False,,Big Ten,194,"[21, 14, 7, 3]",45,0.9987934239294318,Ohio State,302450194,False,2010,regular,2010-09-02T19:30:00.000Z,,Ohio Stadium,3861.0,1
8,0,,50,"[0, 0, 0, 0]",0,0.009840693173955972,Florida A&M,False,,ACC,2390,"[14, 21, 7, 3]",45,0.990159306826044,Miami,302452390,False,2010,regular,2010-09-02T19:30:00.000Z,,Hard Rock Stadium,3948.0,1
9,0,,119,"[0, 14, 0, 3]",17,0.017100613052721703,Towson,False,,Big Ten,84,"[17, 21, 10, 3]",51,0.9828993869472783,Indiana,302450084,False,2010,regular,2010-09-02T19:30:00.000Z,,Memorial Stadium,3830.0,1
