,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,,,2110,"[7, 14, 0, 14]",35.0,0.0019191196145156297,Central Arkansas,False,2.226002,Conference USA,5,"[14, 14, 3, 14]",45.0,0.9980808803854844,UAB,401238035,False,2020,regular,2020-09-04T00:00:00.000Z,0.0,Legion Field,3803,1
1,,Sun Belt,6,"[13, 0, 10, 9]",32.0,0.730260846141384,South Alabama,False,5.58695,Conference USA,2572,"[0, 10, 3, 8]",21.0,0.2697391538586161,Southern Mississippi,401207101,False,2020,regular,2020-09-04T01:00:00.000Z,0.0,M. M. Roberts Stadium,3815,1
2,,,2198,"[0, 0, 0, 0]",0.0,0.0010642309973485364,Eastern Kentucky,False,1.1456028928,Conference USA,276,"[21, 17, 14, 7]",59.0,0.9989357690026515,Marshall,401237353,False,2020,regular,2020-09-05T17:00:00.000Z,0.0,Joan C. Edwards Stadium,3775,1
3,,Conference USA,2393,"[0, 0, 0, 0]",0.0,0.0010598328714154226,Middle Tennessee,False,2.4709131227,FBS Independents,349,"[7, 14, 14, 7]",42.0,0.9989401671285846,Army,401235700,False,2020,regular,2020-09-05T17:30:00.000Z,0.0,Blaik Field at Michie Stadium,3841,1
4,,American Athletic,2567,"[0, 14, 14, 3]",31.0,0.9536145044232663,SMU,False,3.2882211247,Sun Belt,326,"[0, 14, 7, 3]",24.0,0.046385495576733625,Texas State,401212484,False,2020,regular,2020-09-05T20:30:00.000Z,0.0,Jim Wacker Field at Bobcat Stadium,3644,1
5,,,2277,"[0, 10, 7, 14]",31.0,0.0012066550537922494,Houston Baptist,False,1.6443047117,Conference USA,249,"[14, 9, 20, 14]",57.0,0.9987933449462078,North Texas,401207098,False,2020,regular,2020-09-05T23:30:00.000Z,0.0,Apogee Stadium,3825,1
6,,Sun Belt,2032,"[14, 0, 3, 7]",24.0,0.05409576096819957,Arkansas State,False,3.8455083297,American Athletic,235,"[7, 14, 13, 3]",37.0,0.9459042390318004,Memphis,401212553,False,2020,regular,2020-09-06T00:00:00.000Z,0.0,Liberty Bowl Memorial Stadium,3805,1
7,,,2617,"[7, 7, 0, 0]",14.0,0.10343399820897314,Stephen F. Austin,False,6.510044664,Conference USA,2638,"[3, 14, 0, 7]",24.0,0.8965660017910269,UTEP,401239884,False,2020,regular,2020-09-06T01:00:00.000Z,0.0,Sun Bowl Stadium,3946,1
8,,FBS Independents,252,"[14, 17, 17, 7]",55.0,0.9996578283733436,BYU,False,1.7226811047,American Athletic,2426,"[0, 0, 3, 0]",3.0,0.00034217162665634487,Navy,401234576,False,2020,regular,2020-09-08T00:00:00.000Z,0.0,Navy-Marine Corps Memorial Stadium,3852,1
9,,Conference USA,5,"[7, 0, 7, 0]",14.0,0.0021581889540801535,UAB,False,3.686792617,ACC,2390,"[7, 7, 17, 0]",31.0,0.9978418110459198,Miami,401234559,False,2020,regular,2020-09-11T00:00:00.000Z,0.0,Hard Rock Stadium,3948,2
