Date,Home,Home Score,Away,Away Score,Location if Neutral Site
26-Aug-17,Portland St,6,Brigham Young,20,
26-Aug-17,Oregon St,27,Colorado St,58,
26-Aug-17,Hawai`i,38,Massachusetts,35,
26-Aug-17,South Florida,42,San José St,22,
26-Aug-17,Rice,7,Stanford,62,Sydney AU
31-Aug-17,New Mexico St,31,Arizona St,37,
31-Aug-17,Florida A&M;,7,Arkansas,49,Little Rock AR
31-Aug-17,Florida Int'l,17,Central Florida,61,
31-Aug-17,Rhode Island,27,Central Michigan,30,
31-Aug-17,Austin Peay,14,Cincinnati,26,
31-Aug-17,Holy Cross,20,Connecticut,27,
31-Aug-17,Tennessee St,17,Georgia St,10,
31-Aug-17,Sacramento St,6,Idaho,28,
31-Aug-17,Ohio State,49,Indiana,21,
31-Aug-17,Louisiana-Monroe,29,Memphis,37,
31-Aug-17,Buffalo,7,Minnesota,17,
31-Aug-17,Tulsa,24,Oklahoma St,59,
31-Aug-17,Elon,13,Toledo,47,
31-Aug-17,North Dakota,16,Utah,37,
31-Aug-17,Presbyterian,7,Wake Forest,51,
01-Sep-17,Fordham,6,Army,64,
01-Sep-17,Colorado St,3,Colorado,17,Denver CO
01-Sep-17,UNC-Charlotte,7,Eastern Michigan,24,
01-Sep-17,Navy,42,Florida Atlantic,19,
01-Sep-17,Boston College,23,Northern Illinois,20,
01-Sep-17,Washington,30,Rutgers,14,
01-Sep-17,Central Conn St,7,Syracuse,50,
01-Sep-17,Utah St,10,Wisconsin,59,
02-Sep-17,VMI,0,Air Force,62,
02-Sep-17,Florida St,7,Alabama,24,Atlanta GA
02-Sep-17,Alabama A&M;,7,Alabama-Birmingham,38,
02-Sep-17,Northern Arizona,24,Arizona,62,
02-Sep-17,Georgia Southern,7,Auburn,41,
02-Sep-17,Liberty,48,Baylor,45,
02-Sep-17,Troy,13,Boise St,24,
02-Sep-17,Kent St,3,Clemson,56,
02-Sep-17,Massachusetts,28,Coastal Carolina,38,
02-Sep-17,North Carolina Central,7,Duke,60,
02-Sep-17,James Madison,34,East Carolina,14,
02-Sep-17,Michigan,33,Florida,17,Arlington TX
02-Sep-17,Incarnate Word,0,Fresno St,66,
02-Sep-17,Appalachian St,10,Georgia,31,
02-Sep-17,Western Carolina,18,Hawai`i,41,
02-Sep-17,Ball St,21,Illinois,24,
02-Sep-17,Wyoming,3,Iowa,24,
02-Sep-17,Northern Iowa,24,Iowa St,42,
02-Sep-17,SE Missouri St,16,Kansas,38,
02-Sep-17,Central Arkansas,19,Kansas St,55,
02-Sep-17,SE Louisiana,48,Louisiana-Lafayette,51,
02-Sep-17,Northwestern St,24,Louisiana Tech,52,
02-Sep-17,Brigham Young,0,LSU,27,New Orleans LA
02-Sep-17,Miami OH,26,Marshall,31,
02-Sep-17,Bethune-Cookman,13,Miami FL,41,
02-Sep-17,Bowling Green,10,Michigan St,35,
02-Sep-17,Vanderbilt,28,Middle Tennessee St,6,
02-Sep-17,South Alabama,27,Mississippi,47,
02-Sep-17,Charleston Southern,0,Mississippi St,49,
02-Sep-17,Missouri St,43,Missouri,72,
02-Sep-17,Arkansas St,36,Nebraska,43,
02-Sep-17,Abilene Christian,14,New Mexico,38,
02-Sep-17,California,35,North Carolina,30,
02-Sep-17,Lamar,14,North Texas,59,
02-Sep-17,Nevada,20,Northwestern,31,
02-Sep-17,Temple,16,Notre Dame,49,
02-Sep-17,Hampton,0,Ohio U.,59,
02-Sep-17,UTEP,7,Oklahoma,56,
02-Sep-17,Albany NY,17,Old Dominion,31,
02-Sep-17,Southern Utah,21,Oregon,77,
02-Sep-17,Portland St,32,Oregon St,35,
02-Sep-17,Akron,0,Penn State,52,
02-Sep-17,Youngstown St,21,Pittsburgh,28,
02-Sep-17,Louisville,35,Purdue,28,Indianapolis IN
02-Sep-17,UC-Davis,17,San Diego St,38,
02-Sep-17,Cal Poly SLO,13,San José St,34,
02-Sep-17,Stephen F. Austin,14,SMU,58,
02-Sep-17,North Carolina St,28,South Carolina,35,Charlotte NC
02-Sep-17,Stony Brook,17,South Florida,31,
02-Sep-17,Western Michigan,31,Southern Cal,49,
02-Sep-17,Kentucky,24,Southern Miss,17,
02-Sep-17,Jackson St,0,TCU,63,
02-Sep-17,Maryland,51,Texas,41,
02-Sep-17,Houston Baptist,11,Texas St-San Marcos,20,
02-Sep-17,Eastern Washington,10,Texas Tech,56,
02-Sep-17,Grambling St,14,Tulane,43,
02-Sep-17,Howard,43,UNLV,40,
02-Sep-17,William & Mary,10,Virginia,28,
02-Sep-17,Montana St,0,Washington St,31,
02-Sep-17,Eastern Kentucky,17,Western Kentucky,31,
03-Sep-17,Texas A&M;,44,UCLA,45,
03-Sep-17,Virginia Tech,31,West Virginia,24,Landover MD 
04-Sep-17,Tennessee,42,Georgia Tech,41,
07-Sep-17,Idaho St,13,Utah St,51,
08-Sep-17,Florida Int'l,17,Alcorn St,10,Birmingham AL
08-Sep-17,Ohio U.,21,Purdue,44,
08-Sep-17,Oklahoma St,44,South Alabama,7,
09-Sep-17,Arkansas-Pine Bluff,3,Akron,52,
09-Sep-17,Fresno St,10,Alabama,41,
09-Sep-17,Savannah St,7,Appalachian St,54,
09-Sep-17,Houston,19,Arizona,16,
09-Sep-17,San Diego St,30,Arizona St,20,
09-Sep-17,TCU,28,Arkansas,7,
09-Sep-17,Buffalo,17,Army,21,
09-Sep-17,Alabama-Birmingham,31,Ball St,51,
09-Sep-17,Texas-San Antonio,17,Baylor,10,
09-Sep-17,Wake Forest,34,Boston College,10,
09-Sep-17,South Dakota,35,Bowling Green,27,
09-Sep-17,Utah,19,Brigham Young,13,
