|Rank\Week|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|1|[Oklahoma](#f/oklahoma)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Alabama](#f/alabama)|[Clemson](#f/clemson)|
|2|[Alabama](#f/alabama)|[Ohio State](#f/ohiostate)|[Ohio State](#f/ohiostate)|[Ohio State](#f/ohiostate)|[Oklahoma](#f/oklahoma)|[Ohio State](#f/ohiostate)|[Ohio State](#f/ohiostate)|[Clemson](#f/clemson)|[Clemson](#f/clemson)|[Clemson](#f/clemson)|[Clemson](#f/clemson)|[Clemson](#f/clemson)|[Clemson](#f/clemson)|[Clemson](#f/clemson)|[Clemson](#f/clemson)|[Clemson](#f/clemson)|[Alabama](#f/alabama)|
|3|[Central Florida](#f/ucf)|[Oklahoma](#f/oklahoma)|[Penn State](#f/pennstate)|[Penn State](#f/pennstate)|[Ohio State](#f/ohiostate)|[Georgia](#f/georgia)|[Notre Dame](#f/notredame)|[Michigan](#f/michigan)|[Notre Dame](#f/notredame)|[Michigan](#f/michigan)|[Michigan](#f/michigan)|[Notre Dame](#f/notredame)|[Notre Dame](#f/notredame)|[Notre Dame](#f/notredame)|[Central Florida](#f/ucf)|[Ohio State](#f/ohiostate)|[Ohio State](#f/ohiostate)|
|4|[Ohio State](#f/ohiostate)|[Wisconsin](#f/wisconsin)|[Oklahoma](#f/oklahoma)|[Oklahoma](#f/oklahoma)|[Georgia](#f/georgia)|[Notre Dame](#f/notredame)|[Michigan](#f/michigan)|[Notre Dame](#f/notredame)|[Oklahoma](#f/oklahoma)|[Notre Dame](#f/notredame)|[Notre Dame](#f/notredame)|[Central Florida](#f/ucf)|[Central Florida](#f/ucf)|[Central Florida](#f/ucf)|[Ohio State](#f/ohiostate)|[Oklahoma](#f/oklahoma)|[Oklahoma](#f/oklahoma)|
|5|[Wisconsin](#f/wisconsin)|[Boise St](#f/boisestate)|[Georgia](#f/georgia)|[Georgia](#f/georgia)|[Notre Dame](#f/notredame)|[Clemson](#f/clemson)|[Clemson](#f/clemson)|[Central Florida](#f/ucf)|[Michigan](#f/michigan)|[Oklahoma](#f/oklahoma)|[Georgia](#f/georgia)|[Michigan](#f/michigan)|[Georgia](#f/georgia)|[Ohio State](#f/ohiostate)|[Notre Dame](#f/notredame)|[Notre Dame](#f/notredame)|[Notre Dame](#f/notredame)|
|6|[Boise St](#f/boisestate)|[Penn State](#f/pennstate)|[Oklahoma St](#f/oklahomastate)|[Notre Dame](#f/notredame)|[Penn State](#f/pennstate)|[Central Florida](#f/ucf)|[Central Florida](#f/ucf)|[Oklahoma](#f/oklahoma)|[Central Florida](#f/ucf)|[Central Florida](#f/ucf)|[Oklahoma](#f/oklahoma)|[Oklahoma](#f/oklahoma)|[Ohio State](#f/ohiostate)|[Oklahoma](#f/oklahoma)|[Oklahoma](#f/oklahoma)|[Central Florida](#f/ucf)|[Central Florida](#f/ucf)|
|7|[Fresno St](#f/fresnostate)|[Stanford](#f/stanford)|[Duke](#f/duke)|[Clemson](#f/clemson)|[Central Florida](#f/ucf)|[Oklahoma](#f/oklahoma)|[Oklahoma](#f/oklahoma)|[Fresno St](#f/fresnostate)|[Georgia](#f/georgia)|[Georgia](#f/georgia)|[Central Florida](#f/ucf)|[Georgia](#f/georgia)|[Oklahoma](#f/oklahoma)|[Georgia](#f/georgia)|[Georgia](#f/georgia)|[Georgia](#f/georgia)|[Georgia](#f/georgia)|
|8|[Stanford](#f/stanford)|[Iowa](#f/iowa)|[Mississippi St](#f/mississippistate)|[Wisconsin](#f/wisconsin)|[Clemson](#f/clemson)|[Penn State](#f/pennstate)|[Fresno St](#f/fresnostate)|[Ohio State](#f/ohiostate)|[Fresno St](#f/fresnostate)|[Fresno St](#f/fresnostate)|[Ohio State](#f/ohiostate)|[Ohio State](#f/ohiostate)|[Michigan](#f/michigan)|[Michigan](#f/michigan)|[Fresno St](#f/fresnostate)|[Michigan](#f/michigan)|[Michigan](#f/michigan)|
|9|[Southern Cal](#f/usc)|[Central Florida](#f/ucf)|[Minnesota](#f/minnesota)|[Stanford](#f/stanford)|[Kentucky](#f/kentucky)|[Michigan](#f/michigan)|[Georgia](#f/georgia)|[LSU](#f/lsu)|[Ohio State](#f/ohiostate)|[Utah St](#f/utahstate)|[Utah St](#f/utahstate)|[Utah St](#f/utahstate)|[Boise St](#f/boisestate)|[Fresno St](#f/fresnostate)|[Appalachian St](#f/appalachianstate)|[Penn State](#f/pennstate)|[Penn State](#f/pennstate)|
