Game ID,Game Time,Home,Home Spread,Home Odds,Away,Away Spread,Away Odds,URL
6035562,2019-11-29 17:01:00,South Alabama,10.5,-110,Arkansas State,-10.5,-110,https://www.bovada.lv/sports/football/college-football/arkansas-state-south-alabama-201911291701
6035560,2019-11-29 18:01:00,Troy,11.5,-110,Appalachian State,-10.5,-110,https://www.bovada.lv/sports/football/college-football/appalachian-state-25-troy-201911291801
6035565,2019-11-29 20:01:00,Central Florida,11.5,-110,South Florida,24.0,-110,https://www.bovada.lv/sports/football/college-football/south-florida-central-florida-201911292001
6035576,2019-11-30 12:01:00,South Carolina,27.5,-110,Clemson,24.0,-110,https://www.bovada.lv/sports/football/college-football/clemson-3-south-carolina-201911301201
6035586,2019-11-30 12:01:00,Marshall,-8.0,-110,Florida International,8.0,-110,https://www.bovada.lv/sports/football/college-football/florida-international-marshall-201911301201
6035578,2019-11-30 12:01:00,Georgia Tech,28.5,-115,Georgia,8.0,-110,https://www.bovada.lv/sports/football/college-football/georgia-4-georgia-tech-201911301201
6035617,2019-11-30 12:01:00,Purdue,7.0,-110,Indiana,8.0,-110,https://www.bovada.lv/sports/football/college-football/indiana-purdue-201911301201
6035616,2019-11-30 12:01:00,Kentucky,-3.5,EVEN,Louisville,3.5,-120,https://www.bovada.lv/sports/football/college-football/louisville-kentucky-201911301201
6035601,2019-11-30 12:01:00,Illinois,-8.5,-105,Northwestern,8.5,-115,https://www.bovada.lv/sports/football/college-football/northwestern-illinois-201911301201
5966325,2019-11-30 12:01:00,Michigan,-8.5,-105,Ohio State,8.5,-115,https://www.bovada.lv/sports/football/college-football/ohio-state-1-michigan-13-201911301201
6035584,2019-11-30 12:01:00,Coastal Carolina,-7.0,-115,Texas State,7.0,-105,https://www.bovada.lv/sports/football/college-football/texas-state-coastal-carolina-201911301201
6035572,2019-11-30 12:01:00,East Carolina,5.5,-110,Tulsa,-5.5,-110,https://www.bovada.lv/sports/football/college-football/tulsa-east-carolina-201911301201
