Wisconsin,Big 10 West
Notre Dame,Independent
Penn State,Big 10 East
Georgia,SEC East
Miami FL,ACC Coastal
Alabama,SEC West
Ohio State,Big 10 East
Clemson,ACC Atlantic
Auburn,SEC West
Central Florida,AAC East
Oklahoma,Big 12
TCU,Big 12
Washington,PAC 12 North
Michigan,Big 10 East
Iowa,Big 10 West
Southern Cal,PAC 12 South
Mississippi St,SEC West
Wake Forest,ACC Atlantic
Oklahoma St,Big 12
Michigan St,Big 10 East
Virginia Tech,ACC Coastal
North Carolina St,ACC Atlantic
Northwestern,Big 10 West
LSU,SEC West
Boise St,MW Mountain
Iowa St,Big 12
Washington St,PAC 12 North
Purdue,Big 10 West
Stanford,PAC 12 North
Memphis,AAC West
Louisville,ACC Atlantic
Boston College,ACC Atlantic
Georgia Tech,ACC Coastal
Texas,Big 12
South Carolina,SEC East
West Virginia,Big 12
Florida Atlantic,CUSA East
South Florida,AAC East
Navy,AAC West
Florida St,ACC Atlantic
Missouri,SEC West
Toledo,MAC West
Oregon,PAC 12 North
Texas A&M,SEC West
San Diego St,MW West
Arizona,PAC 12 South
Duke,ACC Coastal
Indiana,Big 10 East
Northern Illinois,MAC West
Arizona St,PAC 12 South
Minnesota,Big 10 West
SMU,AAC West
Kansas St,Big 12
Syracuse,ACC Atlantic
Nebraska,Big 10 West
Fresno St,MW West
Utah,PAC 12 South
Ohio U.,MAC East
Kentucky,SEC East
Houston,AAC West
Florida,SEC East
Troy,Sun Belt East
Virginia,ACC Coastal
Texas Tech,Big 12
Army,Independent
UCLA,PAC 12 South
Mississippi,SEC West
Maryland,Big 10 East
Wyoming,MW Mountain
California,PAC 12 North
Utah St,MW Mountain
Colorado St,MW Mountain
Colorado,PAC 12 South
Western Michigan,MAC West
Pittsburgh,ACC Coastal
Marshall,CUSA East
North Carolina,ACC Coastal
Rutgers,Big 10 East
Tennessee,SEC East
North Texas,CUSA West
Arkansas St,Sun Belt West
Tulane,AAC West
Akron,MAC East
Arkansas,SEC West
Eastern Michigan,MAC West
Buffalo,MAC East
Temple,AAC East
Central Michigan,MAC West
Vanderbilt,SEC East
Appalachian St,Sun Belt East
Texas-San Antonio,CUSA West
Air Force,MW Mountain
Miami OH,MAC East
Southern Miss,CUSA West
Tulsa,AAC West
Louisiana Tech,CUSA West
Baylor,Big 12
Illinois,Big 10 West
UNLV,MW West
Alabama-Birmingham,CUSA West
Massachusetts,Independent
Brigham Young,Independent
Florida Int'l,CUSA East
Western Kentucky,CUSA East
New Mexico,MW Mountain
Middle Tennessee St,CUSA East
Georgia St,Sun Belt East
Louisiana-Monroe,Sun Belt West
Nevada,MW West
Cincinnati,AAC East
New Mexico St,Independent
Connecticut,AAC East
South Alabama,Sun Belt West
East Carolina,AAC East
Old Dominion,CUSA East
Oregon St,PAC 12 North
Bowling Green,MAC East
Kansas,Big 12
Hawai`i,MW West
Louisiana-Lafayette,Sun Belt West
Kent St,MAC East
Georgia Southern,Sun Belt East
Ball St,MAC West
Coastal Carolina,Sun Belt East
Rice,CUSA West
Texas St-San Marcos,Sun Belt West
San José St,MW West
UNC-Charlotte,CUSA East
UTEP,CUSA West
