SEC West,sec
Big 10 East,big10
Big 12,big12
Big 10 West,big10
AAC West,aac
SEC East,sec
PAC 12 North,pac12
ACC Atlantic,acc
Sun Belt East,sunbelt
MW Mountain,mwc
PAC 12 South,pac12
ACC Coastal,acc
AAC East,aac
CUSA East,cusa
MW West,mwc
MAC West,mac
Sun Belt West,sunbelt
Independent,cfb
CUSA West,cusa
MAC East,mac
Southland,southland
Pioneer,pioneer
Patriot,patriot
Big Sky,bigsky
Big South,bigsouth
Southern,socon
CAA,caa
OVC,ovc
MVFC,mvc
MEAC,meac
NEC,nec
SWAC East,swac
SWAC West,swac
Ivy League,ivy
FCS,cfb
D2,cfb
