Wisconsin,Big 10 West,True
Notre Dame,Independent,True
Penn State,Big 10 East,True
Georgia,SEC East,True
Miami FL,ACC Coastal,True
Alabama,SEC West,True
Ohio State,Big 10 East,True
Clemson,ACC Atlantic,True
Auburn,SEC West,True
Central Florida,AAC East,False
Oklahoma,Big 12,True
TCU,Big 12,True
Washington,PAC 12 North,True
Michigan,Big 10 East,True
Iowa,Big 10 West,True
Southern Cal,PAC 12 South,True
Mississippi St,SEC West,True
Wake Forest,ACC Atlantic,True
Oklahoma St,Big 12,True
Michigan St,Big 10 East,True
Virginia Tech,ACC Coastal,True
North Carolina St,ACC Atlantic,True
Northwestern,Big 10 West,True
LSU,SEC West,True
Boise St,MW Mountain,False
Iowa St,Big 12,True
Washington St,PAC 12 North,True
Purdue,Big 10 West,True
Stanford,PAC 12 North,True
Memphis,AAC West,False
Louisville,ACC Atlantic,True
Boston College,ACC Atlantic,True
Georgia Tech,ACC Coastal,True
Texas,Big 12,True
South Carolina,SEC East,True
West Virginia,Big 12,True
Florida Atlantic,CUSA East,False
South Florida,AAC East,False
Navy,AAC West,False
Florida St,ACC Atlantic,True
Missouri,SEC West,True
Toledo,MAC West,False
Oregon,PAC 12 North,True
Texas A&M,SEC West,True
San Diego St,MW West,False
Arizona,PAC 12 South,True
Duke,ACC Coastal,True
Indiana,Big 10 East,True
Northern Illinois,MAC West,False
Arizona St,PAC 12 South,True
Minnesota,Big 10 West,True
SMU,AAC West,False
Kansas St,Big 12,True
Syracuse,ACC Atlantic,True
Nebraska,Big 10 West,True
Fresno St,MW West,False
Utah,PAC 12 South,True
Ohio U.,MAC East,False
Kentucky,SEC East,True
Houston,AAC West,False
Florida,SEC East,True
Troy,Sun Belt East,False
Virginia,ACC Coastal,True
Texas Tech,Big 12,True
Army,Independent,True
UCLA,PAC 12 South,True
Mississippi,SEC West,True
Maryland,Big 10 East,True
Wyoming,MW Mountain,False
California,PAC 12 North,True
Utah St,MW Mountain,False
Colorado St,MW Mountain,False
Colorado,PAC 12 South,True
Western Michigan,MAC West,False
Pittsburgh,ACC Coastal,True
Marshall,CUSA East,False
North Carolina,ACC Coastal,True
Rutgers,Big 10 East,True
Tennessee,SEC East,True
North Texas,CUSA West,False
Arkansas St,Sun Belt West,False
Tulane,AAC West,False
Akron,MAC East,False
Arkansas,SEC West,True
Eastern Michigan,MAC West,False
Buffalo,MAC East,False
Temple,AAC East,False
Central Michigan,MAC West,False
Vanderbilt,SEC East,True
Appalachian St,Sun Belt East,False
Texas-San Antonio,CUSA West,False
Air Force,MW Mountain,False
Miami OH,MAC East,False
Southern Miss,CUSA West,False
Tulsa,AAC West,False
Louisiana Tech,CUSA West,False
Baylor,Big 12,True
Illinois,Big 10 West,True
UNLV,MW West,False
Alabama-Birmingham,CUSA West,False
Massachusetts,Independent,False
Brigham Young,Independent,False
Florida Int'l,CUSA East,False
Western Kentucky,CUSA East,False
New Mexico,MW Mountain,False
Middle Tennessee St,CUSA East,False
Georgia St,Sun Belt East,False
Louisiana-Monroe,Sun Belt West,False
Nevada,MW West,False
Cincinnati,AAC East,False
New Mexico St,Independent,False
Connecticut,AAC East,False
South Alabama,Sun Belt West,False
East Carolina,AAC East,False
Old Dominion,CUSA East,False
Oregon St,PAC 12 North,True
Bowling Green,MAC East,False
Kansas,Big 12,True
Hawai`i,MW West,False
Louisiana-Lafayette,Sun Belt West,False
Kent St,MAC East,False
Georgia Southern,Sun Belt East,False
Ball St,MAC West,False
Coastal Carolina,Sun Belt East,False
Rice,CUSA West,False
Texas St-San Marcos,Sun Belt West,False
San José St,MW West,False
UNC-Charlotte,CUSA East,False
UTEP,CUSA West,False
Liberty,Independent,False
