Clemson,1822.07,ACC Atlantic,TRUE
Alabama,1773.76,SEC West,TRUE
Ohio State,1721,Big 10 East,TRUE
Central Florida,1697.13,AAC East,FALSE
Notre Dame,1691.25,Independent,FALSE
Oklahoma,1677.97,Big 12,TRUE
Fresno St,1673.76,MW West,FALSE
Georgia,1671.44,SEC East,TRUE
Appalachian St,1664.12,Sun Belt East,FALSE
Utah St,1650.16,MW Mountain,FALSE
Boise St,1646.2,MW Mountain,FALSE
Syracuse,1640.94,ACC Atlantic,TRUE
Ohio U.,1639.18,MAC East,FALSE
Cincinnati,1638.86,AAC East,FALSE
Washington,1638.09,PAC 12 North,TRUE
Washington St,1638.09,PAC 12 North,TRUE
Michigan,1636.53,Big 10 East,TRUE
Florida,1636.1,SEC East,TRUE
Penn State,1635.72,Big 10 East,TRUE
Army,1634.22,Independent,FALSE
LSU,1633.13,SEC West,TRUE
Texas,1632.04,Big 12,TRUE
Iowa,1621.82,Big 10 West,TRUE
Troy,1616.27,Sun Belt East,FALSE
North Dakota St,1615.38,MVFC,FALSE
Missouri,1606.59,SEC East,TRUE
Texas A&M,1600.73,SEC West,TRUE
Mississippi St,1592.02,SEC West,TRUE
Auburn,1589.51,SEC West,TRUE
Kentucky,1589.43,SEC East,TRUE
West Virginia,1585.29,Big 12,TRUE
Virginia,1583.68,ACC Coastal,TRUE
Georgia Southern,1581.65,Sun Belt East,FALSE
Iowa St,1581.35,Big 12,TRUE
Utah,1580.69,PAC 12 South,TRUE
Buffalo,1580.52,MAC East,FALSE
Memphis,1579.22,AAC West,FALSE
Stanford,1571.72,PAC 12 North,TRUE
Northwestern,1570.14,Big 10 West,TRUE
North Carolina St,1568.18,ACC Atlantic,TRUE
Temple,1565.77,AAC East,FALSE
Arkansas St,1562.01,Sun Belt West,FALSE
Boston College,1557.18,ACC Atlantic,TRUE
Brigham Young,1557.06,Independent,FALSE
Wisconsin,1555.72,Big 10 West,TRUE
Michigan St,1550.02,Big 10 East,TRUE
Oregon,1537.53,PAC 12 North,TRUE
Duke,1535.24,ACC Coastal,TRUE
Minnesota,1534.17,Big 10 West,TRUE
Miami OH,1533.97,MAC East,FALSE
Toledo,1532.29,MAC West,FALSE
Houston,1531.64,AAC West,FALSE
Oklahoma St,1531.55,Big 12,TRUE
Eastern Michigan,1527.01,MAC West,FALSE
Pittsburgh,1521.18,ACC Coastal,TRUE
